Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
484,Lasso Coulibaly,ci CIV,"MF,DF",Auxerre,fr Ligue 1,23.0,2002,9,1,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,7,9,14,0.00,0.02,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,0,2,1,50.0,0.87,0.43,0.00,0.00,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,63,85,74.1,1132,257,0,0.0,0.1,0.0,1,5,2,0,9,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,85,70,14,2,1,1,10,8,4,0,4,0,63,1,5,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,2,0.87,0,1,0,0,0,1,0,0.00,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,6,5,4,2,0,5,80.0,1,2,1,1,3,9,0,0,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,112,3,18,48,50,7,112,14,10,71.4,4,28.6,72,618,290,7,3,5,9,2,61,14,594,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,9,208,23,15.4,2.3,1,42,0,8,21,1,0.44,2,3,-1,-0.43,+0.28,2.6,4.5,-1.8,-0.80,484,ci CIV,"MF,DF",fr Ligue 1,23-054,2002,2.3,0,0,0,7,9,2,10,3,5,0,0,0,22,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21.0,2004,11,9,663,7.4,1,1,2,1,0,0,4,0,0.6,0.6,1.0,1.6,13,40,23,0.27,0.21,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,1,3,2,66.7,0.41,0.27,0.33,0.50,16.8,0,0,0,0.6,0.6,0.19,+0.4,+0.4,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,338,386,87.6,5417,1299,1,1.0,1.1,0.0,8,22,11,1,40,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,386,378,8,4,2,4,4,2,0,0,0,0,338,0,7,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,11,1.49,11,0,0,0,0,0,1,0.14,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,20,13,10,7,3,12,41.7,7,10,1,9,9,29,11,0,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,478,17,85,293,107,7,478,16,7,43.8,9,56.3,263,1431,603,13,6,6,20,3,339,23,595,fr FRA,MF,fr Ligue 1,21-235,2004,11,663,60,49.1,7.4,9,73,2,2,1,2,1.27,9,18,-9,-1.22,-2.40,12.9,14.6,-1.7,-0.23,485,fr FRA,MF,fr Ligue 1,21-235,2004,7.4,4,0,0,16,9,0,4,9,13,0,0,0,42,6,7,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22.0,2003,7,7,630,7.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,10,0,0.00,0.03,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,0,3,1,33.3,0.43,0.14,0.00,0.00,10.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,352,385,91.4,7312,2000,0,0.0,0.1,0.0,1,17,1,0,10,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,385,371,14,8,0,8,0,0,0,0,0,0,352,0,1,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,5,0.71,5,0,0,0,0,0,2,0.29,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,4,3,1,2,1,3,100.0,0,5,5,0,7,11,36,1,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,454,70,236,207,12,7,454,1,0,0.0,0,0.0,301,1348,813,4,1,0,4,0,308,0,597,fr FRA,DF,fr Ligue 1,22-059,2003,7,630,90,46.7,7.0,7,90,7,0,,0,1.14,7,12,-5,-0.71,-0.84,10.8,9.4,+1.4,+0.20,486,fr FRA,DF,fr Ligue 1,22-059,2003,7.0,1,0,0,8,11,0,0,7,3,0,0,1,36,16,4,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26.0,1999,7,2,306,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,12,8,9,0.00,0.10,487,ml MLI,DF,it Serie A,26-206,1999,3.4,0,2,1,50.0,0.59,0.29,0.00,0.00,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,487,ml MLI,DF,it Serie A,26-206,1999,3.4,129,148,87.2,1956,594,0,0.3,0.2,-0.3,3,4,3,2,8,487,ml MLI,DF,it Serie A,26-206,1999,3.4,148,113,34,2,0,0,4,32,0,0,0,0,129,1,3,487,ml MLI,DF,it Serie A,26-206,1999,3.4,5,1.47,5,0,0,0,0,0,1,0.29,487,ml MLI,DF,it Serie A,26-206,1999,3.4,7,4,4,1,2,5,40.0,3,3,1,2,3,10,4,0,487,ml MLI,DF,it Serie A,26-206,1999,3.4,178,6,48,82,50,4,178,5,3,60.0,0,0.0,97,686,368,12,7,3,2,7,105,9,598,ml MLI,DF,it Serie A,26-206,1999,7,306,44,24.3,3.4,2,90,1,5,25,5,1.86,6,5,+1,+0.29,+0.20,4.2,4.2,0.0,+0.01,487,ml MLI,DF,it Serie A,26-206,1999,3.4,0,0,0,7,4,0,4,3,4,0,0,0,11,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18.0,2007,11,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,3,0.00,0.02,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,47,64,73.4,697,198,0,0.0,0.1,0.0,2,7,0,0,10,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,64,63,1,0,0,0,0,1,0,0,0,0,47,0,1,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,1,0.59,1,0,0,0,0,0,0,0.00,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,7,4,4,3,0,4,50.0,2,1,0,1,2,9,4,0,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,89,6,31,50,8,1,89,3,1,33.3,2,66.7,29,193,80,1,0,0,3,2,45,3,599,fr FRA,MF,fr Ligue 1,18-345,2007,11,152,14,11.3,1.7,1,45,0,10,11,4,1.27,3,1,+2,+1.18,+1.63,2.5,2.2,+0.2,+0.14,488,fr FRA,MF,fr Ligue 1,18-345,2007,1.7,0,0,0,2,3,0,0,2,4,0,1,0,9,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33.0,1992,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,489,be BEL,GK,es La Liga,33-215,1992,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,489,be BEL,GK,es La Liga,33-215,1992,16.0,444,551,80.6,11018,7367,0,0.0,0.0,0.0,0,8,0,0,1,489,be BEL,GK,es La Liga,33-215,1992,16.0,551,453,96,21,0,2,0,0,0,0,0,0,444,2,1,489,be BEL,GK,es La Liga,33-215,1992,16.0,3,0.19,2,1,0,0,0,0,0,0.00,489,be BEL,GK,es La Liga,33-215,1992,16.0,1,1,1,0,0,3,33.3,2,0,0,0,0,1,8,0,489,be BEL,GK,es La Liga,33-215,1992,16.0,583,417,568,16,0,0,583,0,0,,0,,342,1562,910,0,0,0,1,0,346,0,600,be BEL,GK,es La Liga,33-215,1992,16,1440,90,100.0,16.0,16,90,16,0,,0,2.25,32,15,+17,+1.06,,37.8,17.8,+20.0,+1.25,489,be BEL,GK,es La Liga,33-215,1992,16.0,0,0,0,0,2,0,0,0,1,0,0,0,29,2,1,66.7,21,be BEL,GK,es La Liga,33-215,1992,16,16,1440,16.0,15,0.94,50,35,74.0,11,3,2,7,43.8,2,2,0,0,21,be BEL,GK,es La Liga,33-215,1992,16.0,15,2,1,1,0,13.9,0.25,-1.1,-0.07,45,145,31.0,474,75,23.8,30.2,166,8,4.8,21,1.31,16.3
490,Yan Couto,br BRA,"DF,MF",Dortmund,de Bundesliga,23.0,2002,8,7,570,6.3,1,2,3,1,0,0,3,0,0.5,0.5,2.3,2.8,24,18,62,0.47,0.45,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,1,5,1,20.0,0.79,0.16,0.20,1.00,18.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,288,373,77.2,4744,1473,2,2.3,2.0,-0.3,9,7,9,4,18,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,373,295,77,6,1,2,30,65,6,5,0,0,288,1,9,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,23,3.63,14,2,3,2,1,1,5,0.79,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,13,12,6,5,2,13,84.6,2,10,0,10,3,16,12,0,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,441,9,88,154,202,10,441,15,6,40.0,8,53.3,216,1147,675,24,21,2,8,6,275,62,601,br BRA,"DF,MF",de Bundesliga,23-192,2002,8,570,71,48.7,6.3,7,80,3,1,11,5,2.50,14,5,+9,+1.42,+0.97,10.2,5.3,+4.9,+0.77,490,br BRA,"DF,MF",de Bundesliga,23-192,2002,6.3,3,0,0,9,9,2,30,3,12,0,0,0,30,1,7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,de Bundesliga,18.0,2007,8,2,207,2.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,6,9,15,0.00,0.39,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,0,1,1,100.0,0.43,0.43,0.00,0.00,12.6,0,0,0,0.7,0.7,0.70,-0.7,-0.7,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,97,127,76.4,1590,315,0,0.2,0.3,-0.2,1,9,1,1,9,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,127,125,2,1,0,1,3,1,0,0,0,0,97,0,1,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,3,1.31,3,0,0,0,0,0,0,0.00,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,4,1,1,2,1,5,40.0,3,7,0,7,2,6,6,0,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,151,5,30,89,33,4,151,2,0,0.0,2,100.0,93,399,215,6,4,1,1,0,111,15,602,hr CRO,"MF,FW",de Bundesliga,18-170,2007,8,207,26,17.7,2.3,2,66,0,6,13,5,1.00,2,7,-5,-2.17,-2.08,2.8,6.2,-3.4,-1.48,491,hr CRO,"MF,FW",de Bundesliga,18-170,2007,2.3,1,0,0,3,1,0,3,2,1,0,0,0,13,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26.0,1999,12,9,836,9.3,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,15,22,17,0.00,0.04,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,0,3,0,0.0,0.32,0.00,0.00,,22.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,267,374,71.4,4956,2073,0,0.2,0.2,-0.2,4,19,3,1,22,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,374,273,98,15,0,0,12,83,0,0,0,0,267,3,9,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,9,0.97,6,2,0,0,1,0,0,0.00,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,8,5,5,1,2,10,20.0,8,6,3,3,6,14,38,0,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,457,39,190,188,89,8,457,14,7,50.0,6,42.9,221,1308,711,15,9,0,9,3,230,17,603,fr FRA,DF,fr Ligue 1,26-338,1999,12,836,70,61.9,9.3,9,88,5,3,15,3,0.75,5,14,-9,-0.97,-0.62,7.4,14.0,-6.7,-0.72,492,fr FRA,DF,fr Ligue 1,26-338,1999,9.3,0,0,0,7,6,0,12,6,5,0,0,0,26,9,8,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Ben Cremaschi,us USA,MF,Parma,it Serie A,20.0,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,493,us USA,MF,it Serie A,20-285,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,493,us USA,MF,it Serie A,20-285,2005,0.2,1,1,100.0,8,0,0,0.0,0.0,0.0,0,0,0,0,0,493,us USA,MF,it Serie A,20-285,2005,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,493,us USA,MF,it Serie A,20-285,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,493,us USA,MF,it Serie A,20-285,2005,0.2,1,1,1,0,0,1,0.0,1,1,1,0,0,1,1,0,493,us USA,MF,it Serie A,20-285,2005,0.2,6,2,4,2,0,0,6,0,0,,0,,0,0,0,0,0,0,1,0,1,0,604,us USA,MF,it Serie A,20-285,2005,2,15,8,1.2,0.2,0,,0,2,8,8,0.50,1,1,0,0.00,+0.51,0.5,0.1,+0.4,+2.50,493,us USA,MF,it Serie A,20-285,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23.0,2002,15,15,1350,15.0,3,1,4,3,0,0,3,0,2.1,2.1,0.6,2.7,5,36,5,0.27,0.18,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,3,21,7,33.3,1.40,0.47,0.14,0.43,9.4,0,0,0,2.1,2.1,0.10,+0.9,+0.9,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,627,722,86.8,12312,4881,1,0.6,0.7,+0.4,7,35,2,0,36,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,722,672,50,19,0,4,0,0,0,0,0,0,627,0,1,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,19,1.27,11,2,0,6,0,0,2,0.13,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,12,8,9,3,0,12,50.0,6,21,18,3,15,27,100,0,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,909,165,491,369,53,41,909,0,0,,0,,482,2235,1130,5,3,0,3,3,563,5,605,eng ENG,DF,fr Ligue 1,23-117,2002,15,1350,90,100.0,15.0,15,90,15,0,,0,1.33,21,19,+2,+0.13,,20.6,19.1,+1.5,+0.10,494,eng ENG,DF,fr Ligue 1,23-117,2002,15.0,3,0,0,17,12,1,0,15,8,0,0,0,43,70,38,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Bryan Cristante,it ITA,MF,Roma,it Serie A,30.0,1995,14,14,1142,12.7,1,0,1,1,0,0,3,0,1.0,1.0,0.6,1.5,16,93,27,0.08,0.12,495,it ITA,MF,it Serie A,30-284,1995,12.7,1,21,5,23.8,1.65,0.39,0.05,0.20,13.9,0,0,0,1.0,1.0,0.05,0.0,0.0,495,it ITA,MF,it Serie A,30-284,1995,12.7,619,771,80.3,11651,3815,0,0.6,1.0,-0.6,11,91,14,1,93,495,it ITA,MF,it Serie A,30-284,1995,12.7,771,755,12,12,1,8,7,0,0,0,0,0,619,4,8,495,it ITA,MF,it Serie A,30-284,1995,12.7,30,2.36,23,0,1,5,1,0,3,0.24,495,it ITA,MF,it Serie A,30-284,1995,12.7,21,10,6,11,4,17,64.7,6,8,0,8,8,29,22,1,495,it ITA,MF,it Serie A,30-284,1995,12.7,875,31,177,536,165,27,875,7,6,85.7,1,14.3,492,2152,1050,16,16,4,14,10,651,27,606,it ITA,MF,it Serie A,30-284,1995,14,1142,82,90.6,12.7,14,82,9,0,,0,1.93,15,7,+8,+0.63,+1.39,14.9,15.2,-0.3,-0.03,495,it ITA,MF,it Serie A,30-284,1995,12.7,3,0,0,18,3,0,7,8,10,0,0,0,73,25,36,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33.0,1992,11,7,575,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,13,4,0.00,0.07,496,es ESP,DF,es La Liga,33-137,1992,6.4,0,1,0,0.0,0.16,0.00,0.00,,5.7,0,0,0,0.4,0.4,0.39,-0.4,-0.4,496,es ESP,DF,es La Liga,33-137,1992,6.4,192,227,84.6,3353,1505,0,0.1,0.2,-0.1,2,11,3,2,13,496,es ESP,DF,es La Liga,33-137,1992,6.4,227,198,29,7,0,1,5,22,0,0,0,0,192,0,3,496,es ESP,DF,es La Liga,33-137,1992,6.4,7,1.09,6,1,0,0,0,0,1,0.16,496,es ESP,DF,es La Liga,33-137,1992,6.4,4,3,3,1,0,4,50.0,2,6,4,2,3,7,21,0,496,es ESP,DF,es La Liga,33-137,1992,6.4,271,22,123,124,25,1,271,4,2,50.0,1,25.0,127,547,270,3,3,0,2,1,155,4,608,es ESP,DF,es La Liga,33-137,1992,11,575,52,42.6,6.4,7,74,2,4,15,2,1.27,7,7,0,0.00,+0.46,5.6,8.1,-2.4,-0.38,496,es ESP,DF,es La Liga,33-137,1992,6.4,0,0,0,4,1,0,5,3,3,0,1,0,15,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Juan Cuadrado,co COL,"DF,MF",Pisa,it Serie A,37.0,1988,10,2,327,3.6,1,0,1,0,1,1,2,0,0.9,0.1,0.8,0.8,9,16,12,0.00,0.44,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,1,5,1,20.0,1.38,0.28,0.00,0.00,26.8,0,1,1,0.9,0.1,0.02,+0.1,-0.1,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,113,150,75.3,2405,936,0,0.8,0.6,-0.8,8,10,8,4,16,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,150,121,29,9,0,2,18,16,4,3,1,0,113,0,4,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,17,4.68,9,4,1,2,1,0,1,0.28,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,12,7,8,4,0,11,45.5,6,4,2,2,2,14,5,0,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,216,9,51,112,57,4,215,27,8,29.6,15,55.6,118,669,371,9,5,1,7,7,121,12,609,co COL,"DF,MF",it Serie A,37-200,1988,10,327,33,26.0,3.6,2,55,0,8,27,0,0.90,3,3,0,0.00,+0.87,4.0,6.2,-2.2,-0.60,497,co COL,"DF,MF",it Serie A,37-200,1988,3.6,2,0,0,4,8,0,18,2,7,0,0,0,20,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18.0,2007,12,12,1043,11.6,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,14,62,1,0.00,0.05,498,es ESP,DF,es La Liga,18-324,2007,11.6,0,4,0,0.0,0.35,0.00,0.00,,18.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,498,es ESP,DF,es La Liga,18-324,2007,11.6,992,1048,94.7,16833,6046,0,0.4,0.4,-0.4,4,87,2,0,62,498,es ESP,DF,es La Liga,18-324,2007,11.6,1048,1007,41,36,1,1,0,3,0,0,0,0,992,0,2,498,es ESP,DF,es La Liga,18-324,2007,11.6,16,1.38,14,0,1,1,0,0,1,0.09,498,es ESP,DF,es La Liga,18-324,2007,11.6,17,13,8,8,1,12,50.0,6,7,4,3,9,26,45,0,498,es ESP,DF,es La Liga,18-324,2007,11.6,1144,100,447,656,45,5,1144,2,1,50.0,0,0.0,716,4198,2060,14,14,1,2,0,893,1,610,es ESP,DF,es La Liga,18-324,2007,12,1043,87,72.4,11.6,12,87,9,0,,4,2.50,36,17,+19,+1.64,-0.17,27.4,17.4,+10.1,+0.87,498,es ESP,DF,es La Liga,18-324,2007,11.6,1,0,0,9,3,0,0,9,13,0,0,0,41,24,9,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Cucho,co COL,FW,Betis,es La Liga,26.0,1999,15,15,1296,14.4,6,2,8,5,1,1,2,0,5.2,4.4,2.6,7.0,23,35,88,0.49,0.54,499,co COL,FW,es La Liga,26-236,1999,14.4,6,44,12,27.3,3.06,0.83,0.11,0.42,16.1,1,1,1,5.2,4.4,0.10,+0.8,+0.6,499,co COL,FW,es La Liga,26-236,1999,14.4,254,361,70.4,3552,871,2,2.6,1.3,-0.6,17,17,6,0,35,499,co COL,FW,es La Liga,26-236,1999,14.4,361,332,29,0,0,6,12,2,1,0,0,0,254,0,16,499,co COL,FW,es La Liga,26-236,1999,14.4,35,2.43,28,1,4,2,0,0,4,0.28,499,co COL,FW,es La Liga,26-236,1999,14.4,14,8,4,5,5,5,40.0,3,10,2,8,3,17,20,1,499,co COL,FW,es La Liga,26-236,1999,14.4,549,20,51,237,271,78,548,30,13,43.3,14,46.7,328,1463,646,23,15,12,56,29,400,88,611,co COL,FW,es La Liga,26-236,1999,15,1296,86,96.0,14.4,15,86,7,0,,0,1.60,25,19,+6,+0.42,+0.42,21.5,15.3,+6.3,+0.44,499,co COL,FW,es La Liga,26-236,1999,14.4,2,0,0,15,14,8,12,3,8,0,0,0,38,22,29,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
