Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0.06,0.08,1,eng ENG,DF,eng Premier League,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1,eng ENG,DF,eng Premier League,21,2000,32.0,1107,1469,75.4,16588,6133,2,1.7,1.7,+0.3,20,50,37,9,117,1,eng ENG,DF,eng Premier League,21,2000,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,1,eng ENG,DF,eng Premier League,21,2000,32.0,46,1.44,34,3,2,3,3,1,3,0.09,1,eng ENG,DF,eng Premier League,21,2000,32.0,64,44,49,15,0,55,67.3,18,39,19,20,28,92,96,1,1,eng ENG,DF,eng Premier League,21,2000,32.0,1841,160,721,703,440,23,1841,68,34,50.0,34,50.0,953,6454,3377,78,47,12,38,23,1030,85,1,eng ENG,DF,eng Premier League,21,2000,34,2881,85,84.2,32.0,32,89,29,2,22,2,0.53,18,69,-51,-1.59,+0.08,25.5,60.0,-34.6,-1.08,1,eng ENG,DF,eng Premier League,21,2000,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2.0,23,119,14,0.06,0.06,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,1284,1578,81.4,25516,9586,0,0.8,0.6,-0.8,9,95,7,0,119,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,22,0.66,17,0,2,1,0,2,1,0.03,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,48,27,34,14,0,32,50.0,16,50,25,25,68,116,104,0,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558,23,19,0,28,13,1202,14,2,ma MAR,DF,fr Ligue 1,33,1987,34,2983,88,87.2,33.1,34,88,33,0,,0,1.12,38,41,-3,-0.09,-0.50,31.8,41.3,-9.5,-0.29,2,ma MAR,DF,fr Ligue 1,33,1987,33.1,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0.06,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,1535,1701,90.2,25518,5456,0,0.9,0.8,-0.9,17,87,13,1,108,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,50,1.83,41,0,0,4,4,1,3,0.11,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,43,23,25,16,2,57,35.1,37,18,1,17,42,85,15,0,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687,24,23,3,42,30,1481,47,3,gh GHA,MF,fr Ligue 1,21,2000,31,2462,79,72.0,27.4,29,82,19,2,38,1,1.10,26,44,-18,-0.66,+0.56,28.9,36.2,-7.3,-0.27,3,gh GHA,MF,fr Ligue 1,21,2000,27.4,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0.06,0.16,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,1342,1660,80.8,23767,6837,2,3.7,2.6,-1.7,35,147,23,9,171,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,83,2.53,67,2,3,1,7,3,9,0.27,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,110,60,44,53,13,166,42.8,95,58,1,57,55,165,13,0,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353,30,39,3,52,40,1410,73,5,fr FRA,MF,fr Ligue 1,28,1993,34,2956,87,86.4,32.8,34,87,26,0,,0,0.82,27,59,-32,-0.97,-1.75,35.5,45.7,-10.2,-0.31,4,fr FRA,MF,fr Ligue 1,28,1993,32.8,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,3,7,42.9,46,0,0,0.0,0.0,0.0,0,0,0,0,0,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,12,0,0,5,8,1,12,0,0,,0,,7,11,1,0,0,0,3,0,9,4,6,fr FRA,FW,fr Ligue 1,21,2000,1,45,45,1.3,0.5,1,45,0,0,,0,1.00,0,0,0,0.00,+0.93,0.5,0.3,+0.2,+0.40,5,fr FRA,FW,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0.12,0.39,6,ng NGA,FW,de Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,1.8,1.8,0.10,-1.8,-1.8,6,ng NGA,FW,de Bundesliga,22,1998,8.1,84,137,61.3,1009,278,1,1.3,0.6,-0.3,7,5,6,0,17,6,ng NGA,FW,de Bundesliga,22,1998,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6,6,ng NGA,FW,de Bundesliga,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,6,ng NGA,FW,de Bundesliga,22,1998,8.1,11,7,4,5,2,10,20.0,8,12,1,11,4,15,8,0,6,ng NGA,FW,de Bundesliga,22,1998,8.1,246,6,24,108,115,23,246,20,7,35.0,13,65.0,131,629,266,14,5,6,29,10,160,38,7,ng NGA,FW,de Bundesliga,22,1998,24,726,30,23.7,8.1,5,79,2,19,17,8,0.46,8,29,-21,-2.60,-1.33,6.6,17.6,-11.0,-1.36,6,ng NGA,FW,de Bundesliga,22,1998,8.1,3,0,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,6,0.00,0.24,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,7,9,77.8,72,15,0,0.0,0.0,0.0,0,0,1,0,2,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17,1,1,0,1,3,12,6,8,fr FRA,FW,fr Ligue 1,18,2003,7,103,15,3.0,1.1,1,45,0,6,10,9,1.14,0,1,-1,-0.87,-2.04,0.9,1.8,-1.0,-0.86,7,fr FRA,FW,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,18.4,4.8,23.2,41,70,199,0.53,0.74,8,eng ENG,FW,it Serie A,23,1997,34.3,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,20.7,18.4,0.20,-3.7,-4.4,8,eng ENG,FW,it Serie A,23,1997,34.3,485,696,69.7,6820,1622,4,4.8,2.4,-0.8,38,35,27,3,70,8,eng ENG,FW,it Serie A,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,8,eng ENG,FW,it Serie A,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,8,eng ENG,FW,it Serie A,23,1997,34.3,27,13,7,14,6,22,40.9,13,17,3,14,5,32,27,0,8,eng ENG,FW,it Serie A,23,1997,34.3,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129,41,31,22,86,41,736,199,11,eng ENG,FW,it Serie A,23,1997,37,3084,83,90.2,34.3,36,85,23,1,32,0,1.70,54,38,+16,+0.47,+0.47,59.3,33.2,+26.1,+0.76,8,eng ENG,FW,it Serie A,23,1997,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.05,9,pe PER,DF,es La Liga,25,1996,6.2,0,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,9,pe PER,DF,es La Liga,25,1996,6.2,191,226,84.5,3666,1177,0,0.0,0.0,0.0,0,8,0,0,10,9,pe PER,DF,es La Liga,25,1996,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4,9,pe PER,DF,es La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,9,pe PER,DF,es La Liga,25,1996,6.2,6,3,3,3,0,4,50.0,2,6,5,1,5,11,37,1,9,pe PER,DF,es La Liga,25,1996,6.2,286,45,178,106,5,4,286,0,0,,0,,149,760,487,1,0,0,0,0,180,1,12,pe PER,DF,es La Liga,25,1996,8,560,70,16.4,6.2,6,80,4,2,39,12,1.38,8,5,+3,+0.48,+1.11,5.2,7.2,-1.9,-0.31,9,pe PER,DF,es La Liga,25,1996,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,2.4,0.5,2.9,31,119,10,0.14,0.10,10,it ITA,DF,it Serie A,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,+1.6,+1.6,10,it ITA,DF,it Serie A,33,1988,28.2,1837,2043,89.9,34996,12273,0,0.5,0.8,-0.5,5,119,6,0,119,10,it ITA,DF,it Serie A,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,10,it ITA,DF,it Serie A,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,10,it ITA,DF,it Serie A,33,1988,28.2,25,12,15,9,1,19,63.2,7,37,28,9,34,59,92,0,10,it ITA,DF,it Serie A,33,1988,28.2,2295,268,1102,1143,59,22,2295,6,4,66.7,2,33.3,1364,6893,4301,31,19,0,13,4,1641,10,14,it ITA,DF,it Serie A,33,1988,30,2536,85,74.2,28.2,29,87,27,1,7,0,1.67,59,48,+11,+0.39,-0.42,38.1,35.9,+2.1,+0.08,10,it ITA,DF,it Serie A,33,1988,28.2,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
