Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,Rk_stats_teams_shooting_for,Comp_stats_teams_shooting_for,# Pl_stats_teams_shooting_for,90s_stats_teams_shooting_for,Gls_stats_teams_shooting_for,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_teams_shooting_for,PKatt_stats_teams_shooting_for,xG_stats_teams_shooting_for,npxG_stats_teams_shooting_for,npxG/Sh,G-xG,np:G-xG,Rk_stats_teams_passing_for,Comp_stats_teams_passing_for,# Pl_stats_teams_passing_for,90s_stats_teams_passing_for,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_teams_passing_for,xAG_stats_teams_passing_for,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_teams_passing_for,Rk_stats_teams_passing_types_for,Comp_stats_teams_passing_types_for,# Pl_stats_teams_passing_types_for,90s_stats_teams_passing_types_for,Att_stats_teams_passing_types_for,Live,Dead,FK_stats_teams_passing_types_for,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_teams_passing_types_for,Off,Blocks,Rk_stats_teams_gca_for,Comp_stats_teams_gca_for,# Pl_stats_teams_gca_for,90s_stats_teams_gca_for,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_teams_gca_for,Fld,Def,GCA,GCA90,Rk_stats_teams_defense_for,Comp_stats_teams_defense_for,# Pl_stats_teams_defense_for,90s_stats_teams_defense_for,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_teams_defense_for,Tkl%,Lost,Blocks_stats_teams_defense_for,Sh_stats_teams_defense_for,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_teams_possession_for,Comp_stats_teams_possession_for,# Pl_stats_teams_possession_for,Poss_stats_teams_possession_for,90s_stats_teams_possession_for,Touches,Def Pen,Def 3rd_stats_teams_possession_for,Mid 3rd_stats_teams_possession_for,Att 3rd_stats_teams_possession_for,Att Pen,Live_stats_teams_possession_for,Att_stats_teams_possession_for,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_teams_possession_for,PrgDist_stats_teams_possession_for,PrgC_stats_teams_possession_for,1/3_stats_teams_possession_for,CPA,Mis,Dis,Rec,PrgR,Rk_stats_teams_playing_time_for,Comp_stats_teams_playing_time_for,# Pl_stats_teams_playing_time_for,Age_stats_teams_playing_time_for,MP_stats_teams_playing_time_for,Min_stats_teams_playing_time_for,Mn/MP,Min%,90s_stats_teams_playing_time_for,Starts_stats_teams_playing_time_for,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_teams_misc_for,Comp_stats_teams_misc_for,# Pl_stats_teams_misc_for,90s_stats_teams_misc_for,CrdY_stats_teams_misc_for,CrdR_stats_teams_misc_for,2CrdY,Fls,Fld_stats_teams_misc_for,Off_stats_teams_misc_for,Crs_stats_teams_misc_for,Int_stats_teams_misc_for,TklW_stats_teams_misc_for,PKwon,PKcon,OG,Recov,Won,Lost_stats_teams_misc_for,Won%,Rk_stats_teams_keeper_for,Comp_stats_teams_keeper_for,# Pl_stats_teams_keeper_for,MP_stats_teams_keeper_for,Starts_stats_teams_keeper_for,Min_stats_teams_keeper_for,90s_stats_teams_keeper_for,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_teams_keeper_for,PKA,PKsv,PKm,Rk_stats_teams_keeper_adv_for,Comp_stats_teams_keeper_adv_for,# Pl_stats_teams_keeper_adv_for,90s_stats_teams_keeper_adv_for,GA_stats_teams_keeper_adv_for,PKA_stats_teams_keeper_adv_for,FK_stats_teams_keeper_adv_for,CK_stats_teams_keeper_adv_for,OG_stats_teams_keeper_adv_for,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_teams_keeper_adv_for,Att_stats_teams_keeper_adv_for,Cmp%_stats_teams_keeper_adv_for,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alavés,es La Liga,33,27.9,42.0,38,418,3420,38.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,1.13,1.65,1,es La Liga,33,38.0,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8,1,es La Liga,33,38.0,9676,14175,68.3,191044,85739,20,25.5,22.8,-5.5,260,835,199,84,984,1,es La Liga,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,1,es La Liga,33,38.0,628,16.53,392,88,38,46,53,11,48,1.26,1,es La Liga,33,38.0,550,324,271,221,58,637,41.1,375,373,106,267,376,926,890,7,1,es La Liga,33,42.0,38.0,18371,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,42737,20539,420,310,102,616,278,9576,969,1,es La Liga,33,27.9,38,3420,90,100,38.0,418,82,247,167,20,277,0.82,31,65,-34,-0.89,37.3,57.0,-19.7,-0.52,1,es La Liga,33,38.0,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3,1,es La Liga,3,38,38,3420,38.0,65,1.71,168,100,64.9,8,7,23,6,15.8,9,6,3,0,1,es La Liga,3,38.0,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,44.5,619,26,4.2,48,1.26,15.7
2,Angers,fr Ligue 1,30,27.4,48.4,38,418,3420,38.0,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.5,1.97,2,fr Ligue 1,30,38.0,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5,2,fr Ligue 1,30,38.0,15307,18797,81.4,281097,99557,25,28.4,25.6,-3.4,277,1029,186,56,1349,2,fr Ligue 1,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292,2,fr Ligue 1,30,38.0,671,17.66,439,76,58,36,45,17,71,1.87,2,fr Ligue 1,30,38.0,619,370,301,253,65,659,43.1,375,384,99,285,423,1042,631,9,2,fr Ligue 1,30,48.4,38.0,23137,2186,7994,10916,4487,585,23128,839,401,47.8,438,52.2,14880,78280,37894,659,500,152,727,373,15213,1335,2,fr Ligue 1,30,27.4,38,3420,90,100,38.0,418,84,260,154,16,183,1.08,44,55,-11,-0.29,46.5,50.0,-3.6,-0.09,2,fr Ligue 1,30,38.0,70,4,3,471,461,46,572,423,370,7,5,3,2051,408,509,44.5,2,fr Ligue 1,3,38,38,3420,38.0,55,1.45,155,103,67.7,10,11,17,8,21.1,5,5,0,0,2,fr Ligue 1,3,38.0,55,5,2,9,3,47.5,0.28,-4.5,-0.12,122,376,32.4,758,216,30.9,40.5,576,44,7.6,38,1.0,11.6
3,Arminia,de Bundesliga,26,25.8,40.7,34,374,3060,34.0,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,1.24,1.28,3,de Bundesliga,26,34.0,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,26.3,24.7,0.07,-0.3,-0.7,3,de Bundesliga,26,34.0,9382,13511,69.4,182069,82699,18,17.2,22.4,0.8,247,763,195,55,887,3,de Bundesliga,26,34.0,13511,11765,1692,385,25,69,487,743,147,67,48,1,9382,54,325,3,de Bundesliga,26,34.0,586,17.24,410,52,41,39,34,10,42,1.24,3,de Bundesliga,26,34.0,549,311,270,235,44,543,43.8,305,395,110,285,421,970,770,7,3,de Bundesliga,26,40.7,34.0,17629,2294,6755,7291,3796,556,17627,567,284,50.1,283,49.9,8495,45239,21867,405,290,102,618,307,9290,875,3,de Bundesliga,26,25.8,34,3060,90,100,34.0,374,82,224,150,21,148,0.82,27,53,-26,-0.76,26.3,62.8,-36.6,-1.08,3,de Bundesliga,26,34.0,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,47.3,3,de Bundesliga,2,34,34,3060,34.0,53,1.56,180,129,74.4,5,13,16,7,20.6,7,7,0,0,3,de Bundesliga,2,34.0,53,7,1,6,2,56.9,0.28,5.9,0.17,419,918,45.6,1464,94,49.6,37.3,559,12,2.1,48,1.41,18.4
4,Arsenal,eng Premier League,27,24.4,52.8,38,418,3420,38.0,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,2.53,2.65,4,eng Premier League,27,38.0,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,21,5,8,60.5,55.1,0.1,-0.5,-0.1,4,eng Premier League,27,38.0,16176,19843,81.5,280868,91114,41,40.2,34.6,0.8,437,1354,329,74,1655,4,eng Premier League,27,38.0,19843,18149,1628,404,77,132,633,679,208,153,23,5,16176,66,309,4,eng Premier League,27,38.0,1030,27.11,788,68,57,66,39,12,99,2.61,4,eng Premier League,27,38.0,540,311,261,195,84,500,48.8,256,386,123,263,296,836,658,20,4,eng Premier League,27,52.8,38.0,23780,2227,7151,10336,6491,982,23772,590,319,54.1,271,45.9,13993,73530,39388,734,494,223,557,337,16066,1642,4,eng Premier League,27,24.4,38,3420,90,100,38.0,418,85,304,110,17,232,1.82,61,48,13,0.34,60.5,45.7,14.9,0.39,4,eng Premier League,27,38.0,67,4,3,365,357,66,633,296,311,6,6,1,1861,463,572,44.7,4,eng Premier League,2,38,38,3420,38.0,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,4,eng Premier League,2,38.0,48,5,0,3,1,47.6,0.29,0.6,0.02,151,533,28.3,1037,175,36.0,33.2,487,32,6.6,61,1.61,16.4
5,Aston Villa,eng Premier League,31,26.1,46.5,38,418,3420,38.0,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,2.34,2.08,5,eng Premier League,31,38.0,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,44.0,42.0,0.09,6.0,5.0,5,eng Premier League,31,38.0,12748,16499,77.3,220973,85405,42,34.8,30.0,7.2,356,1019,293,70,1300,5,eng Premier League,31,38.0,16499,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,278,5,eng Premier League,31,38.0,837,22.03,608,85,49,41,48,6,93,2.45,5,eng Premier League,31,38.0,634,382,300,259,75,649,46.2,349,453,140,313,339,973,693,13,5,eng Premier League,31,46.5,38.0,20609,2411,6876,8896,5049,825,20606,587,333,56.7,254,43.3,11796,62511,31674,653,422,166,595,344,12668,1293,5,eng Premier League,31,26.1,38,3420,90,100,38.0,418,85,304,113,20,228,1.18,52,54,-2,-0.05,44.0,49.0,-4.9,-0.13,5,eng Premier League,31,38.0,81,2,1,401,504,52,670,339,382,2,6,2,1850,538,561,49.0,5,eng Premier League,3,38,38,3420,38.0,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,5,eng Premier League,3,38.0,54,4,2,5,2,46.5,0.29,-5.5,-0.14,157,442,35.5,880,176,36.5,30.4,513,40,7.8,34,0.89,16.3
6,Atalanta,it Serie A,32,27.5,55.0,38,418,3420,38.0,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,2.76,2.92,6,it Serie A,32,38.0,62,598,167,27.9,15.74,4.39,0.1,0.34,16.5,16,5,6,62.4,58.1,0.1,-0.4,-1.1,6,it Serie A,32,38.0,17108,21261,80.5,290891,103683,48,48.5,47.2,-0.5,479,1384,425,81,1858,6,it Serie A,32,38.0,21261,19317,1876,539,36,192,661,782,229,114,84,1,17108,68,383,6,it Serie A,32,38.0,1078,28.37,776,98,69,87,32,16,110,2.89,6,it Serie A,32,38.0,630,341,252,271,107,635,47.1,336,436,96,340,441,1071,483,6,6,it Serie A,32,55.0,38.0,25624,1875,6739,11602,7525,1135,25618,679,372,54.8,307,45.2,14869,76829,38201,796,631,257,696,376,16998,1848,6,it Serie A,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,17,0.45,62.4,45.3,17.2,0.45,6,it Serie A,32,38.0,87,2,1,513,454,68,661,441,341,3,6,3,2292,685,518,56.9,6,it Serie A,3,38,38,3419,38.0,48,1.26,139,94,69.1,16,11,11,10,26.3,6,5,0,1,6,it Serie A,3,38.0,48,5,0,3,3,44.2,0.29,-0.8,-0.02,157,387,40.6,863,203,26.0,31.3,356,29,8.1,43,1.13,16.5
7,Athletic Club,es La Liga,26,26.9,48.1,38,418,3420,38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.87,2.29,7,es La Liga,26,38.0,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0,7,es La Liga,26,38.0,12947,17283,74.9,229197,91473,34,37.5,36.0,-3.5,351,1056,306,82,1572,7,es La Liga,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,7,es La Liga,26,38.0,821,21.61,581,94,46,42,47,11,72,1.89,7,es La Liga,26,38.0,508,292,217,216,75,582,38.5,358,411,128,283,339,847,788,8,7,es La Liga,26,48.1,38.0,21254,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,57778,30509,653,461,146,569,341,12839,1559,7,es La Liga,26,26.9,38,3420,90,100,38.0,418,81,237,180,21,209,1.45,43,36,7,0.18,49.6,38.4,11.3,0.3,7,es La Liga,26,38.0,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6,7,es La Liga,2,38,38,3420,38.0,36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,7,es La Liga,2,38.0,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,577,30,5.2,41,1.08,15.2
8,Atlético Madrid,es La Liga,26,28.1,50.6,38,418,3420,38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,2.74,2.49,8,es La Liga,26,38.0,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4,8,es La Liga,26,38.0,15076,19098,78.9,253140,88718,45,40.2,39.6,4.8,347,989,325,66,1463,8,es La Liga,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,8,es La Liga,26,38.0,828,21.79,593,86,56,41,40,12,111,2.92,8,es La Liga,26,38.0,636,346,290,279,67,619,47.3,326,372,98,274,365,1001,649,14,8,es La Liga,26,50.6,38.0,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,705,531,164,555,353,14978,1456,8,es La Liga,26,28.1,38,3420,90,100,38.0,418,79,244,170,26,159,1.87,65,43,22,0.58,54.4,33.4,21.1,0.56,8,es La Liga,26,38.0,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9,8,es La Liga,1,38,38,3420,38.0,43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,8,es La Liga,1,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,477,27,5.7,29,0.76,13.8
9,Augsburg,de Bundesliga,26,26.6,41.5,34,374,3060,34.0,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.76,1.78,9,de Bundesliga,26,34.0,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,36.7,32.8,0.09,2.3,1.2,9,de Bundesliga,26,34.0,9181,13035,70.4,181255,75935,26,23.9,25.8,2.1,264,657,218,85,895,9,de Bundesliga,26,34.0,13035,11240,1722,415,28,159,592,784,145,56,82,1,9181,73,293,9,de Bundesliga,26,34.0,608,17.88,433,70,24,35,29,17,59,1.74,9,de Bundesliga,26,34.0,561,335,254,236,71,584,42.8,334,397,116,281,363,924,769,12,9,de Bundesliga,26,41.5,34.0,17060,2244,6480,7037,3743,606,17055,511,262,51.3,249,48.7,8178,45128,21470,441,323,94,597,298,9088,882,9,de Bundesliga,26,26.6,34,3060,90,100,34.0,374,80,205,169,23,136,1.12,39,56,-17,-0.5,36.7,57.9,-21.2,-0.62,9,de Bundesliga,26,34.0,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,48.0,9,de Bundesliga,1,34,34,3060,34.0,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,9,de Bundesliga,1,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,949,145,41.9,36.5,532,24,4.5,51,1.5,16.7
10,Barcelona,es La Liga,38,26.2,64.2,38,418,3420,38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,3.0,2.92,10,es La Liga,38,38.0,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1,10,es La Liga,38,38.0,21489,25006,85.9,359280,114923,52,47.6,54.7,4.4,402,1698,390,99,2079,10,es La Liga,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,10,es La Liga,38,38.0,942,24.79,728,62,68,34,41,9,123,3.24,10,es La Liga,38,38.0,587,331,236,270,81,493,49.5,249,346,85,261,325,912,467,17,10,es La Liga,38,64.2,38.0,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,961,704,280,623,358,21334,2059,10,es La Liga,38,26.2,38,3420,90,100,38.0,418,82,254,159,20,264,1.92,68,38,30,0.79,63.4,34.4,29.0,0.76,10,es La Liga,38,38.0,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5,10,es La Liga,2,38,38,3420,38.0,38,1.0,123,84,70.7,21,10,7,11,28.9,3,2,1,0,10,es La Liga,2,38.0,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,384,15,3.9,38,1.0,15.3
