Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2023-2024,57,Wolves,eng ENG,14,38,13,7,18,50,65,-15,46,1.21,46.7,67.7,-21.0,-0.55,31029,"Hwang Hee-chan, Matheus Cunha - 12",José Sá
2023-2024,58,Osasuna,es ESP,11,38,12,9,17,45,56,-11,45,1.18,40.5,49.9,-9.4,-0.25,19703,Ante Budimir - 17,Sergio Herrera
2023-2024,59,Monza,it ITA,12,38,11,12,15,39,51,-12,45,1.18,39.5,56.3,-16.8,-0.44,12172,Andrea Colpani - 8,Michele Di Gregorio
2023-2024,60,Augsburg,de GER,11,34,10,9,15,50,60,-10,39,1.15,46.1,57.4,-11.3,-0.33,29712,Ermedin Demirović - 15,Finn Dahmen
2023-2024,61,Strasbourg,fr FRA,13,34,10,9,15,38,50,-12,39,1.15,41.9,45.5,-3.5,-0.10,25334,Emanuel Emegha - 8,Matz Sels
2023-2024,62,Getafe,es ESP,12,38,10,13,15,42,54,-12,43,1.13,45.7,53.8,-8.1,-0.21,11456,Borja Mayoral - 15,David Soria
2023-2024,63,Wolfsburg,de GER,12,34,10,7,17,41,56,-15,37,1.09,39.2,44.7,-5.5,-0.16,25316,Jonas Wind - 11,Koen Casteels
2023-2024,64,Sevilla,es ESP,14,38,10,11,17,48,54,-6,41,1.08,44.9,55.9,-11.0,-0.29,34984,Youssef En-Nesyri - 16,Ørjan Nyland
2023-2024,65,Celta Vigo,es ESP,13,38,10,11,17,46,57,-11,41,1.08,50.7,54.6,-3.8,-0.10,20039,Jørgen Strand Larsen - 13,Vicente Guaita
2023-2024,66,Everton,eng ENG,15,38,13,9,16,40,51,-11,40,1.05,54.0,55.2,-1.2,-0.03,39042,"Abdoulaye Doucouré, Dominic Calvert-Lewin - 7",Jordan Pickford
2023-2024,67,Mallorca,es ESP,15,38,8,16,14,33,44,-11,40,1.05,40.5,42.9,-2.5,-0.06,17767,Vedat Muriqi - 7,Predrag Rajković
2023-2024,68,Las Palmas,es ESP,16,38,10,10,18,33,47,-14,40,1.05,33.2,56.6,-23.5,-0.62,25041,Kirian Rodríguez - 6,Álvaro Vallés
2023-2024,69,Brentford,eng ENG,16,38,10,9,19,56,65,-9,39,1.03,58.2,56.0,+2.2,+0.06,17082,Yoane Wissa - 12,Mark Flekken
2023-2024,70,Mainz 05,de GER,13,34,7,14,13,39,51,-12,35,1.03,44.6,44.5,+0.2,+0.01,30690,Jonathan Burkardt - 8,Robin Zentner
2023-2024,71,Gladbach,de GER,14,34,7,13,14,56,67,-11,34,1.00,46.5,54.2,-7.8,-0.23,51371,Robin Hack - 10,Moritz Nicolas
2023-2024,72,Hellas Verona,it ITA,13,38,9,11,18,38,51,-13,38,1.00,38.0,48.7,-10.7,-0.28,21996,Cyril Ngonge - 6,Lorenzo Montipò
2023-2024,73,Rayo Vallecano,es ESP,17,38,8,14,16,29,48,-19,38,1.00,42.3,44.6,-2.3,-0.06,12749,Álvaro García - 6,Stole Dimitrievski
2023-2024,74,Lecce,it ITA,14,38,8,14,16,32,54,-22,38,1.00,43.1,53.3,-10.2,-0.27,26642,Nikola Krstović - 7,Wladimiro Falcone
2023-2024,75,Udinese,it ITA,15,38,6,19,13,37,53,-16,37,0.97,39.1,49.1,-10.0,-0.26,21537,Lorenzo Lucca - 8,Maduka Okoye
2023-2024,76,Nantes,fr FRA,14,34,9,6,19,30,55,-25,33,0.97,37.6,53.0,-15.5,-0.45,27555,Mostafa Mohamed - 8,Alban Lafont
2023-2024,77,Union Berlin,de GER,15,34,9,6,19,33,58,-25,33,0.97,40.1,50.5,-10.4,-0.31,21840,Robin Gosens - 6,Frederik Rønnow
2023-2024,78,Bochum,de GER,16,34,7,12,15,42,74,-32,33,0.97,44.5,63.9,-19.3,-0.57,25393,Kevin Stöger - 7,Manuel Riemann
2023-2024,79,Empoli,it ITA,17,38,9,9,20,29,54,-25,36,0.95,36.2,52.9,-16.7,-0.44,11092,M'Baye Niang - 6,Elia Caprile
2023-2024,80,Cagliari,it ITA,16,38,8,12,18,42,68,-26,36,0.95,42.9,54.5,-11.6,-0.30,16168,Nicolas Viola - 5,Simone Scuffet
2023-2024,81,Le Havre,fr FRA,15,34,7,11,16,34,45,-11,32,0.94,37.3,50.6,-13.3,-0.39,31383,"André Ayew, Emmanuel Sabbi... - 5",Arthur Desmas
2023-2024,82,Frosinone,it ITA,18,38,8,11,19,44,69,-25,35,0.92,45.8,57.7,-12.0,-0.32,15824,Matìas Soulé - 11,Stefano Turati
2023-2024,83,Cádiz,es ESP,18,38,6,15,17,26,55,-29,33,0.87,36.0,52.3,-16.3,-0.43,18016,Chris Ramos - 5,Jeremías Ledesma
2023-2024,84,Lorient,fr FRA,17,34,7,8,19,43,66,-23,29,0.85,37.1,54.5,-17.3,-0.51,15676,Mohamed Bamba - 8,Yvon Mvogo
2023-2024,85,Metz,fr FRA,16,34,8,5,21,35,58,-23,29,0.85,34.2,54.5,-20.3,-0.60,23838,Georges Mikautadze - 13,Alexandre Oukidja
2023-2024,86,Nott'ham Forest,eng ENG,17,38,9,9,20,49,67,-18,32,0.84,49.9,53.3,-3.4,-0.09,29386,Chris Wood - 14,Matt Turner
2023-2024,87,Sassuolo,it ITA,19,38,7,9,22,43,75,-32,30,0.79,39.8,61.6,-21.8,-0.57,13905,Andrea Pinamonti - 11,Andrea Consigli
2023-2024,88,Köln,de GER,17,34,5,12,17,28,60,-32,27,0.79,39.3,64.6,-25.3,-0.74,49829,Davie Selke - 6,Marvin Schwäbe
2023-2024,89,Clermont Foot,fr FRA,18,34,5,10,19,26,60,-34,25,0.74,36.0,63.7,-27.6,-0.81,9821,Muhammed Cham - 8,Mory Diaw
2023-2024,90,Luton Town,eng ENG,18,38,6,8,24,52,85,-33,26,0.68,42.4,78.0,-35.5,-0.94,11240,Carlton Morris - 11,Thomas Kaminski
2023-2024,91,Burnley,eng ENG,19,38,5,9,24,41,78,-37,24,0.63,40.6,70.4,-29.7,-0.78,21184,Jacob Bruun Larsen - 6,James Trafford
2023-2024,92,Almería,es ESP,19,38,3,12,23,43,75,-32,21,0.55,48.7,61.6,-12.9,-0.34,12893,Sergio Arribas - 9,Luís Maximiano
2023-2024,93,Granada,es ESP,20,38,4,9,25,38,79,-41,21,0.55,42.6,64.2,-21.6,-0.57,16350,Myrto Uzuni - 11,Augusto Batalla
2023-2024,94,Darmstadt 98,de GER,18,34,3,8,23,30,86,-56,17,0.50,32.3,73.1,-40.8,-1.20,17730,Tim Skarke - 8,Marcel Schuhen
2023-2024,95,Salernitana,it ITA,20,38,2,11,25,32,81,-49,17,0.45,30.3,74.4,-44.1,-1.16,18787,Antonio Candreva - 6,Guillermo Ochoa
2023-2024,96,Sheffield Utd,eng ENG,20,38,3,7,28,35,104,-69,16,0.42,38.3,76.6,-38.3,-1.01,30011,"Oliver McBurnie, Ben Brereton - 6",Wes Foderingham
