Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,Rk_stats_teams_shooting_for,Comp_stats_teams_shooting_for,# Pl_stats_teams_shooting_for,90s_stats_teams_shooting_for,Gls_stats_teams_shooting_for,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_teams_shooting_for,PKatt_stats_teams_shooting_for,xG_stats_teams_shooting_for,npxG_stats_teams_shooting_for,npxG/Sh,G-xG,np:G-xG,Rk_stats_teams_passing_for,Comp_stats_teams_passing_for,# Pl_stats_teams_passing_for,90s_stats_teams_passing_for,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_teams_passing_for,xAG_stats_teams_passing_for,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_teams_passing_for,Rk_stats_teams_passing_types_for,Comp_stats_teams_passing_types_for,# Pl_stats_teams_passing_types_for,90s_stats_teams_passing_types_for,Att_stats_teams_passing_types_for,Live,Dead,FK_stats_teams_passing_types_for,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_teams_passing_types_for,Off,Blocks,Rk_stats_teams_gca_for,Comp_stats_teams_gca_for,# Pl_stats_teams_gca_for,90s_stats_teams_gca_for,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_teams_gca_for,Fld,Def,GCA,GCA90,Rk_stats_teams_defense_for,Comp_stats_teams_defense_for,# Pl_stats_teams_defense_for,90s_stats_teams_defense_for,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_teams_defense_for,Tkl%,Lost,Blocks_stats_teams_defense_for,Sh_stats_teams_defense_for,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_teams_possession_for,Comp_stats_teams_possession_for,# Pl_stats_teams_possession_for,Poss_stats_teams_possession_for,90s_stats_teams_possession_for,Touches,Def Pen,Def 3rd_stats_teams_possession_for,Mid 3rd_stats_teams_possession_for,Att 3rd_stats_teams_possession_for,Att Pen,Live_stats_teams_possession_for,Att_stats_teams_possession_for,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_teams_possession_for,PrgDist_stats_teams_possession_for,PrgC_stats_teams_possession_for,1/3_stats_teams_possession_for,CPA,Mis,Dis,Rec,PrgR,Rk_stats_teams_playing_time_for,Comp_stats_teams_playing_time_for,# Pl_stats_teams_playing_time_for,Age_stats_teams_playing_time_for,MP_stats_teams_playing_time_for,Min_stats_teams_playing_time_for,Mn/MP,Min%,90s_stats_teams_playing_time_for,Starts_stats_teams_playing_time_for,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_teams_misc_for,Comp_stats_teams_misc_for,# Pl_stats_teams_misc_for,90s_stats_teams_misc_for,CrdY_stats_teams_misc_for,CrdR_stats_teams_misc_for,2CrdY,Fls,Fld_stats_teams_misc_for,Off_stats_teams_misc_for,Crs_stats_teams_misc_for,Int_stats_teams_misc_for,TklW_stats_teams_misc_for,PKwon,PKcon,OG,Recov,Won,Lost_stats_teams_misc_for,Won%,Rk_stats_teams_keeper_for,Comp_stats_teams_keeper_for,# Pl_stats_teams_keeper_for,MP_stats_teams_keeper_for,Starts_stats_teams_keeper_for,Min_stats_teams_keeper_for,90s_stats_teams_keeper_for,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_teams_keeper_for,PKA,PKsv,PKm,Rk_stats_teams_keeper_adv_for,Comp_stats_teams_keeper_adv_for,# Pl_stats_teams_keeper_adv_for,90s_stats_teams_keeper_adv_for,GA_stats_teams_keeper_adv_for,PKA_stats_teams_keeper_adv_for,FK_stats_teams_keeper_adv_for,CK_stats_teams_keeper_adv_for,OG_stats_teams_keeper_adv_for,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_teams_keeper_adv_for,Att_stats_teams_keeper_adv_for,Cmp%_stats_teams_keeper_adv_for,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alavés,es La Liga,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,1.34,1.84,1,es La Liga,30,38.0,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,1,es La Liga,30,38.0,10217,14390,71.0,196749,86617,21,27.4,21.0,-6.4,256,789,189,82,939,1,es La Liga,30,38.0,14390,12380,1937,595,11,144,645,800,142,42,68,4,10217,73,265,1,es La Liga,30,38.0,595,15.66,375,97,25,35,50,13,59,1.55,1,es La Liga,30,38.0,499,292,263,181,55,565,34.9,368,341,90,251,428,927,766,8,1,es La Liga,30,42.8,38.0,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926,1,es La Liga,30,28.7,38,3420,90,100,38.0,418,82,248,163,20,254,1.0,36,57,-21,-0.55,42.6,49.9,-7.3,-0.19,1,es La Liga,30,38.0,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0,1,es La Liga,2,38,38,3420,38.0,57,1.5,142,85,62.0,9,11,18,9,23.7,3,3,0,0,1,es La Liga,2,38.0,57,3,0,5,0,51.1,0.35,-5.9,-0.16,309,615,50.2,792,116,53.7,40.3,545,19,3.5,37,0.97,14.5
2,Angers,fr Ligue 1,31,27.9,46.4,38,418,3420,38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.53,1.79,2,fr Ligue 1,31,38.0,40,401,135,33.7,10.55,3.55,0.09,0.26,18.9,18,5,6,41.6,36.9,0.09,-1.6,-1.9,2,fr Ligue 1,31,38.0,14883,18822,79.1,260279,99308,23,26.4,25.0,-3.4,294,1059,221,62,1435,2,fr Ligue 1,31,38.0,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355,2,fr Ligue 1,31,38.0,706,18.58,525,48,41,38,42,12,66,1.74,2,fr Ligue 1,31,38.0,626,376,302,256,68,754,41.6,440,330,78,252,443,1069,654,1,2,fr Ligue 1,31,46.4,38.0,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418,2,fr Ligue 1,31,27.9,38,3420,90,100,38.0,418,81,247,170,21,168,1.16,40,58,-18,-0.47,41.6,52.3,-10.7,-0.28,2,fr Ligue 1,31,38.0,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9,2,fr Ligue 1,1,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,2,fr Ligue 1,1,38.0,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,516,19,3.7,17,0.45,11.3
3,Arminia,de Bundesliga,26,26.0,42.3,34,374,3060,34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,1.12,1.67,3,de Bundesliga,26,34.0,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,3,de Bundesliga,26,34.0,10582,14604,72.5,214163,88686,16,23.9,25.4,-7.9,229,795,172,50,880,3,de Bundesliga,26,34.0,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274,3,de Bundesliga,26,34.0,558,16.41,371,60,40,27,48,12,38,1.12,3,de Bundesliga,26,34.0,552,328,268,229,55,536,39.9,322,393,122,271,418,970,739,9,3,de Bundesliga,26,42.3,34.0,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874,3,de Bundesliga,26,26.0,34,3060,90,100,34.0,374,83,227,147,17,157,1.03,26,52,-26,-0.76,32.9,56.8,-23.9,-0.7,3,de Bundesliga,26,34.0,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0,3,de Bundesliga,1,34,34,3060,34.0,52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,0,3,de Bundesliga,1,34.0,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,525,17,3.2,44,1.29,16.8
4,Arsenal,eng Premier League,29,25.9,53.5,38,418,3420,38.0,53,38,91,47,6,6,49,5,51.7,47.0,35.1,82.1,758,1760,2.24,2.29,4,eng Premier League,29,38.0,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.7,47.0,0.11,1.3,0.0,4,eng Premier League,29,38.0,18041,21807,82.7,306094,93540,38,35.1,35.3,2.9,332,1377,325,67,1760,4,eng Premier League,29,38.0,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,4,eng Premier League,29,38.0,813,21.39,623,44,49,45,46,6,95,2.5,4,eng Premier League,29,38.0,456,252,206,184,66,547,38.8,335,368,113,255,351,807,643,16,4,eng Premier League,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,4,eng Premier League,29,25.9,38,3420,90,100,38.0,418,84,301,114,19,201,1.61,55,39,16,0.42,51.7,43.0,8.8,0.23,4,eng Premier League,29,38.0,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9,4,eng Premier League,3,38,38,3417,38.0,39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,4,eng Premier League,3,38.0,39,2,0,3,4,36.0,0.26,1.0,0.03,81,303,26.7,1021,206,16.7,21.9,518,24,4.6,37,0.97,14.3
5,Aston Villa,eng Premier League,24,25.2,48.5,38,418,3420,38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,2.24,2.37,5,eng Premier League,24,38.0,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,5,eng Premier League,24,38.0,12940,16998,76.1,235952,93019,38,37.4,31.4,0.6,403,1086,323,76,1420,5,eng Premier League,24,38.0,16998,15004,1923,590,12,127,779,780,213,106,39,15,12940,71,275,5,eng Premier League,24,38.0,940,24.74,670,91,63,47,58,11,94,2.47,5,eng Premier League,24,38.0,530,282,262,202,66,571,43.8,321,438,159,279,387,917,783,17,5,eng Premier League,24,48.5,38.0,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403,5,eng Premier League,24,25.2,38,3420,90,100,38.0,418,86,324,91,17,229,1.45,55,46,9,0.24,52.5,51.1,1.5,0.04,5,eng Premier League,24,38.0,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3,5,eng Premier League,1,38,38,3420,38.0,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,5,eng Premier League,1,38.0,46,5,2,4,1,49.2,0.24,4.2,0.11,247,639,38.7,1056,177,45.0,37.1,613,42,6.9,34,0.89,14.2
6,Atalanta,it Serie A,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,3.92,3.43,6,it Serie A,30,38.0,90,614,221,36.0,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7,6,it Serie A,30,38.0,18066,22063,81.9,310229,109918,65,55.5,49.1,9.5,487,1635,490,85,2077,6,it Serie A,30,38.0,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395,6,it Serie A,30,38.0,1115,29.34,866,68,60,61,43,17,162,4.26,6,it Serie A,30,38.0,606,343,252,256,98,591,44.8,326,421,92,329,516,1122,484,11,6,it Serie A,30,54.6,38.0,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056,6,it Serie A,30,27.3,38,3420,90,100,38.0,418,80,240,176,23,253,2.05,90,47,43,1.13,74.7,41.0,33.7,0.89,6,it Serie A,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6,6,it Serie A,2,38,38,3417,38.0,47,1.24,112,63,62.5,23,9,6,11,28.9,8,5,3,0,6,it Serie A,2,38.0,47,5,0,5,1,42.3,0.31,-3.7,-0.1,132,323,40.9,868,161,24.8,28.3,377,14,3.7,66,1.74,16.3
7,Athletic Club,es La Liga,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,42.8,38.9,31.0,70.0,685,1496,1.84,1.94,7,es La Liga,27,38.0,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,42.8,38.9,0.1,0.2,0.1,7,es La Liga,27,38.0,13577,17841,76.1,251118,91439,31,31.0,27.9,0.0,303,1054,284,79,1496,7,es La Liga,27,38.0,17841,15737,2027,561,13,200,811,920,197,65,73,3,13577,77,376,7,es La Liga,27,38.0,723,19.03,539,66,37,25,43,13,73,1.92,7,es La Liga,27,38.0,461,269,194,200,67,515,32.4,348,341,74,267,344,805,684,9,7,es La Liga,27,49.9,38.0,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477,7,es La Liga,27,26.6,38,3420,90,100,38.0,418,81,240,177,22,242,1.21,46,42,4,0.11,42.8,37.5,5.3,0.14,7,es La Liga,27,38.0,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2,7,es La Liga,2,38,38,3420,38.0,42,1.11,111,69,66.7,11,13,14,9,23.7,6,5,1,0,7,es La Liga,2,38.0,42,5,1,6,1,37.5,0.29,-3.5,-0.09,206,493,41.8,817,210,36.5,26.2,555,24,4.3,36,0.95,30.5
8,Atlético Madrid,es La Liga,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,3.0,2.46,8,es La Liga,25,38.0,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,8,es La Liga,25,38.0,16757,20680,81.0,276506,95008,54,40.6,38.8,13.4,347,1144,370,53,1604,8,es La Liga,25,38.0,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,8,es La Liga,25,38.0,796,20.95,585,71,55,42,35,8,120,3.16,8,es La Liga,25,38.0,622,367,291,253,78,631,46.9,335,361,83,278,386,1008,671,7,8,es La Liga,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,8,es La Liga,25,27.3,38,3420,90,100,38.0,418,82,272,148,23,231,2.26,67,25,42,1.11,52.8,37.1,15.7,0.41,8,es La Liga,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,8,es La Liga,1,38,38,3420,38.0,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,8,es La Liga,1,38.0,25,1,0,5,3,33.1,0.25,11.1,0.29,202,539,37.5,709,131,49.6,39.1,513,14,2.7,27,0.71,15.7
9,Augsburg,de Bundesliga,25,27.0,41.4,34,374,3060,34.0,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.65,1.86,9,de Bundesliga,25,34.0,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4,9,de Bundesliga,25,34.0,10257,14168,72.4,193960,77974,23,25.9,22.9,-2.9,245,691,182,56,987,9,de Bundesliga,25,34.0,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337,9,de Bundesliga,25,34.0,566,16.65,377,65,39,28,44,13,57,1.68,9,de Bundesliga,25,34.0,509,308,251,211,47,503,40.0,302,395,116,279,454,963,852,8,9,de Bundesliga,25,41.4,34.0,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977,9,de Bundesliga,25,27.0,34,3060,90,100,34.0,374,82,231,141,21,159,1.06,36,54,-18,-0.53,37.3,57.3,-20.0,-0.59,9,de Bundesliga,25,34.0,71,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8,9,de Bundesliga,1,34,34,3060,34.0,54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,9,de Bundesliga,1,34.0,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,619,33,5.3,36,1.06,16.0
10,Barcelona,es La Liga,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,3.34,3.33,10,es La Liga,25,38.0,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,10,es La Liga,25,38.0,25192,28488,88.4,384110,119170,51,53.2,63.6,-2.2,452,1874,517,52,2157,10,es La Liga,25,38.0,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,10,es La Liga,25,38.0,1064,28.0,833,50,76,34,61,10,136,3.58,10,es La Liga,25,38.0,499,293,223,195,81,522,42.9,298,325,70,255,361,860,429,16,10,es La Liga,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104711,56171,972,930,276,477,341,25054,2144,10,es La Liga,25,26.4,38,3420,90,100,38.0,418,82,260,158,22,260,2.08,85,38,47,1.24,73.5,40.8,32.7,0.86,10,es La Liga,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,10,es La Liga,2,38,38,3420,38.0,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,10,es La Liga,2,38.0,38,5,1,5,2,36.0,0.24,0.0,0.0,92,207,44.4,1068,193,14.8,24.8,369,19,5.1,40,1.05,13.9
