Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,Rk_stats_teams_shooting_for,Comp_stats_teams_shooting_for,# Pl_stats_teams_shooting_for,90s_stats_teams_shooting_for,Gls_stats_teams_shooting_for,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_teams_shooting_for,PKatt_stats_teams_shooting_for,xG_stats_teams_shooting_for,npxG_stats_teams_shooting_for,npxG/Sh,G-xG,np:G-xG,Rk_stats_teams_passing_for,Comp_stats_teams_passing_for,# Pl_stats_teams_passing_for,90s_stats_teams_passing_for,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_teams_passing_for,xAG_stats_teams_passing_for,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_teams_passing_for,Rk_stats_teams_passing_types_for,Comp_stats_teams_passing_types_for,# Pl_stats_teams_passing_types_for,90s_stats_teams_passing_types_for,Att_stats_teams_passing_types_for,Live,Dead,FK_stats_teams_passing_types_for,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_teams_passing_types_for,Off,Blocks,Rk_stats_teams_gca_for,Comp_stats_teams_gca_for,# Pl_stats_teams_gca_for,90s_stats_teams_gca_for,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_teams_gca_for,Fld,Def,GCA,GCA90,Rk_stats_teams_defense_for,Comp_stats_teams_defense_for,# Pl_stats_teams_defense_for,90s_stats_teams_defense_for,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_teams_defense_for,Tkl%,Lost,Blocks_stats_teams_defense_for,Sh_stats_teams_defense_for,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_teams_possession_for,Comp_stats_teams_possession_for,# Pl_stats_teams_possession_for,Poss_stats_teams_possession_for,90s_stats_teams_possession_for,Touches,Def Pen,Def 3rd_stats_teams_possession_for,Mid 3rd_stats_teams_possession_for,Att 3rd_stats_teams_possession_for,Att Pen,Live_stats_teams_possession_for,Att_stats_teams_possession_for,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_teams_possession_for,PrgDist_stats_teams_possession_for,PrgC_stats_teams_possession_for,1/3_stats_teams_possession_for,CPA,Mis,Dis,Rec,PrgR,Rk_stats_teams_playing_time_for,Comp_stats_teams_playing_time_for,# Pl_stats_teams_playing_time_for,Age_stats_teams_playing_time_for,MP_stats_teams_playing_time_for,Min_stats_teams_playing_time_for,Mn/MP,Min%,90s_stats_teams_playing_time_for,Starts_stats_teams_playing_time_for,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_teams_misc_for,Comp_stats_teams_misc_for,# Pl_stats_teams_misc_for,90s_stats_teams_misc_for,CrdY_stats_teams_misc_for,CrdR_stats_teams_misc_for,2CrdY,Fls,Fld_stats_teams_misc_for,Off_stats_teams_misc_for,Crs_stats_teams_misc_for,Int_stats_teams_misc_for,TklW_stats_teams_misc_for,PKwon,PKcon,OG,Recov,Won,Lost_stats_teams_misc_for,Won%,Rk_stats_teams_keeper_for,Comp_stats_teams_keeper_for,# Pl_stats_teams_keeper_for,MP_stats_teams_keeper_for,Starts_stats_teams_keeper_for,Min_stats_teams_keeper_for,90s_stats_teams_keeper_for,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_teams_keeper_for,PKA,PKsv,PKm,Rk_stats_teams_keeper_adv_for,Comp_stats_teams_keeper_adv_for,# Pl_stats_teams_keeper_adv_for,90s_stats_teams_keeper_adv_for,GA_stats_teams_keeper_adv_for,PKA_stats_teams_keeper_adv_for,FK_stats_teams_keeper_adv_for,CK_stats_teams_keeper_adv_for,OG_stats_teams_keeper_adv_for,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_teams_keeper_adv_for,Att_stats_teams_keeper_adv_for,Cmp%_stats_teams_keeper_adv_for,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alavés,es La Liga,29,26.6,45.3,38,418,3420,38.0,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,1.29,1.79,1,es La Liga,29,38.0,38,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,1,es La Liga,29,38.0,10534,14746,71.4,199550,84871,20,25.4,25.9,-5.4,284,963,229,99,1160,1,es La Liga,29,38.0,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,1,es La Liga,29,38.0,690,18.16,465,95,26,41,48,15,61,1.61,1,es La Liga,29,38.0,737,459,346,307,84,726,47.9,378,382,96,286,309,1046,918,10,1,es La Liga,29,45.3,38.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,1,es La Liga,29,26.6,38,3420,90,100,38.0,418,82,254,161,21,275,1.11,38,48,-10,-0.26,42.8,47.0,-4.2,-0.11,1,es La Liga,29,38.0,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,1,es La Liga,3,38,38,3419,38.0,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,1,es La Liga,3,38.0,48,11,2,4,2,46.0,0.29,0.0,0.0,361,877,41.2,869,82,71.5,43.0,552,36,6.5,31,0.82,8.9
2,Angers,fr Ligue 1,30,27.5,41.2,34,374,3060,34.0,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,1.26,1.75,2,fr Ligue 1,30,34.0,31,311,91,29.3,9.15,2.68,0.08,0.29,18.3,13,5,6,36.0,31.3,0.1,-5.0,-5.3,2,fr Ligue 1,30,34.0,11082,14057,78.8,195284,73447,17,23.5,22.7,-6.5,216,777,200,63,953,2,fr Ligue 1,30,34.0,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256,2,fr Ligue 1,30,34.0,546,16.06,389,49,25,33,29,21,55,1.62,2,fr Ligue 1,30,34.0,624,392,340,202,82,607,48.4,313,365,116,249,336,960,903,20,2,fr Ligue 1,30,41.2,34.0,17919,2146,6594,7732,3813,512,17913,613,249,40.6,331,54.0,9398,51759,26951,502,365,98,493,297,10991,943,2,fr Ligue 1,30,27.5,34,3060,90,100,34.0,374,81,216,157,20,148,1.06,32,53,-21,-0.62,36.0,57.8,-21.8,-0.64,2,fr Ligue 1,30,34.0,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8,2,fr Ligue 1,2,34,34,3060,34.0,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,2,fr Ligue 1,2,34.0,53,4,0,7,0,65.9,0.34,12.9,0.38,146,446,32.7,762,184,39.0,39.0,551,49,8.9,22,0.65,16.8
3,Arsenal,eng Premier League,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,3.16,2.77,3,eng Premier League,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,3,eng Premier League,25,38.0,17066,20241,84.3,278808,87055,55,45.3,45.7,9.7,428,1397,437,75,1826,3,eng Premier League,25,38.0,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,3,eng Premier League,25,38.0,969,25.5,726,82,52,64,34,11,119,3.13,3,eng Premier League,25,38.0,598,348,220,249,129,515,50.5,255,328,106,222,225,823,680,33,3,eng Premier League,25,56.9,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,3,eng Premier League,25,25.8,38,3420,90,100,38.0,418,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,3,eng Premier League,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3,3,eng Premier League,1,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,3,eng Premier League,1,38.0,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1210,178,31.2,29.9,402,53,13.2,66,1.74,17.2
4,Aston Villa,eng Premier League,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,2.58,2.57,4,eng Premier League,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,4,eng Premier League,28,38.0,14701,17797,82.6,252637,88182,45,41.7,36.9,3.3,358,1137,319,56,1344,4,eng Premier League,28,38.0,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,4,eng Premier League,28,38.0,849,22.34,602,85,51,58,39,14,102,2.68,4,eng Premier League,28,38.0,637,372,293,249,95,546,56.8,236,329,107,222,240,877,788,43,4,eng Premier League,28,50.5,38.0,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,4,eng Premier League,28,27.0,38,3420,90,100,38.0,418,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,4,eng Premier League,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2,4,eng Premier League,2,38,38,3420,38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,4,eng Premier League,2,38.0,51,2,1,2,0,52.1,0.32,1.1,0.03,181,474,38.2,1182,133,29.5,35.9,538,59,11.0,35,0.92,8.6
5,Atalanta,it Serie A,32,27.1,55.3,38,418,3420,38.0,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,3.29,2.94,5,it Serie A,32,38.0,76,538,181,33.6,14.16,4.76,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5,5,it Serie A,32,38.0,17454,20998,83.1,304878,97688,54,46.9,46.4,7.1,425,1382,395,113,1824,5,it Serie A,32,38.0,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326,5,it Serie A,32,38.0,966,25.42,736,75,51,71,22,11,131,3.45,5,it Serie A,32,38.0,571,347,238,260,73,506,53.8,234,360,98,262,296,867,679,16,5,it Serie A,32,55.3,38.0,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,80503,42064,897,696,254,574,362,17329,1808,5,it Serie A,32,27.1,38,3420,90,100,38.0,418,79,233,185,24,250,1.95,78,37,41,1.08,65.0,38.6,26.4,0.69,5,it Serie A,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4,5,it Serie A,3,38,38,3420,38.0,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,5,it Serie A,3,38.0,37,2,0,4,2,41.1,0.29,6.1,0.16,133,413,32.2,980,193,27.6,27.6,363,21,5.8,56,1.47,23.1
6,Athletic Club,es La Liga,31,26.9,48.4,38,418,3420,38.0,53,40,93,50,3,6,64,3,53.0,48.2,36.7,84.9,682,1579,2.37,2.36,6,es La Liga,31,38.0,53,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8,6,es La Liga,31,38.0,13665,17375,78.6,253362,90647,40,36.7,33.1,3.3,351,1283,274,90,1579,6,es La Liga,31,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,6,es La Liga,31,38.0,832,21.89,630,65,52,38,27,20,92,2.42,6,es La Liga,31,38.0,577,345,240,252,85,579,51.1,283,353,72,281,344,921,911,25,6,es La Liga,31,48.4,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,6,es La Liga,31,26.9,38,3420,90,100,38.0,418,80,226,189,23,253,1.84,54,29,25,0.66,53.0,37.8,15.2,0.4,6,es La Liga,31,38.0,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,6,es La Liga,3,38,38,3417,38.0,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,6,es La Liga,3,38.0,29,3,2,4,1,31.5,0.25,3.5,0.09,190,540,35.2,948,157,39.9,41.5,449,41,9.1,48,1.26,13.4
7,Atlético Madrid,es La Liga,24,28.4,52.6,38,418,3420,38.0,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,2.97,2.96,7,es La Liga,24,38.0,68,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,7,es La Liga,24,38.0,17826,21418,83.2,295213,100382,51,47.9,45.3,3.1,348,1233,365,96,1559,7,es La Liga,24,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,7,es La Liga,24,38.0,826,21.74,657,49,39,42,24,15,123,3.24,7,es La Liga,24,38.0,619,375,305,238,76,627,50.9,308,358,97,261,260,879,818,25,7,es La Liga,24,52.6,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,7,es La Liga,24,28.4,38,3420,90,100,38.0,418,78,228,188,27,242,2.0,68,30,38,1.0,64.6,33.4,31.2,0.82,7,es La Liga,24,38.0,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,7,es La Liga,2,38,38,3420,38.0,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,7,es La Liga,2,38.0,30,5,1,3,2,25.7,0.19,-2.3,-0.06,110,286,38.5,683,194,24.3,24.0,511,30,5.9,28,0.74,11.2
8,Augsburg,de Bundesliga,29,26.8,44.3,34,374,3060,34.0,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.76,1.76,8,de Bundesliga,29,34.0,35,397,114,28.7,11.68,3.35,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9,8,de Bundesliga,29,34.0,11577,14936,77.5,213228,82617,26,25.1,33.1,0.9,296,905,248,77,1162,8,de Bundesliga,29,34.0,14936,13228,1649,415,32,48,578,699,156,63,61,1,11577,59,362,8,de Bundesliga,29,34.0,704,20.71,505,80,34,43,37,5,63,1.85,8,de Bundesliga,29,34.0,464,300,198,202,64,430,54.2,197,417,121,296,341,805,971,16,8,de Bundesliga,29,44.3,34.0,19036,2215,6126,8404,4701,681,19034,555,228,41.1,280,50.5,10166,48245,23696,450,356,97,587,297,11478,1149,8,de Bundesliga,29,26.8,34,3060,90,100,34.0,374,80,213,157,23,147,1.26,35,51,-16,-0.47,34.7,48.9,-14.2,-0.42,8,de Bundesliga,29,34.0,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9,8,de Bundesliga,2,34,34,3060,34.0,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,8,de Bundesliga,2,34.0,51,5,1,5,2,50.2,0.3,1.2,0.03,212,561,37.8,966,123,40.4,35.2,554,21,3.8,44,1.29,13.3
9,Auxerre,fr Ligue 1,29,25.9,42.5,34,374,3060,34.0,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,2.29,2.15,9,fr Ligue 1,29,34.0,47,375,144,38.4,11.03,4.24,0.11,0.3,17.5,10,4,5,41.0,37.3,0.1,6.0,5.7,9,fr Ligue 1,29,34.0,11002,14162,77.7,201495,77527,35,32.0,24.3,3.0,296,804,212,68,1084,9,fr Ligue 1,29,34.0,14162,12617,1497,451,34,168,542,584,134,49,65,0,11002,48,287,9,fr Ligue 1,29,34.0,688,20.24,512,58,35,38,25,20,87,2.56,9,fr Ligue 1,29,34.0,657,403,330,232,95,606,52.1,290,394,125,269,350,1007,944,17,9,fr Ligue 1,29,42.5,34.0,18188,2265,6744,7753,3877,614,18183,622,258,41.5,324,52.1,10101,51428,24986,484,350,137,452,346,10927,1078,9,fr Ligue 1,29,25.9,34,3060,90,100,34.0,374,83,215,155,16,151,1.24,48,51,-3,-0.09,41.0,58.6,-17.6,-0.52,9,fr Ligue 1,29,34.0,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4,9,fr Ligue 1,2,34,34,3060,34.0,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,9,fr Ligue 1,2,34.0,51,6,0,7,3,59.3,0.31,11.3,0.33,221,680,32.5,944,178,54.6,40.3,556,31,5.6,42,1.24,13.1
10,Barcelona,es La Liga,28,24.7,68.3,38,418,3420,38.0,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,4.32,4.18,10,es La Liga,28,38.0,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,10,es La Liga,28,38.0,22321,25721,86.8,371914,116385,72,67.5,64.7,4.5,500,2020,479,77,2212,10,es La Liga,28,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,10,es La Liga,28,38.0,1205,31.71,928,60,79,71,53,14,172,4.53,10,es La Liga,28,38.0,538,332,186,245,107,520,52.1,249,329,60,269,227,765,601,14,10,es La Liga,28,68.3,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,10,es La Liga,28,24.7,38,3420,90,100,38.0,418,80,237,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3,10,es La Liga,28,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,10,es La Liga,3,38,38,3420,38.0,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,10,es La Liga,3,38.0,39,4,0,3,0,35.1,0.3,-3.9,-0.1,62,172,36.0,1139,181,11.9,25.1,356,15,4.2,158,4.16,20.2
