Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2020-2021,1,Inter,it ITA,1,38,28,7,3,89,35,54,91,2.39,74.2,39.8,34.3,0.9,158.0,Romelu Lukaku - 24,Samir Handanović
2020-2021,2,Bayern Munich,de GER,1,34,24,6,4,99,44,55,78,2.29,75.9,40.2,35.8,1.05,15.0,Robert Lewandowski - 41,Manuel Neuer
2020-2021,3,Manchester City,eng ENG,1,38,27,5,6,83,32,51,86,2.26,68.2,30.2,38.0,1.0,526.0,İlkay Gündoğan - 13,Ederson
2020-2021,4,Atlético Madrid,es ESP,1,38,26,8,4,67,25,42,86,2.26,52.8,37.1,15.7,0.41,,Luis Suárez - 21,Jan Oblak
2020-2021,5,Real Madrid,es ESP,2,38,25,9,4,67,28,39,84,2.21,61.5,37.6,23.9,0.63,,Karim Benzema - 23,Thibaut Courtois
2020-2021,6,Lille,fr FRA,1,38,24,11,3,64,23,41,83,2.18,48.5,29.8,18.7,0.49,209.0,Burak Yılmaz - 16,Mike Maignan
2020-2021,7,Paris S-G,fr FRA,2,38,26,4,8,86,28,58,82,2.16,80.1,40.6,39.5,1.04,,Kylian Mbappé - 27,Keylor Navas
2020-2021,8,Barcelona,es ESP,3,38,24,7,7,85,38,47,79,2.08,73.5,40.8,32.7,0.86,,Lionel Messi - 30,Marc-André ter Stegen
2020-2021,9,Milan,it ITA,2,38,24,7,7,74,41,33,79,2.08,70.7,47.0,23.7,0.62,105.0,Zlatan Ibrahimović - 15,Gianluigi Donnarumma
2020-2021,10,Atalanta,it ITA,3,38,23,9,6,90,47,43,78,2.05,74.7,41.0,33.7,0.89,105.0,Luis Muriel - 22,Pierluigi Gollini
2020-2021,11,Juventus,it ITA,4,38,23,9,6,77,38,39,78,2.05,74.4,39.4,35.0,0.92,105.0,Cristiano Ronaldo - 29,Wojciech Szczęsny
2020-2021,12,Monaco,fr FRA,3,38,24,6,8,76,42,34,78,2.05,68.7,34.6,34.1,0.9,,Wissam Ben Yedder - 20,Benjamin Lecomte
2020-2021,13,Napoli,it ITA,5,38,24,5,9,86,41,45,77,2.03,67.7,42.6,25.2,0.66,105.0,Lorenzo Insigne - 19,Alex Meret
2020-2021,14,Sevilla,es ESP,4,38,24,5,9,53,33,20,77,2.03,54.4,34.8,19.6,0.52,,Youssef En-Nesyri - 18,Yassine Bounou
2020-2021,15,Lyon,fr FRA,4,38,22,10,6,81,43,38,76,2.0,81.4,41.5,40.0,1.05,231.0,Memphis - 20,Anthony Lopes
2020-2021,16,Manchester Utd,eng ENG,2,38,21,11,6,73,44,29,74,1.95,60.1,41.4,18.6,0.49,526.0,Bruno Fernandes - 18,David de Gea
2020-2021,17,RB Leipzig,de GER,2,34,19,8,7,60,32,28,65,1.91,64.4,29.4,35.0,1.03,1059.0,Marcel Sabitzer - 8,Péter Gulácsi
2020-2021,18,Dortmund,de GER,3,34,20,4,10,75,46,29,64,1.88,66.2,41.6,24.6,0.72,1241.0,Erling Haaland - 27,Roman Bürki
2020-2021,19,Liverpool,eng ENG,3,38,20,9,9,68,42,26,69,1.82,67.5,43.0,24.5,0.65,837.0,Mohamed Salah - 22,Alisson
2020-2021,20,Wolfsburg,de GER,4,34,17,10,7,61,37,24,61,1.79,49.0,42.1,6.9,0.2,538.0,Wout Weghorst - 20,Koen Casteels
2020-2021,21,Lazio,it ITA,6,38,21,5,12,61,55,6,68,1.79,58.2,47.3,10.9,0.29,158.0,Ciro Immobile - 20,Pepe Reina
2020-2021,22,Chelsea,eng ENG,4,38,19,10,9,58,36,22,67,1.76,62.4,30.3,32.1,0.85,526.0,Jorginho - 7,Edouard Mendy
2020-2021,23,Eint Frankfurt,de GER,5,34,16,12,6,69,53,16,60,1.76,58.5,46.9,11.6,0.34,853.0,André Silva - 28,Kevin Trapp
2020-2021,24,Leicester City,eng ENG,5,38,20,6,12,68,50,18,66,1.74,55.8,46.0,9.8,0.26,421.0,Jamie Vardy - 15,Kasper Schmeichel
2020-2021,25,West Ham,eng ENG,6,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,632.0,"Michail Antonio, Tomáš Souček - 10",Łukasz Fabiański
2020-2021,26,Tottenham,eng ENG,7,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4.0,0.1,632.0,Harry Kane - 23,Hugo Lloris
2020-2021,27,Real Sociedad,es ESP,5,38,17,11,10,59,38,21,62,1.63,60.7,39.2,21.5,0.57,,Alexander Isak - 17,Álex Remiro
2020-2021,28,Roma,it ITA,7,38,18,8,12,68,58,10,62,1.63,65.3,45.6,19.7,0.53,105.0,Henrikh Mkhitaryan - 13,Pau López
2020-2021,29,Sassuolo,it ITA,8,38,17,11,10,64,56,8,62,1.63,58.4,55.4,3.0,0.08,134.0,Domenico Berardi - 17,Andrea Consigli
2020-2021,30,Arsenal,eng ENG,8,38,18,7,13,55,39,16,61,1.61,51.7,43.0,8.8,0.23,632.0,Alexandre Lacazette - 13,Bernd Leno
2020-2021,31,Betis,es ESP,6,38,17,10,11,50,50,0,61,1.61,49.1,46.8,2.3,0.06,,Borja Iglesias - 11,Claudio Bravo
2020-2021,32,Marseille,fr FRA,5,38,16,12,10,54,47,7,60,1.58,47.0,47.4,-0.4,-0.01,,Arkadiusz Milik - 9,Steve Mandanda
2020-2021,33,Leeds United,eng ENG,9,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,421.0,Patrick Bamford - 17,Illan Meslier
2020-2021,34,Everton,eng ENG,10,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,368.0,Dominic Calvert-Lewin - 16,Jordan Pickford
2020-2021,35,Villarreal,es ESP,7,38,15,13,10,60,44,16,58,1.53,56.4,42.5,13.9,0.37,253.0,Gerard Moreno - 23,Sergio Asenjo
2020-2021,36,Leverkusen,de GER,6,34,14,10,10,53,39,14,52,1.53,46.3,39.2,7.1,0.21,355.0,Lucas Alario - 11,Lukáš Hrádecký
2020-2021,37,Rennes,fr FRA,6,38,16,10,12,52,40,12,58,1.53,47.8,38.1,9.7,0.26,,Serhou Guirassy - 10,Alfred Gomis
2020-2021,38,Lens,fr FRA,7,38,15,12,11,55,54,1,57,1.5,56.4,46.8,9.6,0.25,,Gaël Kakuta - 11,Jean-Louis Leca
2020-2021,39,Union Berlin,de GER,7,34,12,14,8,50,43,7,50,1.47,46.9,42.8,4.1,0.12,912.0,Max Kruse - 11,Andreas Luthe
2020-2021,40,Aston Villa,eng ENG,11,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.5,0.04,526.0,Ollie Watkins - 14,Emiliano Martínez
2020-2021,41,Gladbach,de GER,8,34,13,10,11,64,56,8,49,1.44,54.9,45.7,9.2,0.27,628.0,Lars Stindl - 14,Yann Sommer
