Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,0.07,0.06,22,43,26,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,450,581,77.5,7402,2789,1,0.8,0.9,+0.2,7,25,13,2,43,453,127,11,2,3,13,116,0,0,0,0,450,29,19,20,7,2,34,58.8,14,9,5,4,8,37,27,0,23,1.68,16,4,0,0,3,0,2,0.15,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,0.28,0.27,37,56,91,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,365,472,77.3,4890,1506,2,1.9,2.0,+0.1,22,30,14,3,56,439,29,3,5,1,22,12,6,2,3,0,365,32,18,13,13,6,32,50.0,16,26,1,25,2,34,4,0,53,3.76,41,1,8,3,0,0,8,0.57,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.89,0.19,2,5,7,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,41,50,82.0,576,71,1,0.1,0.1,+0.9,1,4,2,0,5,48,2,1,0,0,0,1,0,0,0,0,41,2,2,1,1,0,1,100.0,0,2,0,2,0,2,0,0,1,0.89,1,0,0,0,0,0,1,0.89,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,8,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,0.10,0.12,36,137,9,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4,1552,1836,84.5,29618,9672,0,0.3,0.6,-0.3,8,129,3,0,137,1650,178,75,2,13,3,29,0,0,0,0,1552,64,35,36,23,5,45,57.8,19,51,32,19,39,103,109,2,24,0.78,19,1,0,3,1,0,1,0.03,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,0.00,0.08,9,78,20,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,796,895,88.9,12470,3008,0,0.5,1.1,-0.5,6,87,5,2,78,875,18,17,0,1,3,1,0,0,0,0,796,21,14,8,10,3,18,44.4,10,12,1,11,12,33,18,0,27,1.60,27,0,0,0,0,0,3,0.18,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,60,79,75.9,1159,426,0,0.0,0.0,0.0,0,4,0,0,7,75,4,4,0,1,0,0,0,0,0,0,60,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0,0.00,0,0,0,0,0,0,0,0.00,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.1,3.3,0.09,0.10,38,194,51,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9,1551,1836,84.5,27382,8613,1,2.1,1.9,-1.1,30,188,23,3,194,1743,88,68,6,13,34,14,0,0,0,0,1551,85,52,43,34,8,96,39.6,58,29,6,23,61,146,61,3,81,2.55,67,3,2,1,2,6,5,0.16,2165,105,553,1289,349,10,2165,65,44,67.7,18,27.7,1650,8705,3885,38,49,3,32,30,1503,51,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,0.43,0.50,28,20,87,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2,162,231,70.1,2410,448,0,2.0,0.9,-2.0,17,6,7,2,20,218,12,0,2,1,7,1,0,0,0,0,162,9,4,4,3,2,8,37.5,5,3,0,3,3,12,5,0,38,3.28,30,0,5,2,1,0,2,0.17,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,0.06,0.07,14,33,58,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,615,797,77.2,9211,4552,1,1.0,1.0,0.0,8,20,7,2,33,628,165,7,0,3,26,158,0,0,0,0,615,25,19,15,9,1,34,50.0,17,23,5,18,15,40,62,0,14,0.90,13,0,0,1,0,0,0,0.00,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
