Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,Rk_stats_teams_shooting_for,Comp_stats_teams_shooting_for,# Pl_stats_teams_shooting_for,90s_stats_teams_shooting_for,Gls_stats_teams_shooting_for,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_teams_shooting_for,PKatt_stats_teams_shooting_for,xG_stats_teams_shooting_for,npxG_stats_teams_shooting_for,npxG/Sh,G-xG,np:G-xG,Rk_stats_teams_passing_for,Comp_stats_teams_passing_for,# Pl_stats_teams_passing_for,90s_stats_teams_passing_for,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_teams_passing_for,xAG_stats_teams_passing_for,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_teams_passing_for,Rk_stats_teams_passing_types_for,Comp_stats_teams_passing_types_for,# Pl_stats_teams_passing_types_for,90s_stats_teams_passing_types_for,Att_stats_teams_passing_types_for,Live,Dead,FK_stats_teams_passing_types_for,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_teams_passing_types_for,Off,Blocks,Rk_stats_teams_gca_for,Comp_stats_teams_gca_for,# Pl_stats_teams_gca_for,90s_stats_teams_gca_for,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_teams_gca_for,Fld,Def,GCA,GCA90,Rk_stats_teams_defense_for,Comp_stats_teams_defense_for,# Pl_stats_teams_defense_for,90s_stats_teams_defense_for,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_teams_defense_for,Tkl%,Lost,Blocks_stats_teams_defense_for,Sh_stats_teams_defense_for,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_teams_possession_for,Comp_stats_teams_possession_for,# Pl_stats_teams_possession_for,Poss_stats_teams_possession_for,90s_stats_teams_possession_for,Touches,Def Pen,Def 3rd_stats_teams_possession_for,Mid 3rd_stats_teams_possession_for,Att 3rd_stats_teams_possession_for,Att Pen,Live_stats_teams_possession_for,Att_stats_teams_possession_for,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_teams_possession_for,PrgDist_stats_teams_possession_for,PrgC_stats_teams_possession_for,1/3_stats_teams_possession_for,CPA,Mis,Dis,Rec,PrgR,Rk_stats_teams_playing_time_for,Comp_stats_teams_playing_time_for,# Pl_stats_teams_playing_time_for,Age_stats_teams_playing_time_for,MP_stats_teams_playing_time_for,Min_stats_teams_playing_time_for,Mn/MP,Min%,90s_stats_teams_playing_time_for,Starts_stats_teams_playing_time_for,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_teams_misc_for,Comp_stats_teams_misc_for,# Pl_stats_teams_misc_for,90s_stats_teams_misc_for,CrdY_stats_teams_misc_for,CrdR_stats_teams_misc_for,2CrdY,Fls,Fld_stats_teams_misc_for,Off_stats_teams_misc_for,Crs_stats_teams_misc_for,Int_stats_teams_misc_for,TklW_stats_teams_misc_for,PKwon,PKcon,OG,Recov,Won,Lost_stats_teams_misc_for,Won%,Rk_stats_teams_keeper_for,Comp_stats_teams_keeper_for,# Pl_stats_teams_keeper_for,MP_stats_teams_keeper_for,Starts_stats_teams_keeper_for,Min_stats_teams_keeper_for,90s_stats_teams_keeper_for,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_teams_keeper_for,PKA,PKsv,PKm,Rk_stats_teams_keeper_adv_for,Comp_stats_teams_keeper_adv_for,# Pl_stats_teams_keeper_adv_for,90s_stats_teams_keeper_adv_for,GA_stats_teams_keeper_adv_for,PKA_stats_teams_keeper_adv_for,FK_stats_teams_keeper_adv_for,CK_stats_teams_keeper_adv_for,OG_stats_teams_keeper_adv_for,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_teams_keeper_adv_for,Att_stats_teams_keeper_adv_for,Cmp%_stats_teams_keeper_adv_for,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Ajaccio,fr Ligue 1,36,29.1,43.2,38,418,3420,38.0,22,12,34,16,6,9,86,10,36.1,29.5,22.8,52.3,487,1169,0.74,1.55,1,fr Ligue 1,36,38.0,22,311,81,26.0,8.18,2.13,0.05,0.2,18.1,12,6,9,36.1,29.5,0.1,-14.1,-13.5,1,fr Ligue 1,36,38.0,11216,15286,73.4,206467,81586,12,22.8,23.4,-10.8,234,954,188,71,1169,1,fr Ligue 1,36,38.0,15286,13368,1855,562,39,57,631,795,126,42,65,0,11216,63,349,1,fr Ligue 1,36,38.0,539,14.18,350,72,22,34,51,10,38,1.0,1,fr Ligue 1,36,38.0,637,382,321,236,80,694,45.1,381,359,85,274,420,1057,670,10,1,fr Ligue 1,36,43.2,38.0,19271,1979,6134,9380,3966,486,19262,632,285,45.1,277,43.8,12563,73530,32337,487,406,92,625,324,11114,1150,1,fr Ligue 1,36,29.1,38,3420,90,100,38.0,418,81,239,172,21,164,0.68,23,74,-51,-1.34,36.1,53.9,-17.8,-0.47,1,fr Ligue 1,36,38.0,86,10,2,541,495,63,631,420,382,8,10,2,2053,602,711,45.8,1,fr Ligue 1,3,38,38,3420,38.0,74,1.95,161,89,59.6,7,5,26,6,15.8,10,9,0,1,1,fr Ligue 1,3,38.0,74,9,1,11,2,57.6,0.31,-14.4,-0.38,238,633,37.6,784,90,53.3,40.7,507,26,5.1,60,1.58,11.5
2,Almería,es La Liga,29,26.4,45.1,38,418,3420,38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,2.11,2.05,2,es La Liga,29,38.0,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,2,es La Liga,29,38.0,12151,15855,76.6,225475,89276,33,32.5,28.1,0.5,316,846,218,81,1090,2,es La Liga,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,2,es La Liga,29,38.0,758,19.95,533,73,51,51,33,17,76,2.0,2,es La Liga,29,38.0,557,322,292,202,63,623,44.9,343,435,122,313,322,879,855,13,2,es La Liga,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10792,56990,29135,569,433,131,580,281,12047,1080,2,es La Liga,29,26.4,38,3420,90,100,38.0,418,81,229,187,21,254,1.08,49,65,-16,-0.42,45.5,62.5,-17.0,-0.45,2,es La Liga,29,38.0,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,2,es La Liga,3,38,38,3420,38.0,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,2,es La Liga,3,38.0,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,35.7,642,40,6.2,28,0.74,7.0
3,Angers,fr Ligue 1,33,25.7,46.9,38,418,3420,38.0,31,18,49,27,4,4,69,5,40.9,37.8,28.0,65.7,632,1393,1.18,1.81,3,fr Ligue 1,33,38.0,31,367,121,33.0,9.66,3.18,0.07,0.22,17.5,18,4,4,40.9,37.8,0.11,-9.9,-10.8,3,fr Ligue 1,33,38.0,14103,17463,80.8,252709,88748,18,28.0,27.6,-10.0,276,1124,214,65,1393,3,fr Ligue 1,33,38.0,17463,15689,1727,483,40,92,584,705,164,98,42,0,14103,47,294,3,fr Ligue 1,33,38.0,647,17.03,471,56,44,25,44,7,53,1.39,3,fr Ligue 1,33,38.0,652,386,311,268,73,610,50.8,300,402,99,303,375,1027,605,13,3,fr Ligue 1,33,46.9,38.0,21515,2041,6588,10633,4609,567,21511,928,441,47.5,392,42.2,15521,89958,41416,632,596,149,593,349,13974,1374,3,fr Ligue 1,33,25.7,38,3420,90,100,38.0,418,81,256,157,22,184,0.47,33,81,-48,-1.26,40.9,61.7,-20.8,-0.55,3,fr Ligue 1,33,38.0,69,5,3,492,422,47,584,375,386,4,11,4,2025,436,441,49.7,3,fr Ligue 1,2,38,38,3420,38.0,81,2.13,197,119,63.5,4,6,28,4,10.5,11,9,1,1,3,fr Ligue 1,2,38.0,81,9,1,9,4,67.8,0.3,-9.2,-0.24,127,416,30.5,733,194,38.1,33.6,500,38,7.6,27,0.71,11.8
4,Arsenal,eng Premier League,26,24.7,59.3,38,418,3420,38.0,84,64,148,81,3,4,51,0,71.6,68.9,53.5,122.4,824,2049,3.82,3.29,4,eng Premier League,26,38.0,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,16,3,4,71.6,68.9,0.12,12.4,12.1,4,eng Premier League,26,38.0,18281,21969,83.2,310206,100635,64,53.5,46.8,10.5,443,1637,459,62,2049,4,eng Premier League,26,38.0,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379,4,eng Premier League,26,38.0,1045,27.5,775,78,58,73,43,18,150,3.95,4,eng Premier League,26,38.0,568,343,238,212,118,510,48.8,261,362,86,276,237,805,599,23,4,eng Premier League,26,59.3,38.0,25910,1994,6632,11453,8015,1296,25906,758,358,47.2,290,38.3,15923,83916,44184,824,584,281,526,378,18101,2024,4,eng Premier League,26,24.7,38,3420,90,100,38.0,418,85,270,150,15,192,2.21,88,43,45,1.18,71.6,42.0,29.6,0.78,4,eng Premier League,26,38.0,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5,4,eng Premier League,1,38,38,3420,38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,4,eng Premier League,1,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,924,174,36.6,33.3,381,22,5.8,43,1.13,16.1
5,Aston Villa,eng Premier League,26,27.0,49.3,38,418,3420,38.0,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242,2.13,2.34,5,eng Premier League,26,38.0,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,18,3,4,50.3,47.2,0.11,-1.3,-1.2,5,eng Premier League,26,38.0,13782,17396,79.2,244073,87581,35,38.8,31.6,-3.8,318,964,268,80,1242,5,eng Premier League,26,38.0,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325,5,eng Premier League,26,38.0,751,19.76,565,50,48,38,40,10,84,2.21,5,eng Premier League,26,38.0,632,338,305,251,76,648,48.1,336,438,118,320,324,956,714,14,5,eng Premier League,26,49.3,38.0,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227,5,eng Premier League,26,27.0,38,3420,90,100,38.0,418,83,274,144,20,193,1.61,51,46,5,0.13,50.3,52.5,-2.2,-0.06,5,eng Premier League,26,38.0,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7,5,eng Premier League,2,38,38,3420,38.0,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,5,eng Premier League,2,38.0,46,5,1,9,4,42.8,0.25,0.8,0.02,214,585,36.6,1247,153,37.0,37.6,528,65,12.3,76,2.0,14.2
6,Atalanta,it Serie A,27,26.5,49.9,38,418,3420,38.0,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,2.63,2.64,6,it Serie A,27,38.0,64,506,168,33.2,13.32,4.42,0.11,0.35,16.9,13,6,8,57.7,51.3,0.1,6.3,6.7,6,it Serie A,27,38.0,15462,19507,79.3,267971,97492,42,42.7,40.8,-0.7,405,1184,385,89,1637,6,it Serie A,27,38.0,19507,17537,1912,432,35,154,652,893,194,97,67,0,15462,58,359,6,it Serie A,27,38.0,928,24.42,681,87,64,51,33,12,113,2.97,6,it Serie A,27,38.0,636,364,291,272,73,634,49.2,322,455,93,362,421,1057,613,12,6,it Serie A,27,49.9,38.0,23863,2217,7478,10221,6382,956,23855,785,340,43.3,355,45.2,13145,67168,33175,687,565,210,619,387,15359,1628,6,it Serie A,27,26.5,38,3420,90,100,38.0,418,80,244,175,23,212,1.68,66,48,18,0.47,57.7,41.4,16.3,0.43,6,it Serie A,27,38.0,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3,6,it Serie A,3,38,38,3420,38.0,48,1.26,153,107,70.6,19,7,12,9,23.7,3,3,0,0,6,it Serie A,3,38.0,48,3,1,5,2,41.3,0.25,-4.7,-0.12,161,425,37.9,863,237,28.9,32.1,454,32,7.0,42,1.11,15.6
7,Athletic Club,es La Liga,26,27.4,51.6,38,418,3420,38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.95,2.45,7,es La Liga,26,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,7,es La Liga,26,38.0,14440,18630,77.5,261620,96037,33,38.9,35.7,-5.9,413,1385,341,107,1816,7,es La Liga,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,7,es La Liga,26,38.0,945,24.87,678,96,56,59,40,16,78,2.05,7,es La Liga,26,38.0,608,369,267,254,87,642,50.2,320,415,95,320,310,918,598,14,7,es La Liga,26,51.6,38.0,22737,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,70963,39297,864,587,217,554,351,14284,1801,7,es La Liga,26,27.4,38,3420,90,100,38.0,418,81,234,182,19,248,1.34,47,43,4,0.11,54.2,36.9,17.3,0.46,7,es La Liga,26,38.0,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,7,es La Liga,2,38,38,3420,38.0,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,7,es La Liga,2,38.0,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,30.5,451,29,6.4,50,1.32,15.4
8,Atlético Madrid,es La Liga,27,28.5,50.6,38,418,3420,38.0,68,51,119,67,1,1,92,8,61.9,61.1,48.0,109.1,730,1571,3.11,2.89,8,es La Liga,27,38.0,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,61.9,61.1,0.12,6.1,5.9,8,es La Liga,27,38.0,16814,20488,82.1,277627,101839,51,48.0,40.0,3.0,418,1200,335,68,1571,8,es La Liga,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,8,es La Liga,27,38.0,958,25.21,756,59,47,51,32,13,116,3.05,8,es La Liga,27,38.0,667,408,332,245,90,685,48.8,351,396,103,293,304,971,704,9,8,es La Liga,27,50.6,38.0,24417,2414,7790,11103,5714,934,24415,656,322,49.1,262,39.9,13701,67344,35788,730,473,200,486,277,16706,1557,8,es La Liga,27,28.5,38,3420,90,100,38.0,418,81,245,168,22,201,2.03,70,33,37,0.97,61.9,41.1,20.8,0.55,8,es La Liga,27,38.0,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,8,es La Liga,3,38,38,3420,38.0,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,8,es La Liga,3,38.0,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,575,48,8.3,26,0.68,9.2
9,Augsburg,de Bundesliga,34,25.9,41.7,34,374,3060,34.0,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.94,1.74,9,de Bundesliga,34,34.0,41,354,101,28.5,10.41,2.97,0.1,0.37,18.2,14,4,5,34.7,30.9,0.09,6.3,6.1,9,de Bundesliga,34,34.0,8422,12742,66.1,169408,75215,29,24.3,24.6,4.7,240,662,191,44,847,9,de Bundesliga,34,34.0,12742,10915,1769,428,30,73,548,745,166,78,81,1,8422,58,332,9,de Bundesliga,34,34.0,578,17.0,383,76,26,42,37,14,70,2.06,9,de Bundesliga,34,34.0,522,299,251,202,69,479,48.4,247,428,125,303,286,808,755,14,9,de Bundesliga,34,41.7,34.0,16607,2548,6859,6323,3604,574,16602,491,202,41.1,234,47.7,7744,41189,20165,331,241,70,490,266,8309,831,9,de Bundesliga,34,25.9,34,3060,90,100,34.0,374,80,223,150,22,153,1.0,42,63,-21,-0.62,34.7,58.7,-23.9,-0.7,9,de Bundesliga,34,34.0,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2,9,de Bundesliga,2,34,34,3060,34.0,63,1.85,201,138,69.2,9,7,18,6,17.6,4,1,2,1,9,de Bundesliga,2,34.0,63,1,2,4,2,63.4,0.31,2.4,0.07,262,677,38.7,1327,175,34.8,36.5,539,31,5.8,67,1.97,16.8
10,Auxerre,fr Ligue 1,33,27.3,43.3,38,418,3420,38.0,32,17,49,25,7,9,54,6,42.8,35.8,27.3,63.1,531,1284,1.11,1.84,10,fr Ligue 1,33,38.0,32,420,117,27.9,11.05,3.08,0.06,0.21,19.6,15,7,9,42.8,35.8,0.09,-10.8,-10.8,10,fr Ligue 1,33,38.0,12386,15989,77.5,240572,90967,17,27.3,25.6,-10.3,301,1020,243,82,1284,10,fr Ligue 1,33,38.0,15989,14213,1728,491,31,210,617,712,135,56,57,0,12386,48,305,10,fr Ligue 1,33,38.0,733,19.29,528,61,52,40,35,17,50,1.32,10,fr Ligue 1,33,38.0,674,378,337,263,74,678,46.2,365,441,118,323,454,1128,782,11,10,fr Ligue 1,33,43.3,38.0,20359,2523,7094,9231,4269,630,20350,749,337,45.0,319,42.6,13862,80840,35785,531,461,131,645,320,12268,1267,10,fr Ligue 1,33,27.3,38,3420,90,100,38.0,418,82,255,159,19,182,0.92,35,63,-28,-0.74,42.8,58.7,-15.9,-0.42,10,fr Ligue 1,33,38.0,54,6,4,462,419,48,617,454,378,6,6,1,2078,487,566,46.2,10,fr Ligue 1,3,38,38,3420,38.0,63,1.66,181,117,67.4,8,11,19,7,18.4,6,4,2,0,10,fr Ligue 1,3,38.0,63,4,0,3,1,57.8,0.3,-4.2,-0.11,268,698,38.4,978,145,48.4,46.4,599,17,2.8,26,0.68,12.9
