Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,0.14,0.21,60,143,89,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05,+0.9,+0.7,1241,1595,77.8,19052,8208,2,3.7,3.2,-1.7,32,89,23,3,143,1202,386,61,2,4,92,280,45,30,7,4,1241,43,23,31,10,2,50,46.0,27,31,9,22,45,88,52,1,64,2.30,34,23,4,2,1,0,5,0.18,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89,0,0,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36.0,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,0.03,0.12,92,78,151,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,1332,1711,77.8,17879,5691,1,3.9,2.8,-2.9,23,55,28,12,78,1389,322,23,0,4,73,299,0,0,0,0,1332,48,30,33,9,6,36,50.0,18,46,29,17,37,85,97,1,64,1.78,47,2,6,3,4,2,3,0.08,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151,7,0,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,0.11,0.10,21,96,6,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,1.7,1.7,0.09,+1.3,+1.3,1323,1570,84.3,27406,10308,0,1.2,0.3,-1.2,5,53,1,0,96,1491,75,72,0,13,1,3,0,0,0,0,1323,46,33,29,15,2,30,56.7,13,26,14,12,47,93,99,1,23,0.82,16,0,1,4,2,0,1,0.04,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6,0,0,0,21,17,0,1,47,33,0,1,0,140,85,51,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,0.57,0.74,2,3,10,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1,19,42,45.2,279,99,0,0.2,0.1,-0.2,1,2,2,1,3,42,0,0,0,0,8,0,0,0,0,0,19,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0,4,2.29,2,0,1,1,0,0,0,0.00,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10,1,0,0,0,0,3,8,1,0,0,0,0,7,6,11,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,0.15,0.16,25,104,42,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04,-0.5,-0.5,792,967,81.9,12997,3634,2,1.8,1.7,+0.2,27,80,6,2,104,870,93,38,1,10,63,5,50,24,15,1,792,55,29,18,32,5,53,37.7,33,16,3,13,23,78,8,1,53,2.63,30,16,1,3,1,2,4,0.20,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42,5,0,0,55,43,1,63,23,29,0,1,0,153,13,17,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,0.00,0.22,12,10,33,5,0,0.0,0.72,0.00,0.00,,16.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,75,132,56.8,932,234,0,1.2,0.8,-1.2,7,3,4,1,10,121,11,0,0,0,5,0,0,0,0,0,75,9,9,2,5,2,7,28.6,5,2,0,2,4,13,4,0,18,2.60,11,0,1,1,4,1,2,0.29,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33,2,0,0,16,11,7,5,4,9,1,0,0,22,28,34,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,0.11,0.09,18,99,12,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4,738,911,81.0,14808,5563,0,0.1,0.4,-0.1,2,66,8,2,99,857,52,22,0,12,9,30,0,0,0,0,738,21,14,16,4,1,32,46.9,17,27,11,16,25,46,61,1,13,0.69,12,0,0,1,0,0,1,0.05,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12,2,1,0,14,12,0,9,25,14,0,0,0,125,48,30,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19.0,0.73,0.77,31,34,134,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4,275,418,65.8,3513,697,3,2.7,1.9,+0.3,21,17,7,1,34,367,51,0,2,1,11,0,0,0,0,0,275,8,4,2,5,1,14,21.4,11,20,2,18,6,14,27,0,57,2.32,37,0,5,10,2,3,9,0.37,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,0.00,0.08,8,27,13,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,280,330,84.8,4029,919,0,0.1,0.2,-0.1,4,24,4,3,27,317,13,9,0,0,7,1,0,0,0,0,280,16,8,7,8,1,19,52.6,9,18,3,15,7,23,16,2,10,1.35,9,0,1,0,0,0,0,0.00,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13,3,0,0,17,12,0,7,7,8,0,0,0,51,9,9,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,2,2,4,2,0,0,4,0,2.4,2.4,1.7,4.2,0.11,0.12,57,150,36,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4,1844,2073,89.0,38047,14343,2,1.7,1.7,+0.3,8,149,15,5,150,1979,93,69,3,38,26,23,1,0,0,0,1844,59,29,42,12,5,20,70.0,6,40,27,13,42,101,109,1,37,1.05,34,0,0,2,1,0,5,0.14,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36,4,0,0,26,41,5,26,42,29,1,0,0,179,56,32,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
