Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,38,8,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,0.00,3,1,3,0,0,0,3,0,0,,0,,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,0.05,0.11,38,103,87,18,5,27.8,0.91,0.25,0.00,0.00,21.1,3,0,0,1.4,1.4,0.08,-1.4,-1.4,906,1164,77.8,13287,5990,1,0.7,1.7,+0.3,11,71,20,4,103,959,192,31,0,4,40,159,2,0,2,0,906,35,22,18,17,0,43,44.2,24,18,6,12,30,65,40,2,30,1.52,27,2,1,0,0,0,3,0.15,1353,61,420,612,329,37,1353,22,10,45.5,12,54.5,728,3406,1622,38,29,9,24,6,800,87,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,0.09,0.07,18,99,3,15,5,33.3,0.47,0.16,0.20,0.60,10.5,0,0,0,1.9,1.9,0.13,+1.1,+1.1,1506,1762,85.5,30174,12190,0,0.3,0.3,-0.3,4,76,1,0,99,1697,60,60,0,11,0,0,0,0,0,0,1506,59,37,36,23,0,42,61.9,16,34,15,19,61,120,132,0,17,0.53,15,0,0,2,0,0,0,0.00,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,7,14,50.0,140,10,0,0.0,0.0,0.0,0,0,1,0,1,14,0,0,0,1,1,0,0,0,0,0,7,2,0,1,1,0,3,33.3,2,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7,0,0,0,0,0,0,5,0,1.0,1.0,0.8,1.8,0.00,0.12,32,65,16,20,0,0.0,1.36,0.00,0.00,,23.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,605,718,84.3,10646,2928,0,0.8,0.7,-0.8,12,64,7,4,65,662,52,33,0,9,40,5,14,7,7,0,605,34,19,16,14,4,30,50.0,15,9,2,7,20,54,10,0,31,2.11,18,5,3,1,2,2,1,0.07,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352,32,23,3,23,10,561,16,5,0,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,3,1,4,3,0,0,5,0,1.5,1.5,1.7,3.3,0.12,0.10,32,138,35,29,10,34.5,0.88,0.30,0.10,0.30,26.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5,1288,1564,82.4,22633,6551,1,1.7,1.4,-0.7,20,115,13,4,138,1521,38,31,1,11,26,7,0,0,0,0,1288,145,84,64,69,12,162,33.3,108,64,6,58,46,191,12,0,59,1.79,45,0,3,6,4,1,9,0.27,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1289,35,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,2.1,2.1,0.3,2.4,0.49,0.24,13,21,48,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9,128,202,63.4,1703,317,2,0.3,0.3,+1.7,6,11,6,0,21,192,10,0,0,1,3,0,0,0,0,0,128,8,2,5,0,3,12,25.0,9,6,2,4,4,12,5,0,14,1.38,11,0,2,0,1,0,3,0.30,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,1260,14.0,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,0.00,0.11,2,31,1,13,3,23.1,0.93,0.21,0.00,0.00,13.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4,521,681,76.5,11246,4984,0,0.1,0.1,-0.1,3,31,1,0,31,653,27,25,0,18,1,2,0,0,0,0,521,15,13,10,5,0,10,60.0,4,7,4,3,27,42,87,0,9,0.64,5,1,0,2,1,0,0,0.00,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307,2,2,1,9,0,463,1,1,0,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,1222,13.6,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1.0,0.07,0.07,12,55,21,10,2,20.0,0.74,0.15,0.10,0.50,15.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,558,678,82.3,10633,3990,0,0.4,0.5,-0.4,2,50,3,1,55,616,59,17,0,10,13,42,0,0,0,0,558,18,12,13,3,2,17,64.7,6,13,4,9,17,35,34,0,5,0.37,3,1,0,1,0,0,0,0.00,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
