Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2019-2020,1,Liverpool,eng ENG,1,38,32,3,3,85,33,52,99,2.61,68.9,37.7,31.2,0.82,41955,Mohamed Salah - 19,Alisson
2019-2020,2,Paris S-G,fr FRA,1,27,22,2,3,75,24,51,68,2.52,74.2,23.1,51.1,1.89,47517,Kylian Mbappé - 18,Keylor Navas
2019-2020,3,Bayern Munich,de GER,1,34,26,4,4,100,32,68,82,2.41,89.5,37.9,51.6,1.52,57353,Robert Lewandowski - 34,Manuel Neuer
2019-2020,4,Real Madrid,es ESP,1,38,26,9,3,70,25,45,87,2.29,67.9,33.3,34.6,0.91,45833,Karim Benzema - 21,Thibaut Courtois
2019-2020,5,Juventus,it ITA,1,38,26,5,7,76,43,33,83,2.18,71.1,44.9,26.1,0.69,25102,Cristiano Ronaldo - 31,Wojciech Szczęsny
2019-2020,6,Barcelona,es ESP,2,38,25,7,6,86,38,48,82,2.16,66.3,38.3,28.0,0.74,54223,Lionel Messi - 25,Marc-André ter Stegen
2019-2020,7,Inter,it ITA,2,38,24,10,4,81,36,45,82,2.16,69.4,40.7,28.7,0.76,41558,Romelu Lukaku - 23,Samir Handanović
2019-2020,8,Manchester City,eng ENG,2,38,26,3,9,102,35,67,81,2.13,92.0,36.2,55.7,1.47,37097,Raheem Sterling - 20,Ederson
2019-2020,9,Atalanta,it ITA,3,38,23,9,6,98,48,50,78,2.05,83.5,41.3,42.2,1.11,11167,"Luis Muriel, Duván Zapata - 18",Pierluigi Gollini
2019-2020,10,Lazio,it ITA,4,38,24,6,8,79,42,37,78,2.05,68.0,51.1,16.9,0.44,26363,Ciro Immobile - 36,Thomas Strakosha
2019-2020,11,Dortmund,de GER,2,34,21,6,7,84,41,43,69,2.03,61.0,40.9,20.1,0.59,57297,Jadon Sancho - 17,Roman Bürki
2019-2020,12,Marseille,fr FRA,2,28,16,8,4,41,29,12,56,2.0,36.2,31.8,4.4,0.16,52805,Darío Benedetto - 11,Steve Mandanda
2019-2020,13,RB Leipzig,de GER,3,34,18,12,4,81,37,44,66,1.94,71.3,38.8,32.6,0.96,28819,Timo Werner - 28,Péter Gulácsi
2019-2020,14,Gladbach,de GER,4,34,20,5,9,66,40,26,65,1.91,72.0,45.9,26.1,0.77,36078,"Alassane Pléa, Marcus Thuram - 10",Yann Sommer
2019-2020,15,Leverkusen,de GER,5,34,19,6,9,61,44,17,63,1.85,59.1,51.2,7.8,0.23,21236,Kai Havertz - 12,Lukáš Hrádecký
2019-2020,16,Roma,it ITA,5,38,21,7,10,77,51,26,70,1.84,73.2,49.4,23.9,0.63,26956,Edin Džeko - 16,Pau López
2019-2020,17,Atlético Madrid,es ESP,3,38,18,16,4,51,27,24,70,1.84,56.8,32.5,24.4,0.64,42236,Álvaro Morata - 12,Jan Oblak
2019-2020,18,Sevilla,es ESP,4,38,19,13,6,54,34,20,70,1.84,53.2,36.1,17.1,0.45,25016,Lucas Ocampos - 14,Tomáš Vaclík
2019-2020,19,Rennes,fr FRA,3,28,15,5,8,38,24,14,50,1.79,37.1,30.2,6.9,0.25,25893,M'Baye Niang - 10,Edouard Mendy
2019-2020,20,Lille,fr FRA,4,28,15,4,9,35,27,8,49,1.75,40.3,31.4,8.8,0.32,36404,Victor Osimhen - 13,Mike Maignan
2019-2020,21,Manchester Utd,eng ENG,3,38,18,12,8,66,36,30,66,1.74,62.2,37.7,24.5,0.64,57415,"Anthony Martial, Marcus Rashford - 17",David de Gea
2019-2020,22,Milan,it ITA,6,38,19,9,10,63,46,17,66,1.74,62.8,45.1,17.6,0.46,34078,Ante Rebić - 11,Gianluigi Donnarumma
2019-2020,23,Chelsea,eng ENG,4,38,20,6,12,69,54,15,66,1.74,69.2,38.6,30.6,0.81,32023,Tammy Abraham - 15,Kepa Arrizabalaga
2019-2020,24,Leicester City,eng ENG,5,38,18,8,12,67,41,26,62,1.63,62.2,45.5,16.7,0.44,25312,Jamie Vardy - 23,Kasper Schmeichel
2019-2020,25,Napoli,it ITA,7,38,18,8,12,61,50,11,62,1.63,61.7,44.7,16.9,0.45,21622,Arkadiusz Milik - 11,Alex Meret
2019-2020,26,Villarreal,es ESP,5,38,18,6,14,63,49,14,60,1.58,63.6,46.3,17.3,0.45,11321,Gerard Moreno - 18,Sergio Asenjo
2019-2020,27,Tottenham,eng ENG,6,38,16,11,11,61,47,14,59,1.55,47.9,54.2,-6.3,-0.17,43757,Harry Kane - 18,Hugo Lloris
2019-2020,28,Wolves,eng ENG,7,38,15,14,9,51,40,11,59,1.55,54.1,38.0,16.1,0.42,24758,Raúl Jiménez - 17,Rui Patrício
2019-2020,29,Hoffenheim,de GER,6,34,15,7,12,53,53,0,52,1.53,56.1,59.6,-3.4,-0.1,20449,Andrej Kramarić - 12,Oliver Baumann
2019-2020,30,Arsenal,eng ENG,8,38,14,14,10,56,48,8,56,1.47,47.0,55.3,-8.3,-0.22,47589,Pierre-Emerick Aubameyang - 22,Bernd Leno
2019-2020,31,Real Sociedad,es ESP,6,38,16,8,14,56,48,8,56,1.47,48.9,43.0,5.8,0.15,21204,Willian José - 11,Álex Remiro
2019-2020,32,Granada,es ESP,7,38,16,8,14,52,45,7,56,1.47,44.9,42.6,2.3,0.06,11174,Carlos Fernández - 10,Rui Silva
2019-2020,33,Reims,fr FRA,6,28,10,11,7,26,21,5,41,1.46,30.6,28.5,2.1,0.08,12932,Boulaye Dia - 7,Predrag Rajković
2019-2020,34,Nice,fr FRA,5,28,11,8,9,41,38,3,41,1.46,35.7,43.9,-8.2,-0.29,19225,Kasper Dolberg - 11,Walter Benítez
2019-2020,35,Wolfsburg,de GER,7,34,13,10,11,48,46,2,49,1.44,52.8,42.9,9.9,0.29,18621,Wout Weghorst - 16,Koen Casteels
2019-2020,36,Lyon,fr FRA,7,28,11,7,10,42,27,15,40,1.43,37.6,27.1,10.6,0.38,47299,Moussa Dembélé - 16,Anthony Lopes
2019-2020,37,Montpellier,fr FRA,8,28,11,7,10,35,34,1,40,1.43,35.3,34.7,0.5,0.02,14147,Andy Delort - 9,Gerónimo Rulli
2019-2020,38,Monaco,fr FRA,9,28,11,7,10,44,44,0,40,1.43,48.9,42.7,6.1,0.22,6451,Wissam Ben Yedder - 18,Benjamin Lecomte
2019-2020,39,Getafe,es ESP,8,38,14,12,12,43,37,6,54,1.42,41.6,41.4,0.2,0.0,8000,Jaime Mata - 11,David Soria
2019-2020,40,Sheffield Utd,eng ENG,9,38,14,12,12,39,39,0,54,1.42,43.0,51.0,-7.9,-0.21,24370,"Lys Mousset, Oliver McBurnie - 6",Dean Henderson
2019-2020,41,Burnley,eng ENG,10,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,15995,Chris Wood - 14,Nick Pope
2019-2020,42,Freiburg,de GER,8,34,13,9,12,48,47,1,48,1.41,46.7,64.6,-17.8,-0.52,16888,Nils Petersen - 11,Alexander Schwolow
2019-2020,43,Strasbourg,fr FRA,10,27,11,5,11,32,32,0,38,1.41,34.2,32.2,2.0,0.07,24985,"Adrien Thomasson, Ludovic Ajorque - 8",Matz Sels
2019-2020,44,Angers,fr FRA,11,28,11,6,11,28,33,-5,39,1.39,29.3,28.4,0.9,0.03,9825,Rachid Alioui - 6,Ludovic Butelle
2019-2020,45,Valencia,es ESP,9,38,14,11,13,46,53,-7,53,1.39,43.3,56.0,-12.7,-0.33,29658,Maxi Gómez - 10,Jasper Cillessen
2019-2020,46,Osasuna,es ESP,10,38,13,13,12,46,54,-8,52,1.37,49.4,49.4,0.1,0.0,11453,Ezequiel Ávila - 9,Sergio Herrera
2019-2020,47,Southampton,eng ENG,11,38,15,7,16,51,60,-9,52,1.37,56.1,52.8,3.3,0.09,23428,Danny Ings - 22,Alex McCarthy
2019-2020,48,Sassuolo,it ITA,8,38,14,9,15,69,63,6,51,1.34,52.9,62.0,-9.2,-0.24,7704,Francesco Caputo - 21,Andrea Consigli
2019-2020,49,Athletic Club,es ESP,11,38,13,12,13,41,38,3,51,1.34,41.5,48.8,-7.3,-0.19,28039,Raúl García - 15,Unai Simón
2019-2020,50,Bordeaux,fr FRA,12,28,9,10,9,40,34,6,37,1.32,30.4,36.9,-6.6,-0.23,23430,Jimmy Briand - 7,Benoît Costil
2019-2020,51,Eint Frankfurt,de GER,9,34,13,6,15,59,60,-1,45,1.32,59.5,49.9,9.6,0.28,35435,André Silva - 12,Kevin Trapp
2019-2020,52,Nantes,fr FRA,13,28,11,4,13,28,31,-3,37,1.32,30.2,31.5,-1.2,-0.04,24635,"Moses Simon, Ludovic Blas - 5",Alban Lafont
2019-2020,53,Fiorentina,it ITA,10,38,12,13,13,51,48,3,49,1.29,53.6,48.9,4.7,0.12,22486,Federico Chiesa - 10,Bartłomiej Drągowski
2019-2020,54,Parma,it ITA,11,38,14,7,17,56,57,-1,49,1.29,48.4,64.3,-15.9,-0.42,10245,Andreas Cornelius - 12,Luigi Sepe
2019-2020,55,Hellas Verona,it ITA,9,38,12,13,13,47,51,-4,49,1.29,50.5,53.7,-3.2,-0.08,11248,Samuel Di Carmine - 8,Marco Silvestri
2019-2020,56,Levante,es ESP,12,38,14,7,17,47,53,-6,49,1.29,48.1,62.9,-14.8,-0.39,13196,Roger Martí - 11,Aitor Fernández
2019-2020,57,Everton,eng ENG,12,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,2.5,0.07,28848,"Dominic Calvert-Lewin, Richarlison - 13",Jordan Pickford
2019-2020,58,Bologna,it ITA,12,38,12,11,15,52,65,-13,47,1.24,56.9,54.8,2.0,0.05,15774,Musa Barrow - 9,Łukasz Skorupski
2019-2020,59,Brest,fr FRA,14,28,8,10,10,34,37,-3,34,1.21,30.7,45.5,-14.8,-0.53,13713,Irvin Cardona - 6,Gautier Larsonneur
2019-2020,60,Metz,fr FRA,15,28,8,10,10,27,35,-8,34,1.21,27.1,38.1,-11.0,-0.39,16583,Habib Diallo - 12,Alexandre Oukidja
2019-2020,61,Hertha BSC,de GER,10,34,11,8,15,48,59,-11,41,1.21,43.1,54.5,-11.4,-0.34,37689,"Vedad Ibišević, Dodi Lukebakio - 7",Rune Jarstein
2019-2020,62,Union Berlin,de GER,11,34,12,5,17,41,58,-17,41,1.21,41.4,54.3,-12.8,-0.38,15467,Sebastian Andersson - 12,Rafał Gikiewicz
2019-2020,63,Cagliari,it ITA,14,38,11,12,15,52,56,-4,45,1.18,41.8,59.0,-17.2,-0.45,10728,João Pedro - 18,Robin Olsen
2019-2020,64,Udinese,it ITA,13,38,12,9,17,37,51,-14,45,1.18,41.6,53.4,-11.8,-0.31,13841,Kevin Lasagna - 10,Juan Musso
2019-2020,65,Newcastle Utd,eng ENG,13,38,11,11,16,38,58,-20,44,1.16,35.5,65.6,-30.1,-0.79,35551,Jonjo Shelvey - 6,Martin Dúbravka
2019-2020,66,Schalke 04,de GER,12,34,9,12,13,38,58,-20,39,1.15,37.8,51.6,-13.8,-0.41,46681,Suat Serdar - 7,Alexander Nübel
2019-2020,67,Crystal Palace,eng ENG,14,38,11,10,17,31,50,-19,43,1.13,35.8,57.0,-21.2,-0.56,19784,Jordan Ayew - 9,Vicente Guaita
2019-2020,68,Valladolid,es ESP,13,38,9,15,14,32,43,-11,42,1.11,36.6,54.5,-18.0,-0.47,13580,Sergi Guardiola - 8,Jordi Masip
2019-2020,69,Sampdoria,it ITA,15,38,12,6,20,48,65,-17,42,1.11,50.2,54.9,-4.7,-0.12,13700,"Manolo Gabbiadini, Fabio Quagliarella - 11",Emil Audero
2019-2020,70,Eibar,es ESP,14,38,11,9,18,39,56,-17,42,1.11,42.0,53.0,-11.0,-0.29,4151,Fabián Orellana - 8,Marko Dmitrović
2019-2020,71,Mainz 05,de GER,13,34,11,4,19,44,65,-21,37,1.09,48.2,59.6,-11.5,-0.34,20694,Robin Quaison - 13,Robin Zentner
2019-2020,72,Betis,es ESP,15,38,10,11,17,48,60,-12,41,1.08,51.0,54.8,-3.7,-0.1,35969,Loren Morón - 10,Joel Robles
