Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2017-2018,1,Manchester City,eng ENG,1,38,32,4,2,106,27,+79,100,2.63,78.6,23.8,+54.8,+1.44,53812,Sergio Agüero - 21,Ederson
2017-2018,2,Juventus,it ITA,1,38,30,5,3,86,24,+62,95,2.50,55.3,27.4,+27.9,+0.73,38919,Paulo Dybala - 22,Gianluigi Buffon
2017-2018,3,Bayern Munich,de GER,1,34,27,3,4,92,28,+64,84,2.47,75.8,31.7,+44.1,+1.30,75000,Robert Lewandowski - 29,Sven Ulreich
2017-2018,4,Paris S-G,fr FRA,1,38,29,6,3,108,29,+79,93,2.45,86.1,34.3,+51.7,+1.36,46930,Edinson Cavani - 28,Alphonse Areola
2017-2018,5,Barcelona,es ESP,1,38,28,9,1,99,29,+70,93,2.45,83.5,41.9,+41.6,+1.09,67142,Lionel Messi - 34,Marc-André ter Stegen
2017-2018,6,Napoli,it ITA,2,38,28,7,3,77,29,+48,91,2.39,67.1,27.1,+40.1,+1.05,42633,Dries Mertens - 18,Pepe Reina
2017-2018,7,Manchester Utd,eng ENG,2,38,25,6,7,68,28,+40,81,2.13,55.7,40.7,+15.0,+0.40,74976,Romelu Lukaku - 16,David de Gea
2017-2018,8,Monaco,fr FRA,2,38,24,8,6,85,45,+40,80,2.11,62.3,48.5,+13.8,+0.36,9243,Radamel Falcao - 18,Danijel Subašić
2017-2018,9,Atlético Madrid,es ESP,2,38,23,10,5,58,22,+36,79,2.08,50.2,35.8,+14.4,+0.38,52707,Antoine Griezmann - 19,Jan Oblak
2017-2018,10,Lyon,fr FRA,3,38,23,9,6,87,43,+44,78,2.05,63.4,40.1,+23.3,+0.61,44047,Memphis - 19,Anthony Lopes
2017-2018,11,Tottenham,eng ENG,3,38,23,8,7,74,36,+38,77,2.03,64.7,33.9,+30.8,+0.81,67496,Harry Kane - 30,Hugo Lloris
2017-2018,12,Roma,it ITA,3,38,23,8,7,61,28,+33,77,2.03,63.4,37.2,+26.2,+0.69,37451,Edin Džeko - 16,Alisson
2017-2018,13,Marseille,fr FRA,4,38,22,11,5,80,47,+33,77,2.03,78.1,41.8,+36.3,+0.96,46616,Florian Thauvin - 22,Steve Mandanda
2017-2018,14,Real Madrid,es ESP,3,38,22,10,6,94,44,+50,76,2.00,85.4,43.2,+42.2,+1.11,66863,Cristiano Ronaldo - 26,Keylor Navas
2017-2018,15,Liverpool,eng ENG,4,38,21,12,5,84,38,+46,75,1.97,72.9,33.8,+39.1,+1.03,53049,Mohamed Salah - 32,"Loris Karius, Simon Mignolet"
2017-2018,16,Valencia,es ESP,4,38,22,7,9,65,38,+27,73,1.92,56.0,48.3,+7.7,+0.20,38607,Rodrigo - 16,Neto
2017-2018,17,Lazio,it ITA,5,38,21,9,8,89,49,+40,72,1.89,63.7,43.9,+19.9,+0.52,32123,Ciro Immobile - 29,Thomas Strakosha
2017-2018,18,Inter,it ITA,4,38,20,12,6,66,30,+36,72,1.89,56.7,37.2,+19.6,+0.52,57529,Mauro Icardi - 29,Samir Handanović
2017-2018,19,Schalke 04,de GER,2,34,18,9,7,53,37,+16,63,1.85,46.7,40.2,+6.6,+0.19,61297,Guido Burgstaller - 11,Ralf Fährmann
2017-2018,20,Chelsea,eng ENG,5,38,21,7,10,62,38,+24,70,1.84,54.4,33.8,+20.6,+0.54,41282,Eden Hazard - 12,Thibaut Courtois
2017-2018,21,Milan,it ITA,6,38,18,10,10,56,42,+14,64,1.68,51.2,36.9,+14.3,+0.38,52690,Patrick Cutrone - 10,Gianluigi Donnarumma
2017-2018,22,Arsenal,eng ENG,6,38,19,6,13,74,51,+23,63,1.66,68.3,47.8,+20.5,+0.54,59323,Alexandre Lacazette - 14,Petr Čech
2017-2018,23,Hoffenheim,de GER,3,34,15,10,9,66,48,+18,55,1.62,50.5,47.2,+3.3,+0.10,28716,Mark Uth - 14,Oliver Baumann
2017-2018,24,Dortmund,de GER,4,34,15,10,9,64,47,+17,55,1.62,66.0,42.2,+23.8,+0.70,79496,Pierre-Emerick Aubameyang - 13,Roman Bürki
2017-2018,25,Leverkusen,de GER,5,34,15,10,9,58,44,+14,55,1.62,57.5,38.9,+18.6,+0.55,28415,Kevin Volland - 14,Bernd Leno
2017-2018,26,Villarreal,es ESP,5,38,18,7,13,57,50,+7,61,1.61,53.3,53.4,-0.1,0.00,16779,Carlos Bacca - 15,Sergio Asenjo
2017-2018,27,Atalanta,it ITA,7,38,16,12,10,57,39,+18,60,1.58,64.1,36.6,+27.5,+0.72,17923,Josip Iličić - 11,Etrit Berisha
2017-2018,28,Betis,es ESP,6,38,18,6,14,60,61,-1,60,1.58,46.0,49.0,-3.1,-0.08,46781,Sergio León - 11,Antonio Adán
2017-2018,29,RB Leipzig,de GER,6,34,15,8,11,57,53,+4,53,1.56,51.9,46.7,+5.2,+0.15,39397,Timo Werner - 13,Péter Gulácsi
2017-2018,30,Rennes,fr FRA,5,38,16,10,12,50,44,+6,58,1.53,49.8,49.3,+0.5,+0.01,23111,Benjamin Bourigeaud - 10,Tomáš Koubek
2017-2018,31,Sevilla,es ESP,7,38,17,7,14,49,58,-9,58,1.53,59.5,54.4,+5.2,+0.14,33006,Wissam Ben Yedder - 9,Sergio Rico
2017-2018,32,Fiorentina,it ITA,8,38,16,9,13,54,46,+8,57,1.50,54.5,40.8,+13.7,+0.36,26092,Giovanni Simeone - 14,Marco Sportiello
2017-2018,33,Stuttgart,de GER,7,34,15,6,13,36,36,0,51,1.50,40.3,43.5,-3.1,-0.09,56366,Mario Gómez - 8,Ron-Robert Zieler
2017-2018,34,Getafe,es ESP,8,38,15,10,13,42,33,+9,55,1.45,48.2,39.7,+8.5,+0.22,10428,Ángel Rodríguez - 13,Vicente Guaita
2017-2018,35,Bordeaux,fr FRA,6,38,16,7,15,53,48,+5,55,1.45,51.0,43.6,+7.5,+0.20,26048,Malcom - 12,Benoît Costil
2017-2018,36,Saint-Étienne,fr FRA,7,38,15,10,13,47,50,-3,55,1.45,51.0,54.1,-3.1,-0.08,27563,"Jonathan Bamba, Rémy Cabella... - 7",Stéphane Ruffier
2017-2018,37,Eint Frankfurt,de GER,8,34,14,7,13,45,45,0,49,1.44,42.2,41.7,+0.5,+0.01,49159,Sébastien Haller - 9,Lukáš Hrádecký
2017-2018,38,Torino,it ITA,9,38,13,15,10,54,46,+8,54,1.42,46.0,47.0,-1.0,-0.03,18375,Iago Falque - 12,Salvatore Sirigu
2017-2018,39,Nice,fr FRA,8,38,15,9,14,53,52,+1,54,1.42,49.2,49.5,-0.3,-0.01,22876,Mario Balotelli - 18,Walter Benítez
2017-2018,40,Burnley,eng ENG,7,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.50,20688,Chris Wood - 10,Nick Pope
2017-2018,41,Sampdoria,it ITA,10,38,16,6,16,56,60,-4,54,1.42,53.5,60.3,-6.8,-0.18,20065,Fabio Quagliarella - 19,Emiliano Viviano
2017-2018,42,Gladbach,de GER,9,34,13,8,13,47,52,-5,47,1.38,51.1,52.0,-0.8,-0.02,50986,Thorgan Hazard - 10,Yann Sommer
2017-2018,43,Nantes,fr FRA,9,38,14,10,14,36,41,-5,52,1.37,41.8,38.1,+3.7,+0.10,24559,Emiliano Sala - 12,Ciprian Tătărușanu
2017-2018,44,Montpellier,fr FRA,10,38,11,18,9,36,33,+3,51,1.34,42.6,39.0,+3.6,+0.10,13458,Giovanni Sio - 10,Benjamin Lecomte
