Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
2760,Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,30,1991,29,20,1833,20.4,3,0,3,3,0,0,3,0,2.2,2.2,2.5,4.7,0.15,0.23,58,108,156,18,5,27.8,0.88,0.25,0.17,0.60,20.6,0,0,0,2.2,2.2,0.12,+0.8,+0.8,1327,1537,86.3,20437,5574,0,2.5,4.1,-2.5,31,61,35,11,108,1391,142,22,1,29,75,116,4,0,3,0,1327,43,22,24,9,10,35,48.6,18,25,7,18,20,63,41,1,57,2.80,47,3,2,1,3,1,2,0.10,1758,68,492,731,541,55,1758,31,18,58.1,13,41.9,1164,5533,2789,58,31,20,36,19,1312,156,3,0,0,26,34,5,75,20,22,0,0,0,103,2,9,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,Matías Vecino,uy URU,MF,Inter,it Serie A,29,1991,17,2,377,4.2,1,0,1,1,0,0,2,0,1.4,1.4,0.9,2.3,0.24,0.54,10,29,14,7,2,28.6,1.67,0.48,0.14,0.50,10.4,0,0,0,1.4,1.4,0.19,-0.4,-0.4,152,206,73.8,2434,824,0,0.9,1.1,-0.9,5,24,8,1,29,198,6,4,4,2,5,2,0,0,0,0,152,7,5,2,3,2,9,33.3,6,10,1,9,4,11,7,0,15,3.61,14,0,0,1,0,0,4,0.96,249,10,54,133,66,15,249,3,1,33.3,2,66.7,131,717,383,10,10,0,1,5,161,14,2,0,0,9,3,0,5,4,5,0,0,0,20,17,12,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,Gabriel Veiga,es ESP,MF,Celta Vigo,es La Liga,19,2002,7,0,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.00,0.05,5,9,4,2,0,0.0,1.67,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,52,67,77.6,788,242,0,0.0,0.1,0.0,1,4,4,1,9,66,1,1,0,0,3,0,0,0,0,0,52,5,4,0,4,1,12,25.0,9,2,0,2,4,9,1,0,1,0.83,1,0,0,0,0,0,0,0.00,91,0,9,60,26,1,91,7,6,85.7,1,14.3,45,311,183,5,3,0,3,1,55,4,0,0,0,1,3,0,3,4,4,0,0,0,11,1,10,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,Miguel Veloso,pt POR,MF,Hellas Verona,it Serie A,35,1986,22,17,1343,14.9,0,3,3,0,0,0,7,1,0.5,0.5,1.5,2.0,0.20,0.14,31,103,13,17,4,23.5,1.14,0.27,0.00,0.00,26.3,6,0,0,0.5,0.5,0.03,-0.5,-0.5,725,922,78.6,13530,4348,3,1.5,2.1,+1.5,25,92,19,5,103,800,118,58,3,6,74,10,50,24,13,0,725,23,15,4,17,2,16,62.5,6,18,5,13,11,34,18,1,51,3.42,34,16,1,0,0,0,7,0.47,1042,23,177,638,238,8,1042,6,6,100.0,0,0.0,496,2955,1560,31,15,1,12,7,578,13,7,1,1,18,6,0,74,11,15,0,0,0,125,26,22,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,Joël Veltman,nl NED,DF,Brighton,eng Premier League,29,1992,34,33,2874,31.9,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,0.06,0.07,25,124,65,12,2,16.7,0.38,0.06,0.08,0.50,18.1,0,0,0,0.7,0.7,0.06,+0.3,+0.3,1439,1869,77.0,25694,9691,1,1.6,1.3,-0.6,17,118,22,6,124,1592,272,34,3,7,42,238,0,0,0,0,1439,74,48,47,21,6,53,39.6,32,46,16,30,45,119,89,0,44,1.38,33,6,1,1,2,1,2,0.06,2235,176,811,1053,389,25,2235,32,16,50.0,16,50.0,1139,4847,2093,25,24,2,28,10,1249,65,6,0,0,39,38,0,42,45,48,1,1,0,182,55,29,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,Micky van de Ven,nl NED,DF,Wolfsburg,de Bundesliga,20,2001,5,2,189,2.1,0,1,1,0,0,0,0,0,0.0,0.0,0.9,0.9,0.48,0.42,3,5,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,65,82,79.3,1121,429,1,0.9,0.5,+0.1,1,5,1,1,5,71,11,3,0,0,3,8,0,0,0,0,65,4,4,3,1,0,1,0.0,1,4,1,3,2,6,8,0,1,0.47,1,0,0,0,0,0,1,0.47,106,10,56,45,6,0,106,1,0,0.0,1,100.0,56,340,139,3,2,0,3,0,50,3,0,0,0,0,1,0,3,2,4,0,0,0,15,6,1,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,Unai Vencedor Paris,es ESP,MF,Athletic Club,es La Liga,20,2000,34,29,2383,26.5,0,0,0,0,0,0,4,0,0.9,0.9,0.7,1.6,0.00,0.06,16,180,20,20,2,10.0,0.76,0.08,0.00,0.00,21.0,0,0,0,0.9,0.9,0.05,-0.9,-0.9,1013,1310,77.3,19123,6198,0,0.7,1.6,-0.7,15,128,24,5,180,1255,46,34,2,18,47,0,8,3,4,0,1013,26,11,11,9,6,42,19.0,34,31,13,18,19,45,22,0,45,1.70,41,1,1,0,1,1,2,0.08,1504,65,292,865,359,23,1504,30,25,83.3,5,16.7,790,3096,1398,16,21,1,25,22,1025,20,4,0,0,28,35,0,47,19,11,1,0,0,172,22,31,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,Lorenzo Venuti,it ITA,DF,Fiorentina,it Serie A,26,1995,23,20,1571,17.5,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,0.00,0.03,28,68,53,7,1,14.3,0.40,0.06,0.00,0.00,23.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,909,1046,86.9,16156,4826,0,0.3,0.9,-0.3,8,67,10,3,68,911,134,22,0,6,29,112,0,0,0,0,909,25,10,13,10,2,24,58.3,10,13,4,9,5,30,27,0,19,1.09,16,0,0,1,1,1,1,0.06,1165,40,386,558,230,10,1165,7,4,57.1,3,42.9,660,2894,1512,28,21,2,19,9,826,53,4,0,0,15,32,0,29,5,10,0,0,1,76,9,8,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,Daniele Verde,it ITA,"FW,MF",Spezia,it Serie A,25,1996,33,21,1957,21.7,8,6,14,7,1,2,2,0,5.4,3.9,4.9,8.8,0.60,0.48,51,71,98,51,21,41.2,2.35,0.97,0.14,0.33,22.8,9,1,2,5.4,3.9,0.08,+2.6,+3.1,576,826,69.7,10492,3274,6,4.9,4.0,+1.1,39,49,26,8,71,686,136,40,4,12,141,18,77,41,26,1,576,11,4,8,2,1,20,45.0,11,17,2,15,18,29,8,0,79,3.64,48,20,4,6,1,0,11,0.51,987,17,158,381,457,49,985,38,15,39.5,23,60.5,575,3484,1465,51,32,19,17,12,652,98,2,0,0,3,15,12,141,18,4,0,0,0,102,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,Simone Verdi,it ITA,"MF,FW",Torino,it Serie A,29,1992,3,0,46,0.5,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,1.96,0.50,0,1,5,2,1,50.0,3.91,1.96,0.50,1.00,22.3,0,0,0,0.2,0.2,0.11,+0.8,+0.8,9,16,56.3,139,40,0,0.0,0.1,0.0,1,0,0,0,1,15,1,1,0,0,3,0,0,0,0,0,9,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,1.96,0,1,0,0,0,0,0,0.00,24,1,2,13,10,2,24,1,0,0.0,1,100.0,12,48,17,0,0,0,2,2,14,5,0,0,0,1,1,1,3,0,1,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,Simone Verdi,it ITA,"FW,MF",Salernitana,it Serie A,29,1992,15,11,829,9.2,5,0,5,4,1,1,3,0,3.4,2.6,1.3,4.0,0.43,0.52,35,37,38,35,14,40.0,3.80,1.52,0.11,0.29,23.1,9,1,1,3.4,2.6,0.07,+1.6,+1.4,224,333,67.3,4416,1674,0,1.3,1.5,-1.3,19,32,13,5,37,258,74,32,3,5,69,1,35,13,16,0,224,12,8,5,2,5,20,45.0,11,4,0,4,3,15,1,0,49,5.31,25,13,9,2,0,0,4,0.43,459,3,39,190,239,18,458,45,27,60.0,18,40.0,271,1924,882,35,26,7,19,19,285,38,3,0,0,11,20,1,69,3,8,0,0,0,45,5,11,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,Gonzalo Verdú,es ESP,DF,Elche,es La Liga,32,1988,19,16,1397,15.5,0,0,0,0,0,0,11,0,0.1,0.1,0.0,0.1,0.00,0.00,1,23,0,3,0,0.0,0.19,0.00,0.00,,17.6,1,0,0,0.1,0.1,0.02,-0.1,-0.1,595,712,83.6,13331,4573,0,0.0,0.2,0.0,0,24,0,0,23,677,31,30,1,7,0,1,0,0,0,0,595,19,9,15,4,0,16,50.0,8,20,14,6,13,32,59,1,3,0.20,2,0,0,0,1,0,0,0.00,842,124,505,327,11,4,842,0,0,,0,,453,1973,849,1,1,0,4,0,557,0,11,0,0,23,14,0,0,13,9,0,1,0,58,27,23,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,Jordan Veretout,fr FRA,MF,Roma,it Serie A,28,1993,36,26,2319,25.8,4,8,12,3,1,2,6,0,4.6,3.1,5.4,8.5,0.43,0.39,49,164,70,27,8,29.6,1.05,0.31,0.11,0.38,22.0,3,1,2,4.6,3.1,0.11,-0.6,-0.1,1215,1440,84.4,23611,6701,8,5.4,4.1,+2.6,55,133,19,2,164,1316,122,48,2,17,102,5,69,40,26,0,1215,34,25,20,12,2,39,38.5,24,12,1,11,27,61,22,1,108,4.19,64,34,1,6,2,1,11,0.43,1617,43,296,947,387,31,1615,19,14,73.7,5,26.3,912,4802,2204,49,32,4,24,11,1135,70,6,0,0,18,22,1,102,27,25,0,0,0,147,16,12,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,Edoardo Vergani,it ITA,"FW,MF",Salernitana,it Serie A,20,2001,6,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,7,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,13,25,52.0,166,18,0,0.0,0.1,0.0,0,3,0,0,1,25,0,0,0,0,0,0,0,0,0,0,13,2,2,2,0,0,0,,0,2,2,0,0,2,2,0,1,0.88,1,0,0,0,0,0,0,0.00,41,5,11,15,15,3,41,1,0,0.0,1,100.0,21,66,9,0,0,0,7,1,28,7,0,0,0,3,1,1,0,0,2,0,0,0,2,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,Vincent Vermeij,nl NED,MF,Freiburg,de Bundesliga,26,1994,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,3,66.7,29,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,5,0,0,2,3,0,5,2,1,50.0,1,50.0,2,7,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,Marco Verratti,it ITA,MF,Paris S-G,fr Ligue 1,28,1992,24,23,1937,21.5,2,2,4,2,0,0,12,0,0.6,0.6,2.3,2.9,0.19,0.14,56,193,63,7,2,28.6,0.33,0.09,0.29,1.00,16.4,0,0,0,0.6,0.6,0.09,+1.4,+1.4,1957,2151,91.0,29628,8834,2,2.3,3.8,-0.3,31,193,42,1,193,2037,103,62,6,14,9,35,5,2,1,0,1957,60,40,16,30,14,64,50.0,32,36,10,26,18,78,14,2,75,3.48,69,2,1,0,3,0,6,0.28,2359,52,389,1457,530,33,2359,57,46,80.7,11,19.3,1736,8198,4171,56,83,5,28,21,1925,63,12,0,0,32,48,1,9,18,40,0,0,1,127,5,11,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
