Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,Rk_stats_teams_shooting_for,Comp_stats_teams_shooting_for,# Pl_stats_teams_shooting_for,90s_stats_teams_shooting_for,Gls_stats_teams_shooting_for,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_teams_shooting_for,PKatt_stats_teams_shooting_for,xG_stats_teams_shooting_for,npxG_stats_teams_shooting_for,npxG/Sh,G-xG,np:G-xG,Rk_stats_teams_passing_for,Comp_stats_teams_passing_for,# Pl_stats_teams_passing_for,90s_stats_teams_passing_for,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_teams_passing_for,xAG_stats_teams_passing_for,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_teams_passing_for,Rk_stats_teams_passing_types_for,Comp_stats_teams_passing_types_for,# Pl_stats_teams_passing_types_for,90s_stats_teams_passing_types_for,Att_stats_teams_passing_types_for,Live,Dead,FK_stats_teams_passing_types_for,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_teams_passing_types_for,Off,Blocks,Rk_stats_teams_gca_for,Comp_stats_teams_gca_for,# Pl_stats_teams_gca_for,90s_stats_teams_gca_for,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_teams_gca_for,Fld,Def,GCA,GCA90,Rk_stats_teams_defense_for,Comp_stats_teams_defense_for,# Pl_stats_teams_defense_for,90s_stats_teams_defense_for,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_teams_defense_for,Tkl%,Lost,Blocks_stats_teams_defense_for,Sh_stats_teams_defense_for,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_teams_possession_for,Comp_stats_teams_possession_for,# Pl_stats_teams_possession_for,Poss_stats_teams_possession_for,90s_stats_teams_possession_for,Touches,Def Pen,Def 3rd_stats_teams_possession_for,Mid 3rd_stats_teams_possession_for,Att 3rd_stats_teams_possession_for,Att Pen,Live_stats_teams_possession_for,Att_stats_teams_possession_for,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_teams_possession_for,PrgDist_stats_teams_possession_for,PrgC_stats_teams_possession_for,1/3_stats_teams_possession_for,CPA,Mis,Dis,Rec,PrgR,Rk_stats_teams_playing_time_for,Comp_stats_teams_playing_time_for,# Pl_stats_teams_playing_time_for,Age_stats_teams_playing_time_for,MP_stats_teams_playing_time_for,Min_stats_teams_playing_time_for,Mn/MP,Min%,90s_stats_teams_playing_time_for,Starts_stats_teams_playing_time_for,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_teams_misc_for,Comp_stats_teams_misc_for,# Pl_stats_teams_misc_for,90s_stats_teams_misc_for,CrdY_stats_teams_misc_for,CrdR_stats_teams_misc_for,2CrdY,Fls,Fld_stats_teams_misc_for,Off_stats_teams_misc_for,Crs_stats_teams_misc_for,Int_stats_teams_misc_for,TklW_stats_teams_misc_for,PKwon,PKcon,OG,Recov,Won,Lost_stats_teams_misc_for,Won%,Rk_stats_teams_keeper_for,Comp_stats_teams_keeper_for,# Pl_stats_teams_keeper_for,MP_stats_teams_keeper_for,Starts_stats_teams_keeper_for,Min_stats_teams_keeper_for,90s_stats_teams_keeper_for,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_teams_keeper_for,PKA,PKsv,PKm,Rk_stats_teams_keeper_adv_for,Comp_stats_teams_keeper_adv_for,# Pl_stats_teams_keeper_adv_for,90s_stats_teams_keeper_adv_for,GA_stats_teams_keeper_adv_for,PKA_stats_teams_keeper_adv_for,FK_stats_teams_keeper_adv_for,CK_stats_teams_keeper_adv_for,OG_stats_teams_keeper_adv_for,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_teams_keeper_adv_for,Att_stats_teams_keeper_adv_for,Cmp%_stats_teams_keeper_adv_for,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alavés,es La Liga,26,26.7,42.7,38,418,3420,38.0,39,27,66,37,2,3,101,1,41.1,38.8,29.0,67.8,511,1113,1.68,1.85,1,es La Liga,26,38.0,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,1,es La Liga,26,38.0,9631,14061,68.5,186037,84436,27,29.0,24.9,-2.0,298,831,224,117,1113,1,es La Liga,26,38.0,14061,12027,1976,589,21,121,729,818,145,59,54,2,9631,58,342,1,es La Liga,26,38.0,700,18.42,458,93,38,47,58,6,59,1.55,1,es La Liga,26,38.0,646,389,352,228,66,595,42.7,341,419,117,302,390,1036,1066,13,1,es La Liga,26,42.7,38.0,18475,2174,6367,8264,4063,609,18472,489,276,56.4,213,43.6,8348,47885,24646,511,366,103,587,341,9540,1102,1,es La Liga,26,26.7,38,3420,90,100,38.0,418,85,,113,17,153,1.32,39,50,-11,-0.29,41.1,53.2,-12.1,-0.32,1,es La Liga,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3,1,es La Liga,2,38,38,3420,38.0,50,1.32,167,119,73.7,13,11,14,8,21.1,6,6,0,0,1,es La Liga,2,38.0,50,6,3,2,2,52.6,0.29,4.6,0.12,325,794,40.9,805,98,61.6,48.9,632,21,3.3,42,1.11,8.6
2,Amiens,fr Ligue 1,26,26.5,46.5,38,418,3420,38.0,30,22,52,28,2,3,62,6,35.4,33.0,23.4,56.4,518,1274,1.32,1.55,2,fr Ligue 1,26,38.0,30,385,112,29.1,10.13,2.95,0.07,0.25,20.0,19,2,3,35.4,33.0,0.09,-5.4,-5.0,2,fr Ligue 1,26,38.0,11932,16189,73.7,216240,89501,22,23.4,23.6,-1.4,283,973,197,53,1274,2,fr Ligue 1,26,38.0,16189,14079,2045,576,30,88,586,916,137,51,66,1,11932,65,324,2,fr Ligue 1,26,38.0,665,17.5,465,66,33,36,53,12,54,1.42,2,fr Ligue 1,26,38.0,629,384,313,244,72,611,41.9,355,389,141,248,396,1025,876,16,2,fr Ligue 1,26,46.5,38.0,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,518,388,85,645,402,11837,1256,2,fr Ligue 1,26,26.5,38,3420,90,100,38.0,418,85,307.0,106,18,160,1.0,31,52,-21,-0.55,35.4,49.8,-14.5,-0.38,2,fr Ligue 1,26,38.0,62,6,3,521,519,65,586,396,384,1,9,2,1918,722,705,50.6,2,fr Ligue 1,1,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,2,fr Ligue 1,1,38.0,52,6,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,571,14,2.5,18,0.47,13.7
3,Angers,fr Ligue 1,24,28.0,43.3,38,418,3420,38.0,42,27,69,37,5,10,49,4,50.7,42.8,33.5,76.3,700,1320,1.68,2.22,3,fr Ligue 1,24,38.0,42,442,144,32.6,11.63,3.79,0.08,0.26,18.8,19,5,10,50.7,42.8,0.1,-8.7,-5.8,3,fr Ligue 1,24,38.0,12957,16772,77.3,225763,92189,27,33.5,30.9,-6.5,328,885,231,51,1320,3,fr Ligue 1,24,38.0,16772,14829,1892,510,37,93,628,823,166,84,72,1,12957,51,325,3,fr Ligue 1,24,38.0,781,20.55,531,77,56,44,59,14,68,1.79,3,fr Ligue 1,24,38.0,673,399,351,254,68,623,41.6,364,396,109,287,420,1093,889,8,3,fr Ligue 1,24,43.3,38.0,21133,1925,6496,10339,4544,649,21123,561,316,56.3,245,43.7,10395,59303,31790,700,537,134,611,446,12834,1304,3,fr Ligue 1,24,28.0,38,3420,90,100,38.0,418,84,304.0,110,20,155,1.21,44,49,-5,-0.13,50.7,47.9,2.8,0.07,3,fr Ligue 1,24,38.0,49,4,0,449,445,51,628,420,399,10,5,2,1946,616,565,52.2,3,fr Ligue 1,2,38,38,3419,38.0,49,1.29,165,116,72.1,10,16,12,13,34.2,5,3,2,0,3,fr Ligue 1,2,38.0,49,3,0,3,2,48.3,0.27,1.3,0.03,250,608,41.1,743,191,49.7,39.4,565,21,3.7,35,0.92,17.8
4,Arsenal,eng Premier League,28,26.7,58.1,38,418,3420,38.0,69,52,121,65,4,5,74,2,60.1,56.0,46.7,102.7,868,1874,3.08,2.81,4,eng Premier League,28,38.0,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0,4,eng Premier League,28,38.0,18425,22549,81.7,313400,105044,52,46.7,43.9,5.3,363,1220,417,63,1874,4,eng Premier League,28,38.0,22549,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453,4,eng Premier League,28,38.0,831,21.87,655,58,50,34,22,12,116,3.05,4,eng Premier League,28,38.0,609,366,294,236,79,535,42.6,307,424,118,306,412,1021,798,28,4,eng Premier League,28,58.1,38.0,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14891,82883,44451,868,591,203,564,409,18303,1869,4,eng Premier League,28,26.7,38,3420,90,100,38.0,418,83,,113,26,153,1.84,73,51,22,0.58,60.1,54.2,5.8,0.15,4,eng Premier League,28,38.0,74,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6,4,eng Premier League,2,38,38,3420,38.0,51,1.34,182,132,75.8,21,7,10,8,21.1,7,7,0,0,4,eng Premier League,2,38.0,51,7,1,3,1,53.5,0.26,3.5,0.09,159,478,33.3,1093,227,29.2,31.5,489,16,3.3,48,1.26,15.3
5,Atalanta,it Serie A,27,26.5,57.3,38,418,3420,38.0,75,60,135,73,2,4,63,3,72.2,69.0,55.8,124.8,1104,1939,3.5,3.37,5,it Serie A,27,38.0,75,637,214,33.6,16.76,5.63,0.11,0.34,16.6,16,2,4,72.2,69.0,0.11,2.8,4.0,5,it Serie A,27,38.0,18142,22141,81.9,310061,105943,60,55.8,48.4,4.2,505,1323,443,96,1939,5,it Serie A,27,38.0,22141,20066,2004,584,47,212,801,822,242,122,107,2,18142,71,406,5,it Serie A,27,38.0,1148,30.21,864,92,71,75,31,15,137,3.61,5,it Serie A,27,38.0,638,397,278,277,83,577,46.6,308,433,96,337,454,1092,675,10,5,it Serie A,27,57.3,38.0,26487,1927,6923,12124,7708,1097,26483,654,363,55.5,291,44.5,16541,90108,46783,1104,849,263,652,464,18013,1929,5,it Serie A,27,26.5,38,3420,90,100,38.0,418,84,308.0,109,22,311,1.82,77,46,31,0.82,72.2,41.1,31.1,0.82,5,it Serie A,27,38.0,63,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3,5,it Serie A,3,38,38,3420,38.0,46,1.21,133,90,68.4,20,9,9,9,23.7,5,4,0,1,5,it Serie A,3,38.0,46,4,3,6,3,39.4,0.27,-3.6,-0.1,187,457,40.9,800,173,31.0,30.3,448,12,2.7,49,1.29,14.5
6,Athletic Club,es La Liga,27,27.6,50.0,38,418,3420,38.0,39,26,65,34,5,7,120,4,43.4,37.8,30.7,68.5,626,1452,1.58,1.95,6,es La Liga,27,38.0,39,380,132,34.7,10.0,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.1,-4.4,-3.8,6,es La Liga,27,38.0,13195,17584,75.0,241813,95216,26,30.7,34.5,-4.7,299,1069,288,86,1452,6,es La Liga,27,38.0,17584,15587,1923,577,49,185,728,847,153,56,72,3,13195,74,369,6,es La Liga,27,38.0,693,18.24,477,77,43,42,45,9,70,1.84,6,es La Liga,27,38.0,643,384,311,245,87,646,37.9,401,414,93,321,453,1096,815,7,6,es La Liga,27,50.0,38.0,21553,1935,6265,10194,5320,703,21546,542,288,53.1,254,46.9,10781,59362,31442,626,533,124,522,344,13087,1434,6,es La Liga,27,27.6,38,3420,90,100,38.0,418,85,,113,19,153,1.39,41,45,-4,-0.11,43.4,45.7,-2.3,-0.06,6,es La Liga,27,38.0,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1,6,es La Liga,2,38,38,3420,38.0,45,1.18,120,75,66.7,13,14,11,10,26.3,5,5,0,0,6,es La Liga,2,38.0,45,5,0,6,0,42.8,0.32,-2.2,-0.06,358,825,43.4,901,123,64.9,36.7,508,22,4.3,36,0.95,11.1
7,Atlético Madrid,es La Liga,29,26.4,49.2,38,418,3420,38.0,53,36,89,50,3,4,103,5,47.3,44.1,35.3,79.5,677,1386,2.26,2.17,7,es La Liga,29,38.0,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.1,5.7,5.9,7,es La Liga,29,38.0,14943,19014,78.6,244070,89224,36,35.3,37.2,0.7,350,1128,288,47,1386,7,es La Liga,29,38.0,19014,17148,1786,470,77,144,590,730,217,83,96,0,14943,80,354,7,es La Liga,29,38.0,788,20.74,569,75,40,40,53,11,89,2.34,7,es La Liga,29,38.0,784,487,402,298,84,700,45.6,381,374,94,280,463,1247,837,12,7,es La Liga,29,49.2,38.0,23123,1928,6339,10785,6196,765,23119,572,366,64.0,205,35.8,12778,67129,34534,677,581,169,497,412,14831,1369,7,es La Liga,29,26.4,38,3420,90,100,38.0,418,83,,105,26,160,2.0,55,29,26,0.68,47.3,41.9,5.4,0.14,7,es La Liga,29,38.0,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5,7,es La Liga,2,38,38,3420,38.0,29,0.76,136,109,82.4,22,10,6,20,52.6,5,5,0,0,7,es La Liga,2,38.0,29,5,0,4,2,42.3,0.28,15.3,0.4,220,596,36.9,583,104,56.6,33.3,555,22,4.0,16,0.42,
8,Augsburg,de Bundesliga,30,26.5,46.4,34,374,3060,34.0,50,33,83,45,5,5,55,1,45.3,41.8,32.0,73.9,515,1158,2.29,2.28,8,de Bundesliga,30,34.0,50,450,156,34.7,13.24,4.59,0.1,0.29,18.7,19,5,5,45.3,41.8,0.09,4.7,3.2,8,de Bundesliga,30,34.0,10999,15066,73.0,201057,82127,33,32.0,31.0,1.0,330,788,246,85,1158,8,de Bundesliga,30,34.0,15066,13300,1681,411,22,146,603,750,142,37,79,10,10999,85,380,8,de Bundesliga,30,34.0,766,22.53,540,75,37,54,42,18,81,2.38,8,de Bundesliga,30,34.0,591,376,280,262,49,515,46.2,277,404,130,274,467,1058,754,15,8,de Bundesliga,30,46.4,34.0,18950,2152,6550,8752,3877,593,18945,407,217,53.3,190,46.7,9631,52308,26312,515,364,80,504,336,10914,1143,8,de Bundesliga,30,26.5,34,3060,90,100,34.0,374,85,,94,22,144,0.94,51,71,-20,-0.59,45.3,61.1,-15.8,-0.46,8,de Bundesliga,30,34.0,55,1,0,458,349,85,603,467,376,2,2,2,1875,654,699,48.3,8,de Bundesliga,3,34,34,3060,34.0,71,2.09,190,120,63.2,8,8,18,5,14.7,2,1,1,0,8,de Bundesliga,3,34.0,71,1,2,8,2,60.8,0.32,-8.2,-0.24,178,491,36.3,848,143,41.2,36.9,470,16,3.4,26,0.76,13.7
9,Barcelona,es La Liga,30,27.7,64.4,38,418,3420,38.0,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,3.71,3.46,9,es La Liga,30,38.0,88,551,242,43.9,14.5,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,12.2,11.3,9,es La Liga,30,38.0,23263,26691,87.2,387149,121599,61,55.8,54.3,5.2,405,1807,438,37,2110,9,es La Liga,30,38.0,26691,24835,1754,575,148,219,394,676,205,68,33,2,23263,102,354,9,es La Liga,30,38.0,1000,26.32,766,42,75,42,66,9,158,4.16,9,es La Liga,30,38.0,537,346,218,232,87,492,45.9,266,360,101,259,391,928,565,16,9,es La Liga,30,64.4,38.0,30394,2182,7325,14901,8400,1045,30385,753,446,59.2,307,40.8,19443,96850,52422,851,840,266,456,435,23143,2095,9,es La Liga,30,27.7,38,3420,90,100,38.0,418,84,,112,21,154,2.29,90,36,54,1.42,75.8,45.3,30.5,0.8,9,es La Liga,30,38.0,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2,9,es La Liga,2,38,38,3420,38.0,36,0.95,130,95,73.8,26,9,3,17,44.7,2,2,0,0,9,es La Liga,2,38.0,36,2,0,2,1,40.4,0.3,5.4,0.14,125,244,51.2,970,211,15.7,26.0,440,8,1.8,38,1.0,15.8
10,Bayern Munich,de Bundesliga,24,27.4,65.7,34,374,3060,34.0,86,62,148,83,3,4,44,2,85.6,82.4,66.1,148.5,960,2192,4.26,4.46,10,de Bundesliga,24,34.0,86,633,252,39.8,18.62,7.41,0.13,0.33,16.1,28,3,4,85.6,82.4,0.13,0.4,0.6,10,de Bundesliga,24,34.0,20441,23944,85.4,364171,112358,62,66.1,74.4,-4.1,472,1576,448,75,2192,10,de Bundesliga,24,34.0,23944,22241,1615,385,47,209,777,712,287,112,125,2,20441,88,396,10,de Bundesliga,24,34.0,1135,33.38,794,103,84,88,54,12,147,4.32,10,de Bundesliga,24,34.0,465,294,172,210,83,410,40.2,245,313,61,252,336,801,368,10,10,de Bundesliga,24,65.7,34.0,27295,1572,6398,13813,7296,1226,27291,683,426,62.4,257,37.6,16385,90227,49370,960,728,243,469,315,20325,2174,10,de Bundesliga,24,27.4,34,3060,90,100,34.0,374,85,,102,20,133,2.29,88,32,56,1.65,85.6,27.2,58.4,1.72,10,de Bundesliga,24,34.0,44,2,2,312,342,88,777,336,294,4,6,1,1979,522,444,54.0,10,de Bundesliga,2,34,34,3060,34.0,32,0.94,79,48,65.8,24,6,4,12,35.3,6,5,0,1,10,de Bundesliga,2,34.0,32,5,1,3,1,29.7,0.32,-1.3,-0.04,110,261,42.1,1012,170,23.1,26.6,249,10,4.0,52,1.53,17.5
