Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990,28,25,2184,24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,0.25,0.21,46,92,86,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,+1.9,+1.9,884,1176,75.2,14197,6422,1,2.1,1.8,-1.1,18,63,28,6,92,897,276,30,3,2,56,235,11,3,5,2,884,47,32,29,15,3,34,47.1,18,24,5,19,47,94,64,2,46,1.90,24,12,6,2,1,1,4,0.16,1435,90,445,616,391,32,1435,31,26,83.9,5,16.1,717,3714,1966,46,33,7,37,18,711,86,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,21.0,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.04,7,3,4,2,0,0.0,1.29,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,29,44,65.9,376,77,0,0.0,0.0,0.0,0,2,1,1,3,41,2,2,0,1,2,0,0,0,0,0,29,4,4,3,1,0,6,66.7,2,3,0,3,1,5,0,0,1,0.65,0,0,0,1,0,0,0,0.00,65,0,11,30,25,3,65,6,4,66.7,2,33.3,37,380,127,7,3,3,4,6,39,4,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21.0,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.00,0.06,9,17,31,3,0,0.0,0.52,0.00,0.00,,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,87,120,72.5,1174,325,0,0.2,0.1,-0.2,3,8,7,1,17,110,10,4,0,0,10,4,0,0,0,0,87,13,8,4,4,5,7,14.3,6,3,1,2,2,15,0,0,5,0.87,4,1,0,0,0,0,0,0.00,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352,9,11,2,9,13,125,31,0,0,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,0.09,0.06,20,81,65,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,625,776,80.5,10991,4535,0,0.5,0.8,-0.5,10,55,20,7,81,653,119,7,0,2,31,112,0,0,0,0,625,20,17,10,9,1,11,54.5,5,22,2,20,8,28,29,0,27,2.30,24,1,0,2,0,0,4,0.34,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124,20,18,0,7,6,563,65,3,0,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989,8,6,499,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0.00,0.02,2,12,0,2,1,50.0,0.36,0.18,0.00,0.00,11.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,310,333,93.1,5550,1557,0,0.0,0.0,0.0,0,8,0,0,12,325,7,7,0,3,0,0,0,0,0,0,310,7,3,5,2,0,7,57.1,3,5,5,0,4,11,20,0,2,0.36,2,0,0,0,0,0,0,0.00,375,27,175,200,4,2,375,1,1,100.0,0,0.0,296,1522,829,2,1,0,0,1,278,0,3,0,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.08,2,1,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,29,38,76.3,474,167,0,0.1,0.1,-0.1,1,0,1,1,1,30,8,0,0,0,2,8,0,0,0,0,29,2,1,1,1,0,1,0.0,1,1,0,1,3,5,3,0,2,2.34,2,0,0,0,0,0,0,0.00,49,4,20,20,10,0,49,1,1,100.0,0,0.0,17,95,67,2,2,0,0,0,23,3,0,0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24.0,1992,19,14,1176,13.1,0,1,1,0,0,0,2,0,1.0,1.0,0.3,1.3,0.08,0.10,20,49,14,21,6,28.6,1.61,0.46,0.00,0.00,25.2,2,0,0,1.0,1.0,0.05,-1.0,-1.0,513,605,84.8,8787,2345,1,0.3,0.3,+0.7,7,33,1,0,49,587,17,12,0,5,6,3,2,1,0,0,513,23,15,8,14,1,32,25.0,24,11,6,5,18,41,25,2,19,1.46,13,1,1,3,0,1,1,0.08,752,30,183,496,84,10,752,20,14,70.0,6,30.0,503,2859,1321,20,13,0,24,21,494,14,2,0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,0.08,0.04,17,103,7,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,1088,1321,82.4,22896,8476,2,0.7,0.7,+1.3,7,77,3,2,103,1267,50,44,0,27,7,6,0,0,0,0,1088,40,32,29,10,1,36,75.0,9,29,15,14,40,80,141,1,20,0.78,17,2,0,1,0,0,2,0.08,1580,139,734,829,33,11,1580,10,8,80.0,2,20.0,824,4547,2817,17,5,0,8,5,906,7,3,0,0,11,20,0,7,40,32,0,0,1,113,78,42,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19.0,1997,31,15,1726,19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,0.31,0.44,19,20,104,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8,206,314,65.6,2754,557,1,1.6,0.8,-0.6,12,16,6,2,20,286,28,0,2,1,13,1,0,0,0,0,206,10,8,1,7,2,13,7.7,12,8,1,7,1,11,11,0,42,2.19,19,0,11,5,5,2,2,0.10,498,12,33,246,230,65,498,47,27,57.4,20,42.6,305,1600,555,19,16,8,50,51,393,104,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27.0,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,0.00,0.07,8,38,18,5,0,0.0,0.53,0.00,0.00,,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,248,321,77.3,4354,1126,0,0.4,0.6,-0.4,3,22,6,1,38,315,6,5,0,2,5,1,0,0,0,0,248,35,32,15,18,2,23,69.6,7,22,5,17,19,54,20,0,14,1.48,10,0,0,1,3,0,2,0.21,435,23,98,263,77,3,435,5,4,80.0,1,20.0,169,947,335,8,7,1,14,19,224,18,2,0,0,20,27,0,5,19,32,0,0,0,55,17,17,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988,38,38,3420,38.0,0,0,0,0,0,0,4,0,1.0,1.0,0.7,1.7,0.00,0.04,35,141,14,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,1391,1650,84.3,30718,10405,0,0.7,0.8,-0.7,10,106,2,1,141,1529,118,89,2,24,12,28,0,0,0,0,1391,51,32,26,22,3,36,61.1,14,42,21,21,88,139,255,1,30,0.79,28,0,0,1,1,0,0,0.00,2124,299,1076,954,135,21,2124,23,17,73.9,6,26.1,918,5957,2979,35,38,0,26,9,1044,14,4,0,0,31,32,1,12,88,32,0,1,1,260,103,40,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25.0,1992,22,9,951,10.6,1,0,1,1,0,0,5,1,0.4,0.4,0.6,1.0,0.09,0.10,24,60,24,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6,405,478,84.7,6431,1627,0,0.6,0.2,-0.6,6,38,2,0,60,468,8,6,0,1,12,0,0,0,0,0,405,8,6,2,6,0,7,14.3,6,8,1,7,16,24,10,2,17,1.63,13,0,1,1,2,0,0,0.00,562,8,79,405,92,7,562,24,16,66.7,8,33.3,392,2545,1243,24,18,2,13,14,413,24,5,1,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
