Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand
Bafodé Diakité,Toulouse,fr Ligue 1,DF,18,1366,15.2,,,,,665.3234853062598,Top Starter,666.5967230217265,Top Starter
Abdou Diallo,Paris S-G,fr Ligue 1,DF,23,1201,13.3,,,,,500.370364978338,Top Starter,699.8296958344989,Top Starter
Amad Diallo,Atalanta,it Serie A,FW,17,27,0.3,,,,,,,,
Habib Diallo,Metz,fr Ligue 1,FW,24,2196,24.4,502.12446792916774,Top Starter,,,,,341.71123896681365,Solid Squad Player
Ibrahima Diallo,Brest,fr Ligue 1,MF,20,1561,17.3,,,396.47680769533906,Solid Squad Player,,,762.2191141044852,World Class
Moussa Diarra,Toulouse,fr Ligue 1,DF,18,90,1.0,,,,,,,,
Amadou Diawara,Roma,it Serie A,MF,22,1518,16.9,,,462.75281320789827,Top Starter,,,843.8380923810444,World Class
Brahim Díaz,Real Madrid,es La Liga,FW,19,65,0.7,,,,,,,,
Víctor Díaz,Granada,es La Liga,DF,31,2884,32.0,,,,,669.1600446475868,Top Starter,697.9146023462978,Top Starter
Bakaye Dibassy,Amiens,fr Ligue 1,DF,29,1868,20.8,,,,,610.563373466757,Top Starter,633.2235151766587,Top Starter
Eric Dier,Tottenham,eng Premier League,DF,25,1344,14.9,,,,,597.8954041104764,Top Starter,759.95472409494,World Class
Lucas Digne,Everton,eng Premier League,DF,26,3030,33.7,,,,,613.2246759411604,Top Starter,820.6530349643966,World Class
Mitchell Dijks,Bologna,it Serie A,DF,26,1006,11.2,,,,,425.27542087445903,Top Starter,529.8841126290818,Top Starter
Javairô Dilrosun,Hertha BSC,de Bundesliga,Off_MF,21,1309,14.5,484.5186551654712,Top Starter,,,,,652.7752740003481,Top Starter
Federico Dimarco,Hellas Verona,it Serie A,DF,21,521,5.8,,,,,424.53732675187086,Top Starter,656.4607337421155,Top Starter
Federico Dimarco,Inter,it Serie A,DF,21,27,0.3,,,,,,,,
Tristan Dingomé,Reims,fr Ligue 1,Off_MF,28,892,9.9,241.99590741804406,Solid Squad Player,,,,,391.08783316754506,Solid Squad Player
Lois Diony,Saint-Étienne,fr Ligue 1,FW,26,666,7.4,285.02108649167474,Solid Squad Player,,,,,300.4828158708849,Solid Squad Player
Issa Diop,West Ham,eng Premier League,DF,22,2766,30.7,,,,,563.4299373242587,Top Starter,642.3962749579013,Top Starter
Papakouli Diop,Eibar,es La Liga,MF,33,2253,25.0,,,274.28321892509126,Solid Squad Player,,,582.7684238182499,Top Starter
Assane Dioussé,Saint-Étienne,fr Ligue 1,MF,21,120,1.3,,,,,,,,
Axel Disasi,Reims,fr Ligue 1,DF,21,2430,27.0,,,,,564.5686239718087,Top Starter,727.5936432113132,Top Starter
Tiago Djaló,Lille,fr Ligue 1,DF,19,661,7.3,,,,,514.935216697592,Top Starter,704.8385459205762,Top Starter
Djené,Getafe,es La Liga,DF,27,3060,34.0,,,,,450.8337765648726,Top Starter,660.5634526092281,Top Starter
Moussa Djenepo,Southampton,eng Premier League,Off_MF,21,928,10.3,514.8058728164143,Top Starter,,,,,682.3275772711066,Top Starter
Koffi Djidji,Torino,it Serie A,DF,26,851,9.5,,,,,773.4357034888887,World Class,738.8817983221809,Top Starter
Alexander Djiku,Strasbourg,fr Ligue 1,DF,24,2064,22.9,,,,,675.3513419836748,Top Starter,873.4627783722188,World Class
Berat Djimsiti,Atalanta,it Serie A,DF,26,2783,30.9,,,,,537.3493389006478,Top Starter,839.8791332377956,World Class
Naïs Djouahra,Real Sociedad,es La Liga,FW,19,29,0.3,,,,,,,,
Matt Doherty,Wolves,eng Premier League,MF,27,2839,31.5,,,538.6839349025057,Top Starter,,,738.0213983282747,Top Starter
Kasper Dolberg,Nice,fr Ligue 1,FW,21,1888,21.0,561.0373115017079,Top Starter,,,,,229.84446323297874,Solid Squad Player
Keagan Dolly,Montpellier,fr Ligue 1,Off_MF,26,148,1.6,,,,,,,,
Nicolás Domínguez,Bologna,it Serie A,MF,21,699,7.8,,,613.0110678066953,Top Starter,,,717.43423814288,Top Starter
Giulio Donati,Lecce,it Serie A,DF,29,1760,19.6,,,,,554.3647637856102,Top Starter,586.0412009459815,Top Starter
Ji Dong-won,Mainz 05,de Bundesliga,FW,28,102,1.1,,,,,,,,
