Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Milan Gajić,Bordeaux,fr Ligue 1,DF,19.9,590,6.6,,,,,388.5801889191433,Solid Squad Player,329.8396067065843,Solid Squad Player,,
Laurent Dos Santos,Guingamp,fr Ligue 1,DF,22.3,600,6.7,,,,,528.9426909674677,Top Starter,497.2824900402867,Top Starter,,
Chris Mavinga,Troyes,fr Ligue 1,DF,24.6,1586,17.6,,,,,494.53401486840085,Top Starter,440.9735658488569,Top Starter,,
Anthony Walongwa,Nantes,fr Ligue 1,DF,22.2,90,1.0,,,,,,,,,,
Joris Gnagnon,Rennes,fr Ligue 1,DF,19.0,224,2.5,,,,,,,,,,
Marcus Coco,Guingamp,fr Ligue 1,DF,19.5,1729,19.2,,,,,487.8202481108085,Top Starter,586.8352898141779,Top Starter,,
Mouhamadou Dabo,Troyes,fr Ligue 1,DF,29.1,1063,11.8,,,,,527.2221077677608,Top Starter,466.3680598653497,Top Starter,,
Anthony Ribelin,Montpellier,fr Ligue 1,DF,19.7,59,0.7,,,,,,,,,,
Yassine Jebbour,Bastia,fr Ligue 1,DF,24.4,178,2.0,,,,,,,,,,
Ilias Hassani,Bordeaux,fr Ligue 1,DF,20.1,15,0.2,,,,,,,,,,
Kévin Rimane,Paris S-G,fr Ligue 1,DF,24.9,2,0.0,,,,,,,,,,
Jean Ambrose,Bordeaux,fr Ligue 1,DF,22.3,1,0.0,,,,,,,,,,
Ángel Di María,Paris S-G,fr Ligue 1,FW,27.9,2134,23.7,816.121142149279,World Class,,,,,445.4396646993893,Top Starter,,
Aïssa Laïdouni,Angers,fr Ligue 1,MF,19.0,90,1.0,,,,,,,,,,
Corentin Tolisso,Lyon,fr Ligue 1,MF,21.4,2581,28.7,,,679.1798241790799,Top Starter,,,675.8116597421432,Top Starter,,
Rachid Ghezzal,Lyon,fr Ligue 1,FW,23.6,1588,17.6,853.7701736592226,World Class,,,,,622.5682598760425,Top Starter,,
Hatem Ben Arfa,Nice,fr Ligue 1,Off_MF,28.8,2840,31.6,599.2409216209531,Top Starter,,,,,436.75677876985225,Top Starter,,
Hervin Ongenda,Paris S-G,fr Ligue 1,Off_MF,20.5,350,3.9,,,,,,,,,,
Javier Pastore,Paris S-G,fr Ligue 1,MF,26.5,875,9.7,,,737.1403199894418,Top Starter,,,458.0062970449118,Top Starter,,
Robin Maulun,Bordeaux,fr Ligue 1,MF,19.1,68,0.8,,,,,,,,,,
Abdelaziz Barrada,Marseille,fr Ligue 1,Off_MF,26.5,1452,16.1,679.5984566628698,Top Starter,,,,,589.7567311848943,Top Starter,,
Henri Saivet,Bordeaux,fr Ligue 1,Def_MF,25.2,1560,17.3,,,,,557.1559580150288,Top Starter,574.2624042866612,Top Starter,,
Maxime Gonalons,Lyon,fr Ligue 1,MF,26.8,2892,32.1,,,309.1907937351553,Solid Squad Player,,,652.79661962335,Top Starter,,
