Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Leo Román,La Coruña,es La Liga,GK,26.5,90,1.0,,,,,,,,,,
Odysseas Vlachodimos,Sevilla,es La Liga,GK,32.7,90,1.0,,,,,,,,,,
David Soria,Getafe,es La Liga,GK,33.7,90,1.0,,,,,,,,,,
Marko Dmitrović,Espanyol,es La Liga,GK,34.9,90,1.0,,,,,,,,,,
Antonio Sivera,Alavés,es La Liga,GK,30.4,90,1.0,,,,,,,,,,
Mathew Ryan,Levante,es La Liga,GK,34.7,90,1.0,,,,,,,,,,
Augusto Batalla,Rayo Vallecano,es La Liga,GK,30.7,90,1.0,,,,,,,,,,
Julen Agirrezabala,Real Racing Club,es La Liga,GK,26.0,90,1.0,,,,,,,,,,
Matías Dituro,Elche,es La Liga,GK,39.7,90,1.0,,,,,,,,,,
Luiz Júnior,Villarreal,es La Liga,GK,26.0,90,1.0,,,,,,,,,,
Nahuel Tenaglia,Alavés,es La Liga,DF,30.9,90,1.0,,,,,,,,,,
Unai Núñez,Espanyol,es La Liga,DF,29.9,90,1.0,,,,,,,,,,
Roger Hinojo,Espanyol,es La Liga,DF,21.9,90,1.0,,,,,,,,,,
Juan Foyth,Villarreal,es La Liga,DF,29.0,90,1.0,,,,,,,,,,
Nacho Pérez,Levante,es La Liga,DF,46.5,76,0.8,,,,,,,,,,
Carlos Romero,Villarreal,es La Liga,DF,25.2,90,1.0,,,,,,,,,,
Jonny Castro,Alavés,es La Liga,DF,32.8,90,1.0,,,,,,,,,,
Renato Veiga,Villarreal,es La Liga,DF,23.4,90,1.0,,,,,,,,,,
Youssef Enriquez,Alavés,es La Liga,DF,21.2,25,0.3,,,,,,,,,,
Iglesias,Sevilla,es La Liga,DF,28.5,90,1.0,,,,,,,,,,
Víctor Chust,Elche,es La Liga,DF,26.8,90,1.0,,,,,,,,,,
Adrià Altimira,La Coruña,es La Liga,DF,25.8,71,0.8,,,,,,,,,,
David Affengruber,Elche,es La Liga,DF,25.8,90,1.0,,,,,,,,,,
Adrián de la Fuente,Levante,es La Liga,DF,28.9,90,1.0,,,,,,,,,,
Manu Hernando,Real Racing Club,es La Liga,DF,28.5,74,0.8,,,,,,,,,,
Gabriel Suazo,Sevilla,es La Liga,DF,29.4,90,1.0,,,,,,,,,,
Jorge Salinas,Real Racing Club,es La Liga,DF,30.8,90,1.0,,,,,,,,,,
Ville Koski,Alavés,es La Liga,DF,24.9,90,1.0,,,,,,,,,,
Aïssa Mandi,Levante,es La Liga,DF,35.2,90,1.0,,,,,,,,,,
Bright Ede,La Coruña,es La Liga,DF,19.9,90,1.0,,,,,,,,,,
Kike Salas,Sevilla,es La Liga,DF,24.7,88,1.0,,,,,,,,,,
Omar El Hilali,Espanyol,es La Liga,DF,23.3,90,1.0,,,,,,,,,,
Facundo González,Real Racing Club,es La Liga,DF,,13,0.1,,,,,,,,,,
Pedro Felipe,Real Racing Club,es La Liga,DF,22.6,16,0.2,,,,,,,,,,
Clemens Riedel,Espanyol,es La Liga,DF,23.5,90,1.0,,,,,,,,,,
Davinchi,Getafe,es La Liga,DF,19.2,45,0.5,,,,,,,,,,
Pablo Ramón,Real Racing Club,es La Liga,DF,25.5,77,0.9,,,,,,,,,,
Santiago Mouriño,Villarreal,es La Liga,DF,24.9,88,1.0,,,,,,,,,,
Djené,Getafe,es La Liga,DF,35.0,81,0.9,,,,,,,,,,
Lucas Noubi,La Coruña,es La Liga,DF,22.0,90,1.0,,,,,,,,,,
Florian Lejeune,Rayo Vallecano,es La Liga,DF,35.6,90,1.0,,,,,,,,,,
Zaid Romero,Getafe,es La Liga,DF,27.0,90,1.0,,,,,,,,,,
Giacomo Quagliata,La Coruña,es La Liga,DF,26.9,90,1.0,,,,,,,,,,
Ximo Navarro,La Coruña,es La Liga,DF,36.9,90,1.0,,,,,,,,,,
Marc Santos,Levante,es La Liga,DF,,26,0.3,,,,,,,,,,
Andrés García,Getafe,es La Liga,DF,23.9,81,0.9,,,,,,,,,,
Arouna Sangante,Sevilla,es La Liga,DF,24.7,90,1.0,,,,,,,,,,
Pelayo Fernandez,Rayo Vallecano,es La Liga,DF,23.7,12,0.1,,,,,,,,,,
Alvaro Mantilla,Real Racing Club,es La Liga,DF,,90,1.0,,,,,,,,,,
Abdel Abqar,Getafe,es La Liga,DF,27.8,90,1.0,,,,,,,,,,
Buba Sangaré,Elche,es La Liga,DF,19.4,90,1.0,,,,,,,,,,
Saba Sazonov,Getafe,es La Liga,DF,24.9,9,0.1,,,,,,,,,,
Iván Balliu,Rayo Vallecano,es La Liga,DF,35.0,90,1.0,,,,,,,,,,
Jeremy Toljan,Levante,es La Liga,DF,32.4,14,0.2,,,,,,,,,,
Manu Sánchez,Levante,es La Liga,DF,20.9,90,1.0,,,,,,,,,,
Andrei Ratiu,Rayo Vallecano,es La Liga,DF,28.5,90,1.0,,,,,,,,,,
Sebastián Boselli,Getafe,es La Liga,DF,23.1,9,0.1,,,,,,,,,,
Jean Ives Valou,Getafe,es La Liga,DF,21.0,17,0.2,,,,,,,,,,
Kiko Femenía,Getafe,es La Liga,DF,35.9,42,0.5,,,,,,,,,,
Alexander Freeman,Villarreal,es La Liga,DF,27.6,2,0.0,,,,,,,,,,
Mikel Rodriguez,Alavés,es La Liga,MF,24.7,33,0.4,,,,,,,,,,
Pape Gueye,Villarreal,es La Liga,MF,27.9,90,1.0,,,,,,,,,,
Iñigo Vicente,Real Racing Club,es La Liga,FW,29.0,90,1.0,,,,,,,,,,
Marc Aguado,Elche,es La Liga,MF,26.9,90,1.0,,,,,,,,,,
Tyrhys Dolan,Espanyol,es La Liga,MF,25.0,81,0.9,,,,,,,,,,
Andrés Martín,Real Racing Club,es La Liga,MF,27.5,90,1.0,,,,,,,,,,
Sergio Martinez,Real Racing Club,es La Liga,MF,,69,0.8,,,,,,,,,,
Javier Hernández,Espanyol,es La Liga,MF,28.7,82,0.9,,,,,,,,,,
Gustavo Puerta,Real Racing Club,es La Liga,MF,23.4,90,1.0,,,,,,,,,,
Álex Calatrava,Espanyol,es La Liga,MF,26.5,72,0.8,,,,,,,,,,
Lorenzo Amatucci,La Coruña,es La Liga,MF,22.9,90,1.0,,,,,,,,,,
Mario Soriano,La Coruña,es La Liga,MF,24.7,71,0.8,,,,,,,,,,
Miguel Sierra,Sevilla,es La Liga,MF,22.5,70,0.8,,,,,,,,,,
Germán Valera,Elche,es La Liga,MF,24.8,81,0.9,,,,,,,,,,
Unai López,Rayo Vallecano,es La Liga,MF,31.2,78,0.9,,,,,,,,,,
Manu Bueno,Sevilla,es La Liga,MF,22.4,8,0.1,,,,,,,,,,
Ángel Pérez,Alavés,es La Liga,MF,24.6,65,0.7,,,,,,,,,,
Abde Rebbach,Alavés,es La Liga,MF,,89,1.0,,,,,,,,,,
Álvaro García,Rayo Vallecano,es La Liga,FW,34.2,70,0.8,,,,,,,,,,
Rafael Bauza,Espanyol,es La Liga,MF,21.9,18,0.2,,,,,,,,,,
Lucien Agoume,Sevilla,es La Liga,MF,24.9,90,1.0,,,,,,,,,,
Urko González,Espanyol,es La Liga,MF,25.8,72,0.8,,,,,,,,,,
Carlos Macià,Villarreal,es La Liga,MF,18.3,34,0.4,,,,,,,,,,
Edu Expósito,Espanyol,es La Liga,MF,30.4,86,1.0,,,,,,,,,,
Maguette Gueye,Real Racing Club,es La Liga,MF,,21,0.2,,,,,,,,,,
Ramón Terrats,Getafe,es La Liga,MF,26.2,90,1.0,,,,,,,,,,
Peque,Sevilla,es La Liga,MF,24.2,45,0.5,,,,,,,,,,
Mario Martín,Getafe,es La Liga,MF,22.8,66,0.7,,,,,,,,,,
Isaac Palazón Camacho,Rayo Vallecano,es La Liga,MF,32.0,64,0.7,,,,,,,,,,
Pere Milla,Espanyol,es La Liga,FW,34.3,8,0.1,,,,,,,,,,
Javi Morcillo,Elche,es La Liga,MF,,9,0.1,,,,,,,,,,
