Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Jere Uronen,Schalke 04,de Bundesliga,DF,28,676,7.5,,,,,514.9043331307455,Top Starter,514.9043331307455,384.2,Solid Squad Player
Mark Uth,Köln,de Bundesliga,Off_MF,30,46,0.5,,,,,,,,,Below Big-5 Level
Josha Vagnoman,Stuttgart,de Bundesliga,DF,21,1479,16.4,,,,,394.17449472363535,Solid Squad Player,394.17449472363535,160.1,Below Big-5 Level
Diego Valencia,Salernitana,it Serie A,Off_MF,22,231,2.6,,,,,,,,,Below Big-5 Level
Óscar Valentín,Rayo Vallecano,es La Liga,MF,27,2555,28.4,,,348.74609438093285,Solid Squad Player,,,348.74609438093285,332.8,Solid Squad Player
Emanuele Valeri,Cremonese,it Serie A,DF,23,2785,30.9,,,,,362.68101703286527,Solid Squad Player,362.68101703286527,101.6,Below Big-5 Level
Yan Valery,Southampton,eng Premier League,DF,23,45,0.5,,,,,,,,,Below Big-5 Level
Yan Valery,Angers,fr Ligue 1,DF,23,2497,27.7,,,,,609.362313662912,Top Starter,609.362313662912,512.8,Top Starter
Martin Valjent,Mallorca,es La Liga,DF,26,2656,29.5,,,,,558.4314253999669,Top Starter,558.4314253999669,497.0,Top Starter
Jesús Vallejo,Real Madrid,es La Liga,DF,25,22,0.2,,,,,,,,,Below Big-5 Level
Manu Vallejo,Girona,es La Liga,FW,25,206,2.3,,,,,,,,,Below Big-5 Level
Mattia Valoti,Monza,it Serie A,MF,28,453,5.0,,,301.33658669045667,Solid Squad Player,,,301.33658669045667,254.3,Solid Squad Player
Federico Valverde,Real Madrid,es La Liga,Off_MF,24,2502,27.8,544.4549973184984,Top Starter,,,,,544.4549973184984,616.0,Top Starter
Virgil van Dijk,Liverpool,eng Premier League,DF,31,2835,31.5,,,,,540.9864273540505,Top Starter,540.9864273540505,463.6,Top Starter
Vanderson,Monaco,fr Ligue 1,DF,21,2214,24.6,,,,,740.1438684523758,Top Starter,740.1438684523758,745.5,Top Starter
Raphaël Varane,Manchester Utd,eng Premier League,DF,29,1911,21.2,,,,,440.32481998087707,Top Starter,440.32481998087707,271.0,Solid Squad Player
Jamie Vardy,Leicester City,eng Premier League,FW,35,1857,20.6,314.0743628209437,Solid Squad Player,,,,,314.0743628209437,362.0,Solid Squad Player
Ruben Vargas,Augsburg,de Bundesliga,Off_MF,23,1130,12.6,554.6340532387418,Top Starter,,,,,554.6340532387418,607.6,Top Starter
Johan Vásquez,Cremonese,it Serie A,DF,23,1813,20.1,,,,,729.2728069008432,Top Starter,729.2728069008432,782.0,World Class
Jesus Vazquez,Valencia,es La Liga,DF,19,310,3.4,,,,,,,,,Below Big-5 Level
Kevin Vázquez,Celta Vigo,es La Liga,DF,29,441,4.9,,,,,,,,,Below Big-5 Level
Lucas Vázquez,Real Madrid,es La Liga,DF,31,1144,12.7,,,,,518.3049687124526,Top Starter,518.3049687124526,420.2,Top Starter
Matías Vecino,Lazio,it Serie A,MF,30,1691,18.8,,,345.0035587949757,Solid Squad Player,,,345.0035587949757,313.2,Solid Squad Player
Gabriel Veiga,Celta Vigo,es La Liga,Off_MF,20,2294,25.5,619.4596307950092,Top Starter,,,,,619.4596307950092,714.2,Top Starter
Renato Veiga,Augsburg,de Bundesliga,DF,19,639,7.1,,,,,602.3471089229203,Top Starter,602.3471089229203,546.4,Top Starter
Miloš Veljković,Werder Bremen,de Bundesliga,DF,26,2266,25.2,,,,,605.3656218021092,Top Starter,605.3656218021092,552.0,Top Starter
Miguel Veloso,Hellas Verona,it Serie A,MF,36,1163,12.9,,,495.0492415108298,Top Starter,,,495.0492415108298,515.5,Top Starter
Joël Veltman,Brighton,eng Premier League,DF,30,2188,24.3,,,,,568.9068363002461,Top Starter,568.9068363002461,517.0,Top Starter
Micky van de Ven,Wolfsburg,de Bundesliga,DF,21,2970,33.0,,,,,527.7308891519806,Top Starter,527.7308891519806,408.0,Top Starter
Unai Vencedor Paris,Athletic Club,es La Liga,MF,21,193,2.1,,,,,,,,,Below Big-5 Level
Lorenzo Venuti,Fiorentina,it Serie A,DF,27,924,10.3,,,,,360.00352143685353,Solid Squad Player,360.00352143685353,96.7,Below Big-5 Level
