Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
John Ruddy,Wolves,eng Premier League,GK,32.2,90,1.0,,,,,,,,,,
Paulo Gazzaniga,Tottenham,eng Premier League,GK,27.0,270,3.0,,,,,,,,,,
Willy Caballero,Chelsea,eng Premier League,GK,37.3,180,2.0,,,,,,,,,,
Fabri,Fulham,eng Premier League,GK,31.0,180,2.0,,,,,,,,,,
Hugo Lloris,Tottenham,eng Premier League,GK,32.0,2970,33.0,,,,,,,,,765.4712909986137,World Class
Petr Čech,Arsenal,eng Premier League,GK,36.6,585,6.5,,,,,,,,,777.3595564295211,World Class
Mark Travers,Bournemouth,eng Premier League,GK,19.6,180,2.0,,,,,,,,,,
Michel Vorm,Tottenham,eng Premier League,GK,35.2,180,2.0,,,,,,,,,,
Alisson,Liverpool,eng Premier League,GK,26.2,3420,38.0,,,,,,,,,749.5796720375581,Top Starter
Łukasz Fabiański,West Ham,eng Premier League,GK,33.7,3420,38.0,,,,,,,,,705.1455985707335,Top Starter
Vicente Guaita,Crystal Palace,eng Premier League,GK,32.0,1755,19.5,,,,,,,,,721.3364249923208,Top Starter
Ederson,Manchester City,eng Premier League,GK,25.4,3420,38.0,,,,,,,,,716.5280195286207,Top Starter
Neil Etheridge,Cardiff City,eng Premier League,GK,28.9,3420,38.0,,,,,,,,,671.5086727146839,Top Starter
Bernd Leno,Arsenal,eng Premier League,GK,26.8,2835,31.5,,,,,,,,,675.157239748543,Top Starter
Kepa Arrizabalaga,Chelsea,eng Premier League,GK,24.2,3240,36.0,,,,,,,,,696.5282006391185,Top Starter
Artur Boruc,Bournemouth,eng Premier League,GK,38.9,1080,12.0,,,,,,,,,706.5804275686334,Top Starter
David Button,Brighton,eng Premier League,GK,29.8,360,4.0,,,,,,,,,,
Tom Heaton,Burnley,eng Premier League,GK,32.7,1710,19.0,,,,,,,,,682.0407918079054,Top Starter
Ben Foster,Watford,eng Premier League,GK,35.7,3420,38.0,,,,,,,,,690.2987981476286,Top Starter
Sergio Rico,Fulham,eng Premier League,GK,25.3,2610,29.0,,,,,,,,,641.9985529587169,Top Starter
Jordan Pickford,Everton,eng Premier League,GK,24.8,3420,38.0,,,,,,,,,666.3970763271393,Top Starter
Joe Hart,Burnley,eng Premier League,GK,31.7,1710,19.0,,,,,,,,,650.6867753194033,Top Starter
Kasper Schmeichel,Leicester City,eng Premier League,GK,32.2,3420,38.0,,,,,,,,,600.347263183091,Top Starter
Martin Dúbravka,Newcastle Utd,eng Premier League,GK,30.0,3420,38.0,,,,,,,,,702.2167242673205,Top Starter
David De Gea,Manchester Utd,eng Premier League,GK,28.2,3420,38.0,,,,,,,,,621.2078046456024,Top Starter
Alex McCarthy,Southampton,eng Premier League,GK,29.1,2250,25.0,,,,,,,,,606.8246695111812,Top Starter
Wayne Hennessey,Crystal Palace,eng Premier League,GK,31.9,1575,17.5,,,,,,,,,635.8270817275691,Top Starter
Jonas Lössl,Huddersfield,eng Premier League,GK,29.9,2777,30.9,,,,,,,,,606.4649834300609,Top Starter
Rui Patrício,Wolves,eng Premier League,GK,30.9,3329,37.0,,,,,,,,,576.1559784199612,Top Starter
Mathew Ryan,Brighton,eng Premier League,GK,26.7,3060,34.0,,,,,,,,,579.9085934909468,Top Starter
Joel Coleman,Huddersfield,eng Premier League,GK,23.3,90,1.0,,,,,,,,,,
