season,sofa_player_id,Pos
2017-2018,905379,MF
2017-2018,877342,FW
2017-2018,19003,FW
2017-2018,96490,MF
2017-2018,137155,Off_MF
2017-2018,801378,FW
2017-2018,823941,FW
2017-2018,252313,DF
2017-2018,855810,FW
2017-2018,158037,DF
2017-2018,588162,DF
2017-2018,369542,Off_MF
2017-2018,842188,DF
2017-2018,51392,DF
2017-2018,581794,FW
2017-2018,98435,Off_MF
2017-2018,886534,FW
2017-2018,9682,MF
2017-2018,862194,FW
2017-2018,847785,DF
2017-2018,38639,FW
2017-2018,782396,FW
2017-2018,3593,FW
2017-2018,909167,DF
2017-2018,915474,DF
2017-2018,797284,MF
2017-2018,19172,DF
2017-2018,794338,Off_MF
2017-2018,115102,DF
2017-2018,826139,FW
2017-2018,387082,DF
2017-2018,1018,DF
2017-2018,114155,MF
2017-2018,293581,MF
2017-2018,339227,DF
2017-2018,906275,DF
2017-2018,27463,DF
2017-2018,139262,DF
2017-2018,349762,DF
2017-2018,361342,MF
2017-2018,892625,Off_MF
2017-2018,548198,FW
2017-2018,830238,DF
2017-2018,693,DF
2017-2018,42930,MF
2017-2018,868223,FW
2017-2018,368134,DF
2017-2018,2525,MF
2017-2018,933426,MF
2017-2018,1063273,Off_MF
2017-2018,788260,Off_MF
2017-2018,146951,DF
2017-2018,146499,MF
2017-2018,587126,MF
2017-2018,850895,DF
2017-2018,212072,DF
2017-2018,43215,DF
2017-2018,99524,Off_MF
2017-2018,838640,FW
2017-2018,284363,FW
2017-2018,17926,MF
2017-2018,229722,MF
2017-2018,827386,Off_MF
2017-2018,37761,DF
2017-2018,877844,DF
2017-2018,891,DF
2017-2018,353262,FW
2017-2018,878081,FW
2017-2018,29759,DF
2017-2018,40608,Off_MF
2017-2018,823085,DF
2017-2018,846498,MF
2017-2018,68921,Off_MF
2017-2018,333239,Off_MF
2017-2018,280087,Off_MF
2017-2018,344541,FW
2017-2018,169221,DF
2017-2018,114154,DF
2017-2018,366156,FW
2017-2018,1127439,DF
2017-2018,829022,DF
2017-2018,148076,Off_MF
2017-2018,909274,MF
2017-2018,868323,FW
2017-2018,134364,DF
2017-2018,22086,Off_MF
2017-2018,846446,DF
2017-2018,159739,DF
2017-2018,303638,DF
2017-2018,818469,FW
2017-2018,108538,FW
2017-2018,39283,MF
2017-2018,11734,MF
2017-2018,822,Off_MF
2017-2018,121613,Off_MF
2017-2018,281087,DF
2017-2018,149710,FW
2017-2018,48243,FW
2017-2018,579726,FW
2017-2018,794412,MF
2017-2018,800373,MF
2017-2018,154508,Off_MF
2017-2018,141664,FW
2017-2018,42455,Off_MF
2017-2018,807400,Off_MF
2017-2018,370224,FW
2017-2018,153440,MF
2017-2018,252661,DF
2017-2018,97409,FW
2017-2018,754710,FW
2017-2018,43779,MF
2017-2018,583608,MF
2017-2018,342909,Off_MF
2017-2018,99520,MF
2017-2018,26096,DF
2017-2018,344243,FW
2017-2018,11591,Off_MF
2017-2018,344199,DF
2017-2018,136718,MF
2017-2018,591140,FW
2017-2018,154406,DF
2017-2018,13262,FW
2017-2018,547242,DF
2017-2018,856553,MF
2017-2018,40671,DF
2017-2018,309648,FW
2017-2018,14468,MF
2017-2018,11692,FW
2017-2018,889737,DF
2017-2018,11661,Off_MF
2017-2018,17054,Off_MF
2017-2018,604838,FW
2017-2018,807889,MF
2017-2018,802138,FW
2017-2018,21482,DF
2017-2018,254713,DF
2017-2018,238708,FW
2017-2018,146416,MF
2017-2018,97410,Off_MF
2017-2018,375638,Off_MF
2017-2018,275959,DF
2017-2018,165413,DF
2017-2018,777,FW
2017-2018,190435,FW
2017-2018,32492,FW
2017-2018,176,MF
2017-2018,847128,MF
2017-2018,142249,MF
2017-2018,822482,FW
2017-2018,82186,FW
2017-2018,52691,FW
2017-2018,130181,FW
2017-2018,115143,Off_MF
2017-2018,221738,MF
2017-2018,804613,DF
2017-2018,856668,DF
2017-2018,901470,DF
2017-2018,104794,DF
2017-2018,106319,FW
2017-2018,836678,DF
2017-2018,32858,FW
2017-2018,814385,FW
2017-2018,64385,Off_MF
2017-2018,367228,FW
2017-2018,125261,Off_MF
2017-2018,363858,MF
2017-2018,822815,FW
2017-2018,372312,FW
2017-2018,155997,DF
2017-2018,871321,DF
2017-2018,839226,FW
2017-2018,822471,FW
2017-2018,21204,DF
2017-2018,573616,MF
2017-2018,826570,Off_MF
2017-2018,128204,DF
2017-2018,806019,FW
2017-2018,843083,DF
2017-2018,842526,Off_MF
2017-2018,20538,MF
2017-2018,861980,FW
2017-2018,893140,MF
2017-2018,844447,MF
2017-2018,326565,Off_MF
2017-2018,867887,MF
2017-2018,314370,Off_MF
2017-2018,855833,Off_MF
2017-2018,847115,DF
2017-2018,856594,FW
2017-2018,95572,Off_MF
2017-2018,797893,DF
2017-2018,791203,DF
2017-2018,844690,MF
2017-2018,345899,Off_MF
2017-2018,99938,DF
2017-2018,801483,Off_MF
2017-2018,827935,DF
2017-2018,769783,FW
2017-2018,74201,DF
2017-2018,61526,MF
2017-2018,45817,DF
2017-2018,851262,FW
2017-2018,110850,DF
2017-2018,51631,DF
2017-2018,94287,FW
2017-2018,26706,FW
2017-2018,793645,FW
2017-2018,159701,FW
2017-2018,14570,FW
2017-2018,604954,FW
2017-2018,3063,DF
2017-2018,42800,DF
2017-2018,24818,DF
2017-2018,146200,MF
2017-2018,787827,DF
2017-2018,288073,FW
2017-2018,822536,Off_MF
2017-2018,18006,FW
2017-2018,280811,DF
2017-2018,139267,MF
2017-2018,877103,DF
2017-2018,309078,FW
2017-2018,44864,DF
2017-2018,139225,DF
2017-2018,57317,FW
2017-2018,124950,Off_MF
2017-2018,369,DF
2017-2018,608362,FW
2017-2018,395,Off_MF
2017-2018,360396,DF
2017-2018,231158,MF
2017-2018,33587,Off_MF
2017-2018,804170,FW
2017-2018,44228,DF
2017-2018,833057,MF
2017-2018,807291,DF
2017-2018,25991,FW
2017-2018,799559,FW
2017-2018,113370,MF
2017-2018,800411,FW
2017-2018,76038,DF
2017-2018,17740,FW
2017-2018,75899,MF
2017-2018,825750,Off_MF
2017-2018,893993,MF
2017-2018,857917,Off_MF
2017-2018,3568,DF
2017-2018,100408,Off_MF
2017-2018,1934,Off_MF
2017-2018,547838,MF
2017-2018,864929,Off_MF
2017-2018,62013,FW
2017-2018,17803,DF
2017-2018,2966,MF
2017-2018,365992,DF
2017-2018,812758,DF
2017-2018,9360,MF
2017-2018,836939,DF
2017-2018,235656,DF
2017-2018,158621,DF
2017-2018,317691,DF
2017-2018,816808,MF
2017-2018,347494,DF
2017-2018,41371,Off_MF
2017-2018,788949,MF
2017-2018,813511,DF
2017-2018,825128,Off_MF
2017-2018,3204,Off_MF
2017-2018,286085,DF
2017-2018,636,Off_MF
2017-2018,93870,FW
2017-2018,20963,FW
2017-2018,892624,MF
2017-2018,825044,FW
2017-2018,851890,DF
2017-2018,1473091,FW
2017-2018,44936,DF
2017-2018,101482,Off_MF
2017-2018,163383,DF
2017-2018,794269,Off_MF
2017-2018,25929,FW
2017-2018,80581,DF
2017-2018,285989,Def_MF
2017-2018,785633,MF
2017-2018,916680,FW
2017-2018,19352,DF
2017-2018,844752,DF
2017-2018,98450,MF
2017-2018,161325,FW
2017-2018,581464,FW
2017-2018,26323,FW
2017-2018,328109,MF
2017-2018,174519,FW
2017-2018,387220,DF
2017-2018,122833,DF
2017-2018,13148,FW
