season,sofa_player_id,Pos
2018-2019,284367,DF
2018-2019,788971,MF
2018-2019,921033,FW
2018-2019,25552,DF
2018-2019,357598,FW
2018-2019,187431,Off_MF
2018-2019,99546,DF
2018-2019,37446,DF
2018-2019,151499,FW
2018-2019,796027,Off_MF
2018-2019,171961,Off_MF
2018-2019,124802,DF
2018-2019,188355,DF
2018-2019,794927,MF
2018-2019,51363,Def_MF
2018-2019,117083,Off_MF
2018-2019,136935,DF
2018-2019,147229,FW
2018-2019,48077,FW
2018-2019,114497,FW
2018-2019,124712,Off_MF
2018-2019,14695,MF
2018-2019,825133,DF
2018-2019,119242,FW
2018-2019,367056,FW
2018-2019,3090,MF
2018-2019,352966,FW
2018-2019,217384,DF
2018-2019,118982,Off_MF
2018-2019,352562,DF
2018-2019,142860,MF
2018-2019,237068,DF
2018-2019,831983,FW
2018-2019,795044,FW
2018-2019,126733,MF
2018-2019,842419,DF
2018-2019,280979,Off_MF
2018-2019,190405,MF
2018-2019,95323,DF
2018-2019,38363,MF
2018-2019,821464,FW
2018-2019,294597,Off_MF
2018-2019,356032,DF
2018-2019,794836,MF
2018-2019,27049,MF
2018-2019,21881,MF
2018-2019,785634,DF
2018-2019,16635,DF
2018-2019,38393,DF
2018-2019,871938,FW
2018-2019,846445,FW
2018-2019,592012,Off_MF
2018-2019,88697,FW
2018-2019,80406,Off_MF
2018-2019,867887,MF
2018-2019,152390,Off_MF
2018-2019,257153,MF
2018-2019,44577,DF
2018-2019,44760,DF
2018-2019,55119,DF
2018-2019,21256,FW
2018-2019,243049,FW
2018-2019,146101,MF
2018-2019,23996,FW
2018-2019,803761,DF
2018-2019,331853,DF
2018-2019,255239,FW
2018-2019,127257,Off_MF
2018-2019,141945,FW
2018-2019,812829,DF
2018-2019,787941,MF
2018-2019,835484,MF
2018-2019,24248,DF
2018-2019,100568,DF
2018-2019,256683,DF
2018-2019,32213,DF
2018-2019,96369,FW
2018-2019,23486,FW
2018-2019,246999,FW
2018-2019,343971,FW
2018-2019,95153,MF
2018-2019,42802,Off_MF
2018-2019,188365,DF
2018-2019,48563,MF
2018-2019,51421,FW
2018-2019,51501,DF
2018-2019,849573,FW
2018-2019,148623,Off_MF
2018-2019,9649,DF
2018-2019,88859,DF
2018-2019,257091,DF
2018-2019,153966,MF
2018-2019,330063,MF
2018-2019,43932,FW
2018-2019,800411,FW
2018-2019,24006,MF
2018-2019,13028,MF
2018-2019,45686,Def_MF
2018-2019,114157,DF
2018-2019,114777,DF
2018-2019,135590,Off_MF
2018-2019,94539,MF
2018-2019,94857,DF
2018-2019,797306,DF
2018-2019,106161,FW
2018-2019,21501,DF
2018-2019,74139,FW
2018-2019,58351,DF
2018-2019,856132,MF
2018-2019,43443,DF
2018-2019,143871,DF
2018-2019,935543,Off_MF
2018-2019,294641,FW
2018-2019,558738,FW
2018-2019,788170,DF
2018-2019,9439,Def_MF
2018-2019,545780,MF
2018-2019,14142,MF
2018-2019,252821,DF
2018-2019,579596,FW
2018-2019,851222,MF
2018-2019,30745,DF
2018-2019,11863,DF
2018-2019,128587,DF
2018-2019,46707,FW
2018-2019,3504,FW
2018-2019,307284,MF
2018-2019,49639,MF
2018-2019,608370,Off_MF
2018-2019,132410,FW
2018-2019,190437,MF
2018-2019,96363,DF
2018-2019,148354,DF
2018-2019,280025,DF
2018-2019,604954,FW
2018-2019,191176,FW
2018-2019,4419,MF
2018-2019,822372,MF
2018-2019,137051,MF
2018-2019,47737,FW
2018-2019,826198,FW
2018-2019,190917,Off_MF
2018-2019,16776,FW
2018-2019,587074,DF
2018-2019,787540,Off_MF
2018-2019,43903,FW
2018-2019,105173,MF
2018-2019,70492,FW
2018-2019,37151,FW
2018-2019,267863,DF
2018-2019,892624,Off_MF
2018-2019,130181,FW
2018-2019,24818,DF
2018-2019,26031,DF
2018-2019,818244,FW
2018-2019,796047,MF
2018-2019,205508,FW
2018-2019,32690,MF
2018-2019,135126,Off_MF
2018-2019,52740,MF
2018-2019,136170,MF
2018-2019,148710,MF
2018-2019,768,DF
2018-2019,21521,FW
2018-2019,66518,FW
2018-2019,17597,DF
2018-2019,331737,MF
2018-2019,94300,Off_MF
2018-2019,32974,DF
2018-2019,12656,MF
2018-2019,141203,DF
2018-2019,131394,Def_MF
2018-2019,826188,DF
2018-2019,273,MF
2018-2019,807889,MF
2018-2019,37386,FW
2018-2019,19382,DF
2018-2019,1749,FW
2018-2019,134361,DF
2018-2019,153974,DF
2018-2019,220131,DF
2018-2019,253387,MF
2018-2019,19394,MF
2018-2019,822470,Off_MF
2018-2019,167855,Off_MF
2018-2019,139223,DF
2018-2019,128637,DF
2018-2019,333243,DF
2018-2019,826202,DF
2018-2019,71952,DF
2018-2019,3041,DF
2018-2019,168749,DF
2018-2019,86988,DF
2018-2019,319861,FW
2018-2019,253871,DF
2018-2019,844388,FW
2018-2019,158573,DF
2018-2019,75994,DF
2018-2019,122922,DF
2018-2019,787889,MF
2018-2019,800408,MF
2018-2019,96702,MF
2018-2019,33910,MF
2018-2019,16176,Off_MF
2018-2019,136710,MF
2018-2019,128376,DF
2018-2019,187437,FW
2018-2019,129479,FW
2018-2019,19343,MF
2018-2019,814594,DF
2018-2019,42110,DF
2018-2019,137667,DF
2018-2019,182243,MF
2018-2019,881931,MF
2018-2019,82943,DF
2018-2019,41334,DF
2018-2019,67507,DF
2018-2019,4370,MF
2018-2019,159701,FW
2018-2019,305278,DF
2018-2019,49805,Off_MF
2018-2019,828571,DF
2018-2019,129874,DF
2018-2019,24829,DF
2018-2019,174975,DF
2018-2019,40672,MF
2018-2019,11724,Def_MF
2018-2019,904827,DF
2018-2019,813523,Off_MF
2018-2019,238408,DF
2018-2019,187433,FW
2018-2019,86528,DF
2018-2019,105951,DF
2018-2019,152077,DF
2018-2019,21949,MF
2018-2019,345111,FW
2018-2019,864898,Off_MF
2018-2019,585170,MF
2018-2019,845084,FW
2018-2019,325355,DF
2018-2019,158583,DF
2018-2019,844842,MF
2018-2019,16632,DF
2018-2019,9860,DF
2018-2019,893141,DF
2018-2019,35428,FW
2018-2019,345035,FW
2018-2019,361004,FW
2018-2019,280835,MF
2018-2019,372344,FW
2018-2019,15354,FW
2018-2019,16508,DF
2018-2019,72805,MF
2018-2019,316170,MF
2018-2019,791,MF
2018-2019,103012,DF
2018-2019,368120,MF
2018-2019,139228,FW
2018-2019,331405,DF
2018-2019,16586,DF
2018-2019,151138,MF
2018-2019,114155,MF
2018-2019,831781,DF
2018-2019,363042,DF
2018-2019,309510,MF
2018-2019,788949,DF
2018-2019,115666,DF
2018-2019,151003,DF
2018-2019,43476,DF
2018-2019,16189,FW
2018-2019,14193,DF
2018-2019,138156,MF
2018-2019,291483,Off_MF
2018-2019,191182,Off_MF
2018-2019,41668,DF
2018-2019,135116,DF
2018-2019,52093,FW
2018-2019,113593,MF
2018-2019,555540,Off_MF
2018-2019,29718,DF
2018-2019,319857,DF
2018-2019,198028,Off_MF
2018-2019,548050,FW
2018-2019,13009,FW
2018-2019,17814,DF
2018-2019,96368,DF
2018-2019,116664,Off_MF
2018-2019,785418,FW
2018-2019,21264,MF
2018-2019,354860,DF
2018-2019,209768,DF
2018-2019,94758,DF
2018-2019,363860,MF
2018-2019,208234,DF
2018-2019,232224,MF
2018-2019,190147,FW
2018-2019,306498,FW
2018-2019,909167,DF
2018-2019,190843,MF
2018-2019,44138,MF
2018-2019,17088,DF
2018-2019,40360,MF
2018-2019,349224,DF
2018-2019,586596,FW
2018-2019,48480,Off_MF
2018-2019,293519,FW
2018-2019,143061,DF
2018-2019,85090,DF
2018-2019,229544,DF
2018-2019,355492,Off_MF
2018-2019,123229,MF
2018-2019,21164,DF
2018-2019,40442,DF
2018-2019,157143,FW
2018-2019,227224,DF
2018-2019,354510,FW
2018-2019,126691,MF
2018-2019,212074,FW
2018-2019,142148,DF
2018-2019,18304,MF
2018-2019,838688,DF
2018-2019,22986,DF
2018-2019,37504,Off_MF
2018-2019,45944,MF
2018-2019,581302,Def_MF
2018-2019,281277,DF
2018-2019,14216,Off_MF
2018-2019,111803,DF
2018-2019,788352,MF
2018-2019,16921,DF
2018-2019,142390,Off_MF
2018-2019,808590,FW
2018-2019,27811,DF
2018-2019,114062,FW
2018-2019,316152,Off_MF
2018-2019,108584,DF
2018-2019,20375,DF
2018-2019,249929,FW
2018-2019,10597,DF
2018-2019,317179,MF
2018-2019,20826,FW
2018-2019,18342,MF
2018-2019,29746,MF
2018-2019,32946,DF
2018-2019,580550,DF
2018-2019,106869,DF
2018-2019,243735,DF
2018-2019,914835,DF
2018-2019,3579,DF
2018-2019,566102,DF
2018-2019,34221,MF
2018-2019,377118,DF
2018-2019,161717,Off_MF
2018-2019,125558,DF
2018-2019,90168,DF
2018-2019,318607,DF
2018-2019,129471,DF
2018-2019,44036,MF
2018-2019,893063,FW
2018-2019,770677,MF
2018-2019,184463,MF
2018-2019,48543,DF
2018-2019,793645,FW
2018-2019,126699,FW
2018-2019,44001,Off_MF
2018-2019,138892,DF
2018-2019,352770,FW
2018-2019,330099,MF
2018-2019,823631,FW
2018-2019,294313,MF
2018-2019,121973,FW
2018-2019,82400,DF
2018-2019,788027,DF
2018-2019,152769,FW
2018-2019,235460,MF
2018-2019,355152,FW
2018-2019,793323,DF
2018-2019,27234,MF
2018-2019,42694,MF
2018-2019,337671,Off_MF
2018-2019,318657,MF
2018-2019,185995,DF
2018-2019,21927,FW
2018-2019,111416,Off_MF
2018-2019,2009,DF
2018-2019,15802,DF
2018-2019,174519,FW
2018-2019,784655,MF
2018-2019,32773,DF
2018-2019,106288,Off_MF
2018-2019,291695,DF
2018-2019,553686,MF
2018-2019,30144,DF
2018-2019,861317,Off_MF
2018-2019,789381,FW
2018-2019,39121,MF
2018-2019,250211,FW
2018-2019,101882,DF
2018-2019,319853,DF
2018-2019,791190,MF
2018-2019,352916,DF
2018-2019,329417,DF
2018-2019,339909,DF
2018-2019,21535,DF
2018-2019,76133,Off_MF
2018-2019,369650,DF
2018-2019,3031,DF
2018-2019,249627,DF
2018-2019,98003,MF
2018-2019,339447,DF
2018-2019,29773,MF
2018-2019,18886,FW
2018-2019,158615,MF
2018-2019,318653,FW
2018-2019,142619,MF
2018-2019,243585,MF
2018-2019,119159,FW
2018-2019,4725,MF
2018-2019,73056,MF
2018-2019,588572,DF
2018-2019,235400,DF
2018-2019,184661,MF
2018-2019,226974,DF
2018-2019,120538,DF
2018-2019,26029,DF
2018-2019,18987,MF
2018-2019,868262,DF
2018-2019,843678,MF
2018-2019,3305,FW
2018-2019,111505,FW
2018-2019,804619,DF
2018-2019,106260,MF
2018-2019,552680,DF
2018-2019,142680,Off_MF
2018-2019,118179,DF
2018-2019,53739,DF
2018-2019,136924,DF
2018-2019,131108,DF
2018-2019,209374,FW
2018-2019,40326,FW
2018-2019,142104,DF
2018-2019,592010,MF
2018-2019,124318,MF
2018-2019,38547,DF
2018-2019,123264,MF
2018-2019,837205,MF
2018-2019,115441,MF
2018-2019,836706,MF
2018-2019,26214,DF
2018-2019,46972,FW
2018-2019,96372,FW
2018-2019,44566,DF
2018-2019,138827,DF
2018-2019,316148,MF
2018-2019,359742,MF
2018-2019,106258,FW
2018-2019,4502,MF
2018-2019,123388,DF
2018-2019,33541,DF
2018-2019,180009,Off_MF
2018-2019,257205,Off_MF
2018-2019,11266,DF
2018-2019,123976,DF
2018-2019,11796,DF
2018-2019,123166,MF
2018-2019,146853,DF
2018-2019,156253,DF
2018-2019,816810,FW
2018-2019,797290,DF
2018-2019,31417,FW
2018-2019,175409,DF
2018-2019,235656,DF
2018-2019,47772,Off_MF
2018-2019,45925,FW
2018-2019,3203,MF
2018-2019,846470,FW
2018-2019,138572,DF
2018-2019,136322,DF
2018-2019,798948,DF
2018-2019,138150,DF
2018-2019,267619,DF
2018-2019,84251,MF
2018-2019,20738,DF
2018-2019,241488,FW
2018-2019,218160,FW
2018-2019,95381,MF
2018-2019,10501,FW
2018-2019,149710,FW
2018-2019,138830,Off_MF
2018-2019,70930,DF
2018-2019,47741,DF
2018-2019,41653,DF
2018-2019,560128,FW
2018-2019,48243,MF
2018-2019,587720,FW
2018-2019,78893,FW
2018-2019,69416,MF
2018-2019,14914,DF
2018-2019,159739,DF
2018-2019,801287,DF
2018-2019,45853,MF
2018-2019,256219,FW
2018-2019,347450,DF
2018-2019,33478,Off_MF
2018-2019,842931,FW
2018-2019,41270,FW
2018-2019,26404,DF
2018-2019,336655,FW
2018-2019,852404,MF
2018-2019,16180,DF
2018-2019,887055,FW
2018-2019,286085,DF
2018-2019,577726,DF
2018-2019,51444,DF
2018-2019,757730,MF
2018-2019,7472,MF
2018-2019,190159,FW
2018-2019,106496,DF
2018-2019,20756,DF
2018-2019,800417,DF
2018-2019,901325,FW
2018-2019,14209,MF
2018-2019,99517,DF
2018-2019,140992,FW
2018-2019,16214,DF
2018-2019,796512,FW
2018-2019,342915,DF
2018-2019,340509,FW
2018-2019,352802,MF
2018-2019,152420,DF
2018-2019,28386,DF
2018-2019,149731,FW
2018-2019,548660,MF
2018-2019,82566,MF
2018-2019,163565,FW
2018-2019,97967,MF
2018-2019,2322979,DF
2018-2019,109461,DF
2018-2019,26576,DF
2018-2019,383560,DF
2018-2019,4732,FW
2018-2019,913654,DF
2018-2019,22566,MF
2018-2019,9127,Off_MF
2018-2019,26502,MF
2018-2019,328519,DF
2018-2019,15857,MF
2018-2019,346744,DF
2018-2019,158233,DF
2018-2019,319129,FW
2018-2019,218298,MF
2018-2019,13592,DF
2018-2019,305282,MF
2018-2019,106751,DF
2018-2019,109851,FW
2018-2019,611210,DF
2018-2019,106662,DF
2018-2019,55052,DF
2018-2019,19356,FW
2018-2019,32493,FW
2018-2019,227862,FW
2018-2019,785468,DF
2018-2019,892924,MF
2018-2019,858705,MF
2018-2019,380974,FW
2018-2019,79680,DF
2018-2019,855731,Off_MF
2018-2019,894238,DF
2018-2019,30441,MF
2018-2019,76063,DF
2018-2019,233114,FW
2018-2019,69256,DF
2018-2019,335033,DF
2018-2019,27678,MF
2018-2019,187481,Off_MF
2018-2019,215246,MF
2018-2019,346516,Off_MF
2018-2019,249629,Off_MF
2018-2019,66477,MF
2018-2019,153158,Off_MF
2018-2019,318963,Off_MF
2018-2019,9741,MF
2018-2019,96490,Def_MF
2018-2019,846471,DF
2018-2019,836698,FW
2018-2019,149735,MF
2018-2019,365992,DF
2018-2019,26991,FW
2018-2019,848287,DF
2018-2019,136947,DF
2018-2019,122951,MF
2018-2019,146866,FW
2018-2019,37092,Off_MF
2018-2019,10086,FW
2018-2019,30027,FW
2018-2019,41234,DF
2018-2019,15529,FW
2018-2019,175581,MF
2018-2019,792317,MF
2018-2019,27014,MF
2018-2019,104813,Off_MF
2018-2019,330677,DF
2018-2019,341513,MF
2018-2019,814590,FW
2018-2019,328103,DF
2018-2019,14942,MF
2018-2019,829932,DF
2018-2019,148566,FW
2018-2019,168985,MF
2018-2019,106726,MF
2018-2019,826643,FW
2018-2019,21249,MF
2018-2019,205028,DF
2018-2019,845385,Off_MF
2018-2019,133908,Off_MF
2018-2019,16459,MF
2018-2019,35219,DF
2018-2019,794939,Off_MF
2018-2019,82401,DF
2018-2019,606164,FW
2018-2019,590262,MF
2018-2019,308054,MF
2018-2019,2951,DF
2018-2019,123223,FW
2018-2019,101393,MF
2018-2019,4581,Off_MF
2018-2019,806076,MF
2018-2019,48335,DF
2018-2019,13630,MF
2018-2019,35166,Off_MF
2018-2019,280435,DF
2018-2019,168647,MF
2018-2019,142259,DF
2018-2019,754794,MF
2018-2019,71707,Off_MF
2018-2019,137978,MF
2018-2019,84854,DF
2018-2019,27028,FW
2018-2019,149850,DF
2018-2019,48660,DF
2018-2019,267747,MF
2018-2019,16779,DF
2018-2019,186719,MF
2018-2019,73979,DF
2018-2019,801306,MF
2018-2019,331447,Off_MF
2018-2019,161325,FW
2018-2019,67647,Off_MF
2018-2019,798835,Off_MF
2018-2019,11781,Off_MF
2018-2019,250133,MF
2018-2019,53825,MF
2018-2019,826204,DF
2018-2019,103364,DF
2018-2019,14718,DF
2018-2019,21134,DF
2018-2019,5846,MF
2018-2019,193554,Off_MF
2018-2019,52663,DF
2018-2019,108579,FW
2018-2019,186855,MF
2018-2019,324399,MF
2018-2019,788171,DF
2018-2019,611876,MF
2018-2019,830667,MF
2018-2019,73980,DF
2018-2019,826215,DF
2018-2019,351140,FW
2018-2019,158293,DF
2018-2019,29735,Def_MF
2018-2019,44241,MF
2018-2019,301164,Off_MF
2018-2019,98440,DF
2018-2019,138152,DF
2018-2019,135264,FW
2018-2019,587962,FW
2018-2019,128958,FW
2018-2019,341143,FW
2018-2019,169255,MF
2018-2019,17094,FW
2018-2019,832427,Off_MF
2018-2019,146500,DF
2018-2019,851100,FW
2018-2019,795064,DF
2018-2019,301288,FW
2018-2019,843754,MF
2018-2019,830288,DF
2018-2019,812126,FW
2018-2019,153220,FW
2018-2019,32952,FW
2018-2019,794838,DF
2018-2019,15444,DF
2018-2019,314040,DF
2018-2019,16336,DF
2018-2019,10710,DF
2018-2019,39320,MF
2018-2019,189127,FW
2018-2019,787542,Off_MF
2018-2019,298920,MF
2018-2019,816763,Off_MF
2018-2019,231946,Off_MF
2018-2019,184417,DF
2018-2019,848276,FW
2018-2019,21299,MF
2018-2019,111483,Off_MF
2018-2019,150383,MF
2018-2019,51321,DF
2018-2019,175139,DF
2018-2019,51665,MF
2018-2019,3209,FW
2018-2019,248529,DF
2018-2019,117777,MF
2018-2019,50070,FW
2018-2019,192308,FW
2018-2019,794948,Off_MF
2018-2019,355796,MF
2018-2019,189135,MF
2018-2019,20097,FW
2018-2019,14933,DF
2018-2019,232306,FW
2018-2019,109296,DF
2018-2019,91046,DF
2018-2019,24397,DF
2018-2019,94856,DF
2018-2019,122811,MF
2018-2019,113956,FW
2018-2019,542472,FW
2018-2019,579576,DF
2018-2019,66492,DF
2018-2019,792073,DF
2018-2019,150864,DF
2018-2019,97925,DF
2018-2019,152734,DF
2018-2019,137775,DF
2018-2019,41157,DF
2018-2019,44932,DF
2018-2019,22109,FW
2018-2019,70900,MF
2018-2019,235672,FW
2018-2019,838159,MF
2018-2019,790828,MF
2018-2019,123208,FW
2018-2019,794269,FW
2018-2019,61445,MF
2018-2019,25682,FW
2018-2019,76632,DF
2018-2019,32124,DF
2018-2019,580800,FW
2018-2019,76122,MF
2018-2019,246319,MF
2018-2019,234230,Off_MF
2018-2019,10589,DF
2018-2019,142672,DF
2018-2019,367096,Off_MF
2018-2019,791702,FW
2018-2019,121180,DF
2018-2019,76178,DF
2018-2019,14990,FW
2018-2019,106272,FW
2018-2019,84539,MF
2018-2019,50480,FW
2018-2019,227942,MF
2018-2019,190839,DF
2018-2019,123915,DF
2018-2019,58994,DF
2018-2019,149380,DF
2018-2019,48751,DF
2018-2019,143334,DF
2018-2019,35532,FW
2018-2019,143697,FW
2018-2019,15466,MF
2018-2019,250547,DF
2018-2019,132149,DF
2018-2019,34125,DF
2018-2019,787505,DF
2018-2019,295133,DF
2018-2019,89894,DF
2018-2019,842709,FW
2018-2019,139227,DF
2018-2019,807648,DF
2018-2019,148824,FW
2018-2019,143398,DF
2018-2019,828839,MF
2018-2019,158277,MF
2018-2019,51652,MF
2018-2019,17966,MF
2018-2019,153161,DF
2018-2019,260065,MF
2018-2019,124737,DF
2018-2019,282229,DF
2018-2019,149479,DF
2018-2019,252313,DF
2018-2019,129472,MF
2018-2019,760618,Off_MF
2018-2019,25506,DF
2018-2019,32414,DF
2018-2019,40322,MF
2018-2019,191188,MF
2018-2019,42690,DF
2018-2019,7635,MF
2018-2019,21992,MF
2018-2019,26971,DF
2018-2019,17651,MF
2018-2019,83618,FW
2018-2019,40965,Off_MF
2018-2019,108800,MF
2018-2019,168937,DF
2018-2019,41560,Off_MF
2018-2019,139229,MF
2018-2019,840217,FW
2018-2019,829093,MF
2018-2019,226978,Off_MF
2018-2019,31981,MF
2018-2019,44563,DF
2018-2019,39009,MF
2018-2019,32742,DF
2018-2019,326343,MF
2018-2019,830551,DF
2018-2019,867180,DF
2018-2019,255973,DF
2018-2019,604274,DF
2018-2019,385888,MF
2018-2019,44228,DF
2018-2019,127585,DF
2018-2019,750,FW
2018-2019,845486,MF
2018-2019,155995,DF
2018-2019,255235,Off_MF
2018-2019,3524,DF
2018-2019,155711,DF
2018-2019,38710,FW
2018-2019,155702,FW
2018-2019,110783,MF
2018-2019,11869,DF
2018-2019,12994,FW
2018-2019,39433,MF
2018-2019,138837,DF
2018-2019,138573,Off_MF
2018-2019,22126,MF
2018-2019,51498,FW
2018-2019,173827,FW
2018-2019,139919,DF
2018-2019,32048,FW
2018-2019,7058,DF
2018-2019,18297,Off_MF
2018-2019,132704,FW
2018-2019,827606,MF
2018-2019,138833,FW
2018-2019,233826,DF
2018-2019,5465,MF
2018-2019,153444,DF
2018-2019,149732,MF
2018-2019,289977,DF
2018-2019,138310,DF
2018-2019,352664,DF
2018-2019,40253,DF
2018-2019,69408,DF
2018-2019,149593,MF
2018-2019,106273,DF
2018-2019,272779,DF
2018-2019,125625,DF
2018-2019,129861,DF
2018-2019,235648,DF
2018-2019,138534,FW
2018-2019,155449,Off_MF
2018-2019,253415,DF
2018-2019,105734,Off_MF
2018-2019,44614,DF
2018-2019,69385,DF
2018-2019,42707,DF
2018-2019,845286,FW
2018-2019,758168,DF
2018-2019,833067,DF
2018-2019,51371,DF
2018-2019,170887,DF
2018-2019,130433,DF
2018-2019,263505,MF
2018-2019,81992,DF
2018-2019,802142,Off_MF
2018-2019,46798,MF
2018-2019,38688,MF
2018-2019,218652,FW
2018-2019,759388,DF
2018-2019,353130,DF
2018-2019,27569,DF
2018-2019,119192,FW
2018-2019,138387,FW
2018-2019,117373,FW
2018-2019,23904,DF
2018-2019,144976,DF
2018-2019,122701,Off_MF
2018-2019,2379,MF
2018-2019,97410,MF
2018-2019,51640,FW
2018-2019,150865,MF
2018-2019,218616,FW
2018-2019,106337,MF
2018-2019,49647,MF
2018-2019,16943,FW
2018-2019,356398,Off_MF
2018-2019,26687,FW
2018-2019,273405,DF
2018-2019,355024,MF
2018-2019,233252,DF
2018-2019,227864,DF
2018-2019,158241,DF
2018-2019,826552,DF
2018-2019,331209,Off_MF
2018-2019,45923,FW
2018-2019,156682,MF
2018-2019,340519,FW
2018-2019,142622,DF
2018-2019,147289,MF
2018-2019,35612,MF
2018-2019,94286,FW
2018-2019,74083,DF
2018-2019,253367,FW
2018-2019,552686,MF
2018-2019,138605,Off_MF
2018-2019,591750,MF
2018-2019,797286,DF
2018-2019,17787,DF
2018-2019,36704,DF
2018-2019,142231,DF
2018-2019,802143,DF
2018-2019,245615,DF
2018-2019,362682,DF
2018-2019,135700,Off_MF
2018-2019,135647,MF
2018-2019,836705,Off_MF
2018-2019,149730,FW
2018-2019,38162,FW
2018-2019,33381,Off_MF
2018-2019,347010,FW
2018-2019,173883,DF
2018-2019,26097,DF
2018-2019,372430,DF
2018-2019,345195,Off_MF
2018-2019,548178,MF
2018-2019,44575,DF
2018-2019,13204,DF
2018-2019,23213,DF
2018-2019,27583,FW
2018-2019,558522,DF
2018-2019,252215,FW
2018-2019,116955,MF
2018-2019,42699,DF
2018-2019,99519,DF
2018-2019,148745,DF
2018-2019,225092,DF
2018-2019,227672,DF
2018-2019,151124,MF
2018-2019,139235,MF
2018-2019,365406,DF
2018-2019,16701,MF
2018-2019,556960,DF
2018-2019,3306,FW
2018-2019,126588,DF
2018-2019,41789,FW
2018-2019,805245,FW
2018-2019,100621,FW
2018-2019,823733,MF
2018-2019,41165,DF
2018-2019,150212,DF
2018-2019,96538,DF
2018-2019,49406,MF
2018-2019,110846,DF
2018-2019,45362,DF
2018-2019,825719,DF
2018-2019,192266,DF
2018-2019,893008,DF
2018-2019,141664,Off_MF
2018-2019,362014,DF
2018-2019,356352,DF
2018-2019,150396,DF
2018-2019,100389,MF
2018-2019,844480,DF
2018-2019,307702,DF
2018-2019,259339,MF
2018-2019,312388,Off_MF
2018-2019,35199,DF
2018-2019,826203,DF
2018-2019,72998,Off_MF
2018-2019,856714,MF
2018-2019,595576,FW
2018-2019,247445,FW
2018-2019,111802,MF
2018-2019,280955,MF
2018-2019,836168,DF
2018-2019,47992,FW
2018-2019,229598,DF
2018-2019,359226,MF
2018-2019,96370,FW
2018-2019,115516,MF
2018-2019,122815,DF
2018-2019,783374,FW
2018-2019,108736,DF
2018-2019,138546,DF
2018-2019,46125,DF
2018-2019,295973,FW
2018-2019,6562,MF
2018-2019,97926,DF
2018-2019,845386,FW
2018-2019,111850,FW
2018-2019,35211,DF
2018-2019,152276,Off_MF
2018-2019,131716,DF
2018-2019,67769,DF
2018-2019,82240,DF
2018-2019,569784,MF
2018-2019,136922,DF
2018-2019,149370,MF
2018-2019,149734,DF
2018-2019,39282,MF
2018-2019,122810,DF
2018-2019,141080,DF
2018-2019,799046,DF
2018-2019,31968,DF
2018-2019,259117,DF
2018-2019,22100,DF
2018-2019,39182,MF
2018-2019,846081,MF
2018-2019,96535,MF
2018-2019,338991,DF
2018-2019,812946,FW
2018-2019,14251,DF
2018-2019,329303,MF
2018-2019,785989,FW
2018-2019,217704,FW
2018-2019,39348,DF
2018-2019,145188,DF
2018-2019,55570,DF
2018-2019,591706,MF
2018-2019,83506,DF
2018-2019,234148,Off_MF
2018-2019,22200,DF
2018-2019,5676,DF
2018-2019,363856,MF
2018-2019,27622,DF
2018-2019,192442,FW
2018-2019,847128,MF
2018-2019,84744,FW
2018-2019,43192,Off_MF
2018-2019,84531,DF
2018-2019,221200,DF
2018-2019,857205,DF
2018-2019,126071,DF
2018-2019,863653,DF
2018-2019,294593,DF
2018-2019,227922,DF
2018-2019,143047,DF
2018-2019,604232,DF
2018-2019,288013,DF
2018-2019,69404,DF
2018-2019,770,DF
2018-2019,187205,DF
2018-2019,115365,DF
2018-2019,823622,FW
2018-2019,132874,MF
2018-2019,14525,MF
2018-2019,138261,Off_MF
2018-2019,139310,DF
2018-2019,41605,DF
2018-2019,249399,Off_MF
2018-2019,122848,DF
2018-2019,74577,DF
2018-2019,344129,FW
2018-2019,85859,FW
2018-2019,11621,FW
2018-2019,331449,MF
2018-2019,96373,MF
2018-2019,38533,DF
2018-2019,262911,DF
2018-2019,3577,DF
2018-2019,581314,MF
2018-2019,3420,DF
2018-2019,44848,DF
2018-2019,21300,DF
2018-2019,36982,DF
2018-2019,16590,FW
2018-2019,157029,MF
2018-2019,84298,DF
2018-2019,190139,DF
2018-2019,143786,MF
2018-2019,802695,DF
2018-2019,166381,DF
2018-2019,344751,MF
2018-2019,159665,FW
2018-2019,32045,MF
2018-2019,96905,DF
2018-2019,115346,Off_MF
2018-2019,165583,DF
2018-2019,192144,FW
2018-2019,5585,DF
2018-2019,787885,MF
2018-2019,220223,FW
2018-2019,126816,DF
2018-2019,20993,MF
2018-2019,593526,FW
2018-2019,827212,DF
2018-2019,153257,DF
2018-2019,19063,DF
2018-2019,31993,DF
2018-2019,151545,DF
2018-2019,21555,DF
2018-2019,149663,DF
2018-2019,50294,MF
2018-2019,178721,DF
2018-2019,98449,DF
2018-2019,137774,DF
2018-2019,43905,FW
2019-2020,769163,Off_MF
2019-2020,949449,MF
2019-2020,996985,FW
2019-2020,787404,DF
2019-2020,859767,FW
2019-2020,54331,Def_MF
2019-2020,356186,DF
2019-2020,788181,Off_MF
2019-2020,886166,DF
2019-2020,28386,MF
2019-2020,914210,MF
2019-2020,227892,MF
2019-2020,138765,FW
2019-2020,966555,FW
2019-2020,1020897,DF
2019-2020,845791,FW
2019-2020,191178,DF
2019-2020,931844,DF
2019-2020,836600,Off_MF
2019-2020,1009372,FW
2019-2020,955245,DF
2019-2020,1032022,FW
2019-2020,876860,MF
2019-2020,158621,Off_MF
