Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Caoimhin Kelleher,Liverpool,eng Premier League,GK,22.1,180,2.0,,,,,,,,,,
Emiliano Martínez,Aston Villa,eng Premier League,GK,28.3,3420,38.0,,,,,,,,,857.2104588298012,World Class
Kiko Casilla,Leeds United,eng Premier League,GK,34.3,270,3.0,,,,,,,,,,
Illan Meslier,Leeds United,eng Premier League,GK,20.8,3150,35.0,,,,,,,,,813.0736846943468,World Class
João Virgínia,Everton,eng Premier League,GK,21.2,47,0.5,,,,,,,,,,
Nick Pope,Burnley,eng Premier League,GK,28.7,2880,32.0,,,,,,,,,828.7849972776943,World Class
Sam Johnstone,West Brom,eng Premier League,GK,27.8,3330,37.0,,,,,,,,,680.7895020128811,Top Starter
Martin Dúbravka,Newcastle Utd,eng Premier League,GK,32.0,1170,13.0,,,,,,,,,730.956834008295,Top Starter
Jordan Pickford,Everton,eng Premier League,GK,26.8,2743,30.5,,,,,,,,,704.5375416747122,Top Starter
Alphonse Aréola,Fulham,eng Premier League,GK,27.8,3240,36.0,,,,,,,,,704.9268136789639,Top Starter
Dean Henderson,Manchester Utd,eng Premier League,GK,23.8,1125,12.5,,,,,,,,,797.122539797298,World Class
Alisson,Liverpool,eng Premier League,GK,28.2,2970,33.0,,,,,,,,,746.7091817385754,Top Starter
Hugo Lloris,Tottenham,eng Premier League,GK,34.0,3420,38.0,,,,,,,,,719.9198786612446,Top Starter
Karl Darlow,Newcastle Utd,eng Premier League,GK,30.2,2250,25.0,,,,,,,,,628.1223757215796,Top Starter
Ederson,Manchester City,eng Premier League,GK,27.4,3240,36.0,,,,,,,,,734.5593548325563,Top Starter
Rúnar Alex Rúnarsson,Arsenal,eng Premier League,GK,25.9,16,0.2,,,,,,,,,,
Robert Sánchez,Brighton,eng Premier League,GK,23.1,2430,27.0,,,,,,,,,735.6276345933261,Top Starter
Fraser Forster,Southampton,eng Premier League,GK,32.8,720,8.0,,,,,,,,,660.9077916218544,Top Starter
Edouard Mendy,Chelsea,eng Premier League,GK,28.8,2745,30.5,,,,,,,,,727.8017894274332,Top Starter
Robin Olsen,Everton,eng Premier League,GK,31.0,630,7.0,,,,,,,,,687.0806688711833,Top Starter
Aaron Ramsdale,Sheffield Utd,eng Premier League,GK,22.6,3420,38.0,,,,,,,,,663.8290213687359,Top Starter
Bernd Leno,Arsenal,eng Premier League,GK,28.8,3132,34.8,,,,,,,,,690.18151805166,Top Starter
Łukasz Fabiański,West Ham,eng Premier League,GK,35.7,3150,35.0,,,,,,,,,675.8785243574215,Top Starter
Darren Randolph,West Ham,eng Premier League,GK,33.6,270,3.0,,,,,,,,,,
John Ruddy,Wolves,eng Premier League,GK,34.2,91,1.0,,,,,,,,,,
Kasper Schmeichel,Leicester City,eng Premier League,GK,34.2,3420,38.0,,,,,,,,,627.2456298258655,Top Starter
David De Gea,Manchester Utd,eng Premier League,GK,30.2,2295,25.5,,,,,,,,,657.6505217928571,Top Starter
Rui Patrício,Wolves,eng Premier League,GK,32.9,3329,37.0,,,,,,,,,649.1193624735462,Top Starter
Alex McCarthy,Southampton,eng Premier League,GK,31.1,2700,30.0,,,,,,,,,667.2826250968172,Top Starter
Vicente Guaita,Crystal Palace,eng Premier League,GK,34.0,3330,37.0,,,,,,,,,600.3059035262538,Top Starter
David Button,West Brom,eng Premier League,GK,31.8,90,1.0,,,,,,,,,,
Mathew Ryan,Arsenal,eng Premier League,GK,28.7,1260,14.0,,,,,,,,,579.5944910717188,Top Starter
Kepa Arrizabalaga,Chelsea,eng Premier League,GK,26.2,585,6.5,,,,,,,,,659.5299069320738,Top Starter
Scott Carson,Manchester City,eng Premier League,GK,35.3,90,1.0,,,,,,,,,,
Zack Steffen,Manchester City,eng Premier League,GK,25.8,90,1.0,,,,,,,,,,
Adrián,Liverpool,eng Premier League,GK,34.0,270,3.0,,,,,,,,,,
Jack Butland,Crystal Palace,eng Premier League,GK,27.8,90,1.0,,,,,,,,,,
Marek Rodák,Fulham,eng Premier League,GK,24.1,180,2.0,,,,,,,,,,
Will Norris,Burnley,eng Premier League,GK,27.4,180,2.0,,,,,,,,,,
Bailey Peacock-Farrell,Burnley,eng Premier League,GK,24.2,360,4.0,,,,,,,,,,
Willy Caballero,Chelsea,eng Premier League,GK,39.3,90,1.0,,,,,,,,,,
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,22.2,3033,33.7,,,,,513.0814605391819,Top Starter,415.27960781650097,Top Starter,,
Antonio Rüdiger,Chelsea,eng Premier League,DF,27.8,1710,19.0,,,,,615.4559683691563,Top Starter,482.8881124417866,Top Starter,,
