Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Nemanja Maksimović,Getafe,es La Liga,MF,26,2936,32.6,,,229.92229038854802,Solid Squad Player,,
Nikola Maksimović,Genoa,it Serie A,DF,29,1115,12.4,,,,,388.3652925079071,Solid Squad Player
Youssef Maleh,Fiorentina,it Serie A,Off_MF,22,1019,11.3,311.34372805169266,Solid Squad Player,,,,
Donyell Malen,Dortmund,de Bundesliga,FW,22,1684,18.7,341.4880719964753,Solid Squad Player,,,,
Ruslan Malinovskyi,Atalanta,it Serie A,FW,28,1592,17.7,479.5979220313362,Top Starter,,,,
Hugo Mallo,Celta Vigo,es La Liga,DF,30,1826,20.3,,,,,321.69158528505164,Solid Squad Player
Mickael Malsa,Levante,es La Liga,MF,25,1143,12.7,,,397.84776902887137,Solid Squad Player,,
Rey Manaj,Spezia,it Serie A,FW,24,1768,19.6,279.46741326916253,Solid Squad Player,,,,
Hianga Mananga Mbock,Brest,fr Ligue 1,MF,21,799,8.9,,,165.52808988764045,Below Big-5 Level,,
Vincent Manceau,Angers,fr Ligue 1,DF,32,2361,26.2,,,,,337.75583998163347,Solid Squad Player
Gianluca Mancini,Roma,it Serie A,DF,25,2878,32.0,,,,,371.735797827903,Solid Squad Player
Reinildo Mandava,Atlético Madrid,es La Liga,DF,27,1298,14.4,,,,,384.2137751786874,Solid Squad Player
Reinildo Mandava,Lille,fr Ligue 1,DF,27,1524,16.9,,,,,399.2905340273761,Solid Squad Player
Aïssa Mandi,Villarreal,es La Liga,DF,29,1375,15.3,,,,,349.31817561332525,Solid Squad Player
Rolando Mandragora,Torino,it Serie A,MF,24,1319,14.7,,,558.8208616780046,Top Starter,,
Sadio Mané,Liverpool,eng Premier League,FW,29,2819,31.3,517.4263992426933,Top Starter,,,,
Eliaquim Mangala,Saint-Étienne,fr Ligue 1,DF,30,1179,13.1,,,,,388.4372508880343,Solid Squad Player
Orel Mangala,Stuttgart,de Bundesliga,MF,23,1853,20.6,,,466.8932038834951,Top Starter,,
Thomas Mangani,Angers,fr Ligue 1,MF,34,2193,24.4,,,448.14207650273227,Top Starter,,
Ricardo Mangas,Bordeaux,fr Ligue 1,DF,23,2353,26.1,,,,,260.1519472662848,Solid Squad Player
Javier Manquillo,Newcastle Utd,eng Premier League,DF,27,1257,14.0,,,,,330.94810619622643,Solid Squad Player
Myziane Maolida,Hertha BSC,de Bundesliga,FW,22,776,8.6,194.4825361669215,Below Big-5 Level,,,,
Sekou Mara,Bordeaux,fr Ligue 1,FW,19,905,10.1,460.9297052154195,Top Starter,,,,
Nikola Maraš,Rayo Vallecano,es La Liga,DF,25,1044,11.6,,,,,410.17313398438625,Top Starter
Fernando Marçal,Wolves,eng Premier League,MF,32,1449,16.1,,,255.52795031055896,Solid Squad Player,,
Marcelo,Real Madrid,es La Liga,DF,33,525,5.8,,,,,230.92328522455563,Solid Squad Player
Marcelo,Bordeaux,fr Ligue 1,DF,34,898,10.0,,,,,365.92347535505434,Solid Squad Player
Solly March,Brighton,eng Premier League,FW,27,1746,19.4,187.42699347780353,Below Big-5 Level,,,,
Riccardo Marchizza,Empoli,it Serie A,DF,23,1346,15.0,,,,,257.2716235032024,Solid Squad Player
Gian Marco Ferrari,Sassuolo,it Serie A,DF,29,3124,34.7,,,,,372.9531321098134,Solid Squad Player
Iván Marcone,Elche,es La Liga,Def_MF,31,809,9.0,,,,,358.52495974235103,Solid Squad Player
Óscar de Marcos,Athletic Club,es La Liga,DF,32,1679,18.7,,,,,332.5014854426619,Solid Squad Player
Pablo Marí,Udinese,it Serie A,DF,27,1341,14.9,,,,,405.2143782274478,Top Starter
José María Giménez,Atlético Madrid,es La Liga,DF,26,2042,22.7,,,,,374.38947789979557,Solid Squad Player
Răzvan Marin,Cagliari,it Serie A,MF,25,2816,31.3,,,567.0500532481364,Top Starter,,
Guillermo Maripán,Monaco,fr Ligue 1,DF,27,1832,20.4,,,,,408.06427834291617,Top Starter
Omar Marmoush,Stuttgart,de Bundesliga,FW,22,1571,17.5,347.6104632329123,Solid Squad Player,,,,
Marquinhos,Paris S-G,fr Ligue 1,DF,27,2861,31.8,,,,,330.30942135212246,Solid Squad Player
