PlayerId,X,Y,GMY,GMZ,Result,xGOT,Minute,Share
580226,10.8,71.4,47.3,4.4,save,0.096,28,0.88
580226,23.1,56.1,48.1,7.6,save,0.064,27,0.88
580226,24.0,55.0,52.2,24.7,save,0.162,25,0.88
580226,7.1,56.4,51.3,17.1,save,0.111,80,0.88
580226,20.3,60.2,54.1,5.1,save,0.532,79,0.88
580226,7.0,46.4,48.7,6.3,goal,0.679,64,0.88
580226,5.0,42.3,53.4,8.9,goal,0.814,58,0.88
580226,9.0,33.8,52.8,7.6,save,0.116,58,0.88
580226,10.0,73.1,51.3,4.4,save,0.075,39,0.88
580226,11.5,50.0,47.3,10.8,save,0.973,39,0.88
580226,4.0,56.8,51.6,15.2,goal,0.305,31,0.88
580226,13.5,36.3,50.3,32.3,save,0.069,81,0.88
580226,14.4,49.0,51.7,1.3,save,0.423,45,0.88
580226,4.7,40.6,52.4,17.7,goal,0.624,42,0.88
580226,15.9,50.9,53.6,7.0,save,0.283,42,0.88
580226,5.5,61.0,53.3,15.8,goal,0.882,26,0.88
580226,11.9,57.1,47.4,0.6,save,0.187,25,0.88
580226,11.5,50.0,48.7,31.0,goal,0.975,90,0.88
580226,3.1,70.9,45.8,13.9,goal,0.108,88,0.88
580226,24.9,58.1,45.8,9.5,save,0.257,81,0.88
580226,14.4,48.9,50.1,27.8,save,0.036,64,0.88
580226,21.6,72.6,51.1,10.1,save,0.033,62,0.88
580226,8.7,47.6,46.0,5.1,goal,0.928,52,0.88
580226,8.3,37.9,50.6,19.0,save,0.03,52,0.88
580226,14.8,48.9,47.6,30.4,save,0.265,45,0.88
580226,11.0,34.7,51.1,4.4,save,0.043,30,0.88
580226,29.8,49.3,51.1,13.9,save,0.028,19,0.88
580226,16.9,40.2,50.0,22.2,save,0.024,15,0.88
580226,18.8,35.8,48.0,7.0,save,0.095,84,0.88
580226,20.2,45.4,53.5,2.5,save,0.296,66,0.88
580226,18.8,49.9,46.8,9.5,save,0.164,61,0.88
580226,16.7,47.2,54.0,2.5,save,0.401,57,0.88
580226,4.7,56.7,46.5,2.5,goal,0.841,47,0.88
580226,9.8,52.6,50.1,24.1,save,0.033,34,0.88
