Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Sergio Romero,Manchester Utd,eng Premier League,GK,29.9,180,2.0,,,,,,,,,,
Joel Pereira,Manchester Utd,eng Premier League,GK,20.5,90,1.0,,,,,,,,,,
Jordan Pickford,Sunderland,eng Premier League,GK,22.8,2610,29.0,,,,,,,,,782.4829997039826,World Class
Lee Grant,Stoke City,eng Premier League,GK,33.9,2520,28.0,,,,,,,,,783.4950447490392,World Class
Tom Heaton,Burnley,eng Premier League,GK,30.7,3150,35.0,,,,,,,,,769.7100451681843,World Class
Hugo Lloris,Tottenham,eng Premier League,GK,30.0,3005,33.4,,,,,,,,,802.7257639338623,World Class
Petr Čech,Arsenal,eng Premier League,GK,34.6,3098,34.4,,,,,,,,,805.2490079932833,World Class
Joel Robles,Everton,eng Premier League,GK,26.5,1736,19.3,,,,,,,,,823.8552639025628,World Class
Kasper Schmeichel,Leicester City,eng Premier League,GK,30.2,2667,29.6,,,,,,,,,812.7250659918133,World Class
Willy Caballero,Manchester City,eng Premier League,GK,35.3,1451,16.1,,,,,,,,,729.3364540205939,Top Starter
Michel Vorm,Tottenham,eng Premier League,GK,33.2,415,4.6,,,,,,,,,,
Jack Butland,Stoke City,eng Premier League,GK,23.8,450,5.0,,,,,,,,,835.6242260885997,World Class
Thibaut Courtois,Chelsea,eng Premier League,GK,24.6,3240,36.0,,,,,,,,,753.099493139319,World Class
Adrián,West Ham,eng Premier League,GK,30.0,1440,16.0,,,,,,,,,801.1050838495921,World Class
Eldin Jakupović,Hull City,eng Premier League,GK,32.2,1980,22.0,,,,,,,,,689.8723045630329,Top Starter
Heurelho Gomes,Watford,eng Premier League,GK,35.9,3339,37.1,,,,,,,,,714.422022275795,Top Starter
Simon Mignolet,Liverpool,eng Premier League,GK,28.8,2520,28.0,,,,,,,,,706.6991412160775,Top Starter
Víctor Valdés,Middlesbrough,eng Premier League,GK,35.0,2520,28.0,,,,,,,,,737.7012569759731,Top Starter
Ryan Allsop,Bournemouth,eng Premier League,GK,24.5,90,1.0,,,,,,,,,,
David De Gea,Manchester Utd,eng Premier League,GK,26.2,3150,35.0,,,,,,,,,707.060154322547,Top Starter
Vito Mannone,Sunderland,eng Premier League,GK,28.8,810,9.0,,,,,,,,,778.3854120646727,World Class
Artur Boruc,Bournemouth,eng Premier League,GK,36.9,3150,35.0,,,,,,,,,702.5305977954279,Top Starter
Wayne Hennessey,Crystal Palace,eng Premier League,GK,29.9,2610,29.0,,,,,,,,,706.8642430204114,Top Starter
Ben Foster,West Brom,eng Premier League,GK,33.7,3420,38.0,,,,,,,,,712.941632082495,Top Starter
Brad Guzan,Middlesbrough,eng Premier League,GK,32.3,900,10.0,,,,,,,,,753.5339633425198,World Class
Adam Federici,Bournemouth,eng Premier League,GK,31.9,180,2.0,,,,,,,,,,
Maarten Stekelenburg,Everton,eng Premier League,GK,34.3,1684,18.7,,,,,,,,,606.8100805587898,Top Starter
Darren Randolph,West Ham,eng Premier League,GK,29.6,1980,22.0,,,,,,,,,671.9951075235643,Top Starter
Łukasz Fabiański,Swansea City,eng Premier League,GK,31.7,3330,37.0,,,,,,,,,738.3177701909457,Top Starter
Fraser Forster,Southampton,eng Premier League,GK,28.8,3420,38.0,,,,,,,,,606.6667556788142,Top Starter
Shay Given,Stoke City,eng Premier League,GK,40.7,450,5.0,,,,,,,,,688.8867109002965,Top Starter
Paul Robinson,Burnley,eng Premier League,GK,37.2,270,3.0,,,,,,,,,,
Claudio Bravo,Manchester City,eng Premier League,GK,33.7,1969,21.9,,,,,,,,,585.7426850378804,Top Starter
Loris Karius,Liverpool,eng Premier League,GK,23.5,900,10.0,,,,,,,,,618.0909710916753,Top Starter
Kristoffer Nordfeldt,Swansea City,eng Premier League,GK,27.5,90,1.0,,,,,,,,,,
Costel Pantilimon,Watford,eng Premier League,GK,29.9,81,0.9,,,,,,,,,,
David Marshall,Hull City,eng Premier League,GK,31.8,1440,16.0,,,,,,,,,636.7599198183258,Top Starter
Ron-Robert Zieler,Leicester City,eng Premier League,GK,27.9,753,8.4,,,,,,,,,518.0062208630501,Top Starter
Emiliano Martínez,Arsenal,eng Premier League,GK,24.3,180,2.0,,,,,,,,,,
Steve Mandanda,Crystal Palace,eng Premier League,GK,31.8,810,9.0,,,,,,,,,541.462190658577,Top Starter
David Ospina,Arsenal,eng Premier League,GK,28.3,142,1.6,,,,,,,,,,
Asmir Begović,Chelsea,eng Premier League,GK,29.5,180,2.0,,,,,,,,,,
Mile Jedinak,Crystal Palace,eng Premier League,Def_MF,32.4,90,1.0,,,,,,,,,,
Virgil van Dijk,Southampton,eng Premier League,DF,25.5,1854,20.6,,,,,665.643831069106,Top Starter,656.1615834168401,Top Starter,,
Nicolás Otamendi,Manchester City,eng Premier League,DF,28.9,2592,28.8,,,,,653.1175320222522,Top Starter,677.9078578595897,Top Starter,,
Jan Vertonghen,Tottenham,eng Premier League,DF,29.7,2897,32.2,,,,,600.9751309666638,Top Starter,554.2946040596704,Top Starter,,
Vincent Kompany,Manchester City,eng Premier League,DF,30.7,823,9.1,,,,,565.4112554367068,Top Starter,493.8117493134248,Top Starter,,
Daley Blind,Manchester Utd,eng Premier League,DF,26.8,1829,20.3,,,,,573.5252839452801,Top Starter,491.55485453389434,Top Starter,,
