PlayerId,X,Y,GMY,GMZ,Result,xGOT,Minute,Share
1131909,23.8,62.2,50.3,1.9,save,0.017,78,1.0
1131909,8.2,44.3,46.6,22.2,goal,0.504,76,1.0
1131909,15.0,46.6,48.1,17.1,save,0.123,58,1.0
1131909,10.7,42.1,51.0,13.9,save,0.224,58,1.0
1131909,21.2,70.5,52.9,1.3,save,0.076,52,1.0
1131909,3.2,51.9,49.0,16.5,save,0.593,10,1.0
138149,4.4,46.9,52.1,29.1,save,0.726,86,1.0
138149,33.0,67.5,51.2,30.4,save,0.053,86,1.0
138149,1.0,49.2,49.1,20.9,goal,0.993,4,1.0
604258,26.2,65.8,51.2,2.5,save,0.021,90,1.0
604258,11.5,43.1,48.2,27.9,goal,0.478,90,1.0
604258,20.8,38.3,46.0,29.8,goal,0.816,90,1.0
604258,7.3,52.8,47.5,28.5,goal,0.367,73,1.0
604258,10.8,49.5,50.0,12.0,save,0.017,71,1.0
604258,9.0,55.5,46.9,11.4,save,0.444,57,1.0
604258,9.5,68.5,46.9,20.9,save,0.154,49,1.0
604258,25.1,32.7,46.9,7.6,save,0.051,49,1.0
369004,19.9,64.9,52.0,20.3,save,0.074,79,1.0
369004,20.8,49.1,50.0,13.3,save,0.014,45,1.0
134029,15.1,41.3,45.8,3.8,goal,0.682,80,1.0
134029,18.8,46.8,48.7,1.9,save,0.068,57,1.0
134029,7.4,46.0,51.1,3.8,goal,0.551,40,1.0
134029,14.2,64.9,51.2,4.4,save,0.069,37,1.0
134029,13.3,34.4,51.5,15.8,save,0.045,25,1.0
134029,3.3,45.8,46.2,26.6,goal,0.859,5,1.0
358910,11.5,50.0,53.6,22.2,goal,0.93,90,1.0
358910,18.1,37.6,50.0,1.3,save,0.05,65,1.0
358910,11.5,50.0,46.8,7.0,goal,0.653,52,1.0
358910,14.1,68.7,46.0,12.7,save,0.168,50,1.0
1014412,20.4,70.9,50.9,8.9,save,0.013,68,1.0
1014412,5.7,66.7,48.7,15.2,save,0.125,60,1.0
1014412,13.0,59.7,50.0,14.6,save,0.041,54,1.0
1014412,14.4,69.5,53.9,24.1,goal,0.807,45,1.0
1014412,21.9,33.6,45.7,3.2,goal,0.187,45,1.0
1014412,16.4,47.2,51.0,10.1,save,0.102,8,1.0
1014412,22.5,51.3,50.8,4.4,save,0.141,5,1.0
556884,11.9,27.4,52.2,5.7,save,0.033,66,1.0
556884,11.3,34.8,47.7,4.4,goal,0.233,21,1.0
556884,29.6,67.7,50.0,28.5,save,0.009,16,1.0
1066603,13.9,72.0,46.8,2.5,save,0.065,58,1.0
1066603,22.8,48.1,47.2,27.2,goal,0.401,34,1.0
1066603,11.5,50.0,45.7,1.3,goal,0.926,21,1.0
