Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Abdul Fatawu Issahaku,229.5527210884354,,,579,6.4
Abdul Majeed Waris,342.85998755364744,,,3496,38.8
Abdul Mumin,,,403.04691076456226,4633,51.4
Abdulai Juma Bah,,,467.4037096995546,2450,27.2
Abdón Prats,303.3940056906045,,,3137,34.8
Abel Bretones,,,315.43868127392153,3408,37.8
Abel Ruiz,252.30671033845638,,,1405,15.6
Ablie Jallow,257.378922283199,,,1047,11.6
Abner,,,319.1902107430208,3907,43.4
Abou Lô,,,450.9003074220465,197,2.2
Abou Ouattara,47.61904761904761,,,9,0.1
Aboubacar Ali,355.06904761904764,,,130,1.4
Aboubaka Soumahoro,,,269.44492544492545,136,1.5
Aboubakar Kamara,250.08008848002268,,,1565,17.4
Aboubakar Sidibé,,,38.095238095238095,6,0.1
Abu Kamara,157.30252525252524,,,196,2.2
Achraf Dari,,,524.309967049693,1438,15.9
Achraf Hakimi,,,289.17760844903194,17064,189.6
Achraf Lazaar,168.27730607966453,,,478,5.3
Adalberto Peñaranda,125.12604142780708,,,802,8.9
Adam Armstrong,226.10402939928144,,,3996,44.4
Adam Aznou,,,315.39656701892187,893,9.899999999999999
Adam Boayar,,320.0,,8,0.1
Adam Bodzek,,,370.03208244630036,3611,40.099999999999994
Adam Buksa,121.36900435445406,,,589,6.5
Adam Daghim,246.69169671511597,,,549,6.1
Adam Dźwigała,,,506.8283341248682,962,10.6
Adam Forshaw,,356.94524602293757,,2009,22.3
Adam Hložek,391.5498770798141,,,3640,40.5
Adam Idah,206.574964124136,,,853,9.4
Adam Karabec,220.98835618903644,,,758,8.4
Adam Kölle,,,274.69616802950134,77,0.9
Adam Lallana,292.743830974834,443.68366117660713,,6184,68.5
Adam Marušić,,,265.29861217861446,20681,229.9
Adam Masina,,,425.8630695254812,10763,119.6
Adam Obert,,,438.95042778477165,3404,37.9
Adam Ounas,329.39370497512965,,,5087,56.5
Adam Smith,,,306.8820742278799,13352,148.4
Adam Webster,,,415.42277145593647,10712,119.0
Adam Wharton,,541.1759789333395,,3821,42.4
Adam Zreľák,246.6434690278227,,,941,10.5
