Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,26.0,2184,24.3,,,,,644.0135041631748,Top Starter,644.0135041631748,519.6,Top Starter
Rolando Aarons,Newcastle Utd,eng Premier League,Off_MF,21.0,139,1.5,,,,,,,,,Below Big-5 Level
Rolando Aarons,Hellas Verona,it Serie A,Off_MF,21.0,517,5.7,104.46211343794336,Below Big-5 Level,,,,,104.46211343794336,4.7,Below Big-5 Level
Ignazio Abate,Milan,it Serie A,DF,30.0,1057,11.7,,,,,632.7775796157106,Top Starter,632.7775796157106,403.2,Top Starter
Aymen Abdennour,Marseille,fr Ligue 1,DF,27.0,499,5.5,,,,,436.1745863543619,Top Starter,436.1745863543619,20.3,Below Big-5 Level
Aly Abeid,Levante,es La Liga,DF,19.0,77,0.9,,,,,,,,,Below Big-5 Level
Mehdi Abeid,Dijon,fr Ligue 1,MF,24.0,1176,13.1,,,373.7714729707734,Solid Squad Player,,,373.7714729707734,229.1,Solid Squad Player
David Abraham,Eint Frankfurt,de Bundesliga,DF,31.0,2302,25.6,,,,,701.8538739812764,Top Starter,701.8538739812764,676.6,Top Starter
Tammy Abraham,Swansea City,eng Premier League,FW,19.0,1726,19.2,356.74773605307666,Solid Squad Player,,,,,356.74773605307666,386.8,Solid Squad Player
Amir Abrashi,Freiburg,de Bundesliga,MF,27.0,850,9.4,,,330.50872999921154,Solid Squad Player,,,330.50872999921154,143.2,Below Big-5 Level
Francesco Acerbi,Sassuolo,it Serie A,DF,29.0,3420,38.0,,,,,699.7814944583482,Top Starter,699.7814944583482,672.5,Top Starter
Afriyie Acquah,Torino,it Serie A,MF,25.0,951,10.6,,,405.3419622351803,Top Starter,,,405.3419622351803,343.7,Solid Squad Player
Charlie Adam,Stoke City,eng Premier League,MF,31.0,411,4.6,,,,,,,,,Below Big-5 Level
Aday,Girona,es La Liga,DF,29.0,1835,20.4,,,,,459.76414336102926,Top Starter,459.76414336102926,47.4,Below Big-5 Level
Khaled Adénon,Amiens,fr Ligue 1,DF,32.0,2921,32.5,,,,,675.9266050208845,Top Starter,675.9266050208845,457.4,Top Starter
Claud Adjapong,Sassuolo,it Serie A,DF,19.0,1220,13.6,,,,,704.5611662017737,Top Starter,704.5611662017737,688.8,Top Starter
Yacine Adli,Paris S-G,fr Ligue 1,FW,17.0,8,0.1,,,,,,,,,Below Big-5 Level
Ali Adnan Kadhim,Udinese,it Serie A,DF,23.0,1674,18.6,,,,,818.1504824173002,World Class,818.1504824173002,952.6,Exceptional
Aritz Aduriz,Athletic Club,es La Liga,FW,36.0,2152,23.9,334.4190353303402,Solid Squad Player,,,,,334.4190353303402,345.1,Solid Squad Player
Ibrahim Afellay,Stoke City,eng Premier League,MF,31.0,166,1.8,,,,,,,,,Below Big-5 Level
Benik Afobe,Bournemouth,eng Premier League,FW,24.0,611,6.8,121.93299779804973,Below Big-5 Level,,,,,121.93299779804973,19.8,Below Big-5 Level
Martin Agirregabiria,Alavés,es La Liga,DF,21.0,1828,20.3,,,,,655.719396235831,Top Starter,655.719396235831,558.9,Top Starter
Imanol Agirretxe,Real Sociedad,es La Liga,FW,30.0,232,2.6,,,,,,,,,Below Big-5 Level
Sergio Agüero,Manchester City,eng Premier League,FW,29.0,1963,21.8,883.1676896209518,World Class,,,,,883.1676896209518,991.2,Exceptional
Ruben Aguilar,Montpellier,fr Ligue 1,DF,24.0,2459,27.3,,,,,672.9200315608642,Top Starter,672.9200315608642,446.5,Top Starter
Matías Aguirregaray,Las Palmas,es La Liga,DF,28.0,1153,12.8,,,,,673.5502200161359,Top Starter,673.5502200161359,653.6,Top Starter
Jean-Eudes Aholou,Strasbourg,fr Ligue 1,MF,23.0,3006,33.4,,,335.52709701149666,Solid Squad Player,,,335.52709701149666,131.3,Below Big-5 Level
Ailton,Stuttgart,de Bundesliga,DF,22.0,108,1.2,,,,,,,,,Below Big-5 Level
Youssef Aït Bennasser,Caen,fr Ligue 1,MF,21.0,2047,22.7,,,389.5617539950678,Solid Squad Player,,,389.5617539950678,260.1,Solid Squad Player
Arlind Ajeti,Crotone,it Serie A,DF,23.0,1271,14.1,,,,,812.9484447051782,World Class,812.9484447051782,947.2,Exceptional
Manuel Akanji,Dortmund,de Bundesliga,DF,22.0,904,10.0,,,,,613.3960203774449,Top Starter,613.3960203774449,335.6,Solid Squad Player
Nathan Aké,Bournemouth,eng Premier League,DF,22.0,3353,37.3,,,,,637.7143034752456,Top Starter,637.7143034752456,492.6,Top Starter
Ager Aketxe,Athletic Club,es La Liga,Off_MF,23.0,37,0.4,,,,,,,,,Below Big-5 Level
Chadrac Akolo,Stuttgart,de Bundesliga,Off_MF,22.0,1102,12.2,528.3733233754192,Top Starter,,,,,528.3733233754192,651.2,Top Starter
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,22.0,1690,18.8,,,,,688.5363829392451,Top Starter,688.5363829392451,623.8,Top Starter
David Alaba,Bayern Munich,de Bundesliga,DF,25.0,1551,17.2,,,,,454.0453010061102,Top Starter,454.0453010061102,32.5,Below Big-5 Level
Lucas Alario,Leverkusen,de Bundesliga,FW,24.0,1550,17.2,624.6927856744978,Top Starter,,,,,624.6927856744978,854.9,World Class
David Alba,Getafe,es La Liga,DF,18.0,61,0.7,,,,,,,,,Below Big-5 Level
Jordi Alba,Barcelona,es La Liga,DF,28.0,2744,30.5,,,,,671.90277209882,Top Starter,671.90277209882,642.8,Top Starter
Raúl Albentosa,La Coruña,es La Liga,DF,28.0,1748,19.4,,,,,513.7567073585942,Top Starter,513.7567073585942,116.4,Below Big-5 Level
Luis Alberto,Lazio,it Serie A,FW,24.0,2669,29.7,659.740764286219,Top Starter,,,,,659.740764286219,894.5,World Class
Raúl Albiol,Napoli,it Serie A,DF,31.0,2742,30.5,,,,,521.9591661065846,Top Starter,521.9591661065846,102.8,Below Big-5 Level
Miiko Albornoz,Hannover 96,de Bundesliga,DF,26.0,703,7.8,,,,,665.1890687426061,Top Starter,665.1890687426061,525.0,Top Starter
Marc Albrighton,Leicester City,eng Premier League,Off_MF,27.0,2538,28.2,428.70163172268684,Top Starter,,,,,428.70163172268684,469.8,Top Starter
Paco Alcácer,Barcelona,es La Liga,Off_MF,23.0,695,7.7,816.6925878596361,World Class,,,,,816.6925878596361,962.8,Exceptional
Pedro Alcalá,Girona,es La Liga,DF,28.0,689,7.7,,,,,605.6583362455335,Top Starter,605.6583362455335,366.7,Solid Squad Player
Thiago Alcántara,Bayern Munich,de Bundesliga,MF,26.0,1247,13.9,,,854.0913762496496,World Class,,,854.0913762496496,983.3,Exceptional
David Alcibiade,Nantes,fr Ligue 1,DF,25.0,208,2.3,,,,,,,,,Below Big-5 Level
