Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Ritsu Doan,Freiburg,de Bundesliga,"FW,MF",2024-2025,31.8,1.761,71.8,2.013,5.597,0.377,0.314,0.22,0.208,0.116,,,0.849,1.321,0.44,1.792,1.478,4.182,26.006
Dodô,Fiorentina,it Serie A,DF,2024-2025,34.6,1.503,77.6,4.133,5.578,0.058,0.0,0.145,0.04,0.121,,,1.04,0.867,1.012,0.636,1.676,5.289,36.936
Danilho Doekhi,Union Berlin,de Bundesliga,DF,2024-2025,34.0,0.088,78.3,0.382,0.412,0.029,0.029,0.029,0.076,0.041,,,0.382,0.706,1.294,1.029,4.971,2.853,25.971
Matt Doherty,Wolves,eng Premier League,DF,2024-2025,23.4,0.47,82.8,1.239,1.752,0.085,0.085,0.043,0.043,0.064,,,0.513,0.897,0.94,1.197,4.359,4.53,35.256
Jeremy Doku,Manchester City,eng Premier League,"FW,MF",2024-2025,16.8,6.369,79.1,12.679,17.024,0.476,0.179,0.357,0.077,0.286,,,1.905,1.31,0.238,0.655,0.119,3.75,47.381
Marc Domenech,Mallorca,es La Liga,"FW,MF",2024-2025,3.4,0.294,69.4,0.294,6.176,0.0,0.0,0.0,0.206,0.059,,,1.471,1.176,0.0,0.588,0.588,2.353,12.353
Benjamín Domínguez,Bologna,it Serie A,FW,2024-2025,14.2,1.972,78.2,3.521,8.662,0.141,0.211,0.141,0.155,0.056,,,0.704,0.493,0.282,1.056,0.493,4.366,27.887
Carlos Dominguez,Celta Vigo,es La Liga,DF,2024-2025,13.1,0.153,88.5,1.145,0.305,0.0,0.0,0.0,0.015,0.008,,,0.153,0.84,0.992,1.221,6.107,3.435,52.137
Nicolás Domínguez,Nott'ham Forest,eng Premier League,"MF,FW",2024-2025,21.8,0.138,86.7,0.734,1.514,0.321,0.0,0.046,0.069,0.06,,,0.596,2.064,1.33,1.743,2.477,5.229,21.606
Sergi Dominguez,Barcelona,es La Liga,DF,2024-2025,1.9,0.0,95.0,0.0,0.526,0.0,0.0,0.0,0.0,0.0,,,0.0,0.526,1.579,0.0,3.684,4.211,66.842
Patrick Dorgu,Manchester Utd,eng Premier League,DF,2024-2025,9.4,0.319,81.0,4.362,8.83,0.0,0.0,0.0,0.043,0.074,,,1.277,2.553,0.426,1.17,2.447,3.936,37.66
Patrick Dorgu,Lecce,it Serie A,"DF,FW",2024-2025,20.4,0.637,77.5,3.333,5.735,0.147,0.147,0.049,0.162,0.074,,,0.931,1.324,0.882,1.176,2.059,4.853,27.304
Niklas Dorsch,Heidenheim,de Bundesliga,MF,2024-2025,14.8,0.473,83.4,0.878,1.419,0.0,0.135,0.135,0.068,0.074,,,0.878,1.081,1.149,0.946,1.149,5.0,31.014
Alberto Dossena,Como,it Serie A,DF,2024-2025,20.3,0.197,87.6,0.197,0.049,0.0,0.0,0.099,0.039,0.034,,,0.246,0.985,1.084,1.084,4.384,3.35,34.138
Abdoulaye Doucouré,Everton,eng Premier League,MF,2024-2025,28.5,0.842,80.3,1.474,3.368,0.0,0.105,0.07,0.144,0.084,,,0.982,0.982,0.351,1.088,0.702,5.263,21.193
Cheick Doucouré,Crystal Palace,eng Premier League,MF,2024-2025,5.0,0.4,85.3,0.4,1.4,0.0,0.0,0.0,0.08,0.0,,,0.2,1.6,2.2,0.8,2.0,6.2,26.6
Désiré Doué,Paris S-G,fr Ligue 1,"FW,MF",2024-2025,19.2,2.969,82.3,5.052,12.083,0.417,0.312,0.312,0.266,0.406,,,2.865,1.562,0.677,1.354,0.365,4.844,46.823
Guela Doué,Strasbourg,fr Ligue 1,DF,2024-2025,30.2,0.894,83.4,1.689,1.788,0.033,0.033,0.066,0.026,0.023,,,0.364,1.49,1.126,1.258,5.099,5.364,39.205
Douglas,Nantes,fr Ligue 1,MF,2024-2025,25.6,0.469,86.5,0.547,1.328,0.078,0.156,0.078,0.133,0.059,,,0.586,1.641,1.25,1.992,1.836,4.336,27.93
Ismaël Doukouré,Strasbourg,fr Ligue 1,"DF,MF",2024-2025,29.3,0.444,88.7,0.683,0.307,0.068,0.034,0.034,0.02,0.038,,,0.375,0.751,0.853,1.058,3.481,3.515,39.215
Issa Doumbia,Venezia,it Serie A,MF,2024-2025,10.4,1.058,74.9,1.154,2.788,0.0,0.0,0.0,0.096,0.01,,,0.288,0.769,0.865,1.635,1.346,4.327,21.058
Kamory Doumbia,Brest,fr Ligue 1,"MF,FW",2024-2025,14.7,1.293,80.5,1.156,3.673,0.476,0.204,0.136,0.184,0.082,,,1.769,1.973,1.905,1.156,0.884,5.918,31.769
Amidou Doumbouya,Nice,fr Ligue 1,DF,2024-2025,0.5,2.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,6.0,2.0,12.0,34.0
Anastasios Douvikas,Como,it Serie A,FW,2024-2025,6.4,0.781,76.4,1.25,5.625,0.156,0.312,0.312,0.391,0.172,,,1.406,0.312,0.156,0.469,0.469,1.719,17.656
Anastasios Douvikas,Celta Vigo,es La Liga,FW,2024-2025,7.8,0.513,71.0,0.769,5.513,0.0,0.385,0.128,0.564,0.026,,,0.385,0.513,0.385,0.641,0.769,1.923,15.385
Artem Dovbyk,Roma,it Serie A,FW,2024-2025,26.9,0.26,74.1,0.892,6.506,0.074,0.446,0.074,0.442,0.089,,,0.929,0.074,0.074,0.372,0.446,0.967,13.197
Flynn Downes,Southampton,eng Premier League,MF,2024-2025,23.9,0.335,90.4,1.213,1.213,0.293,0.042,0.0,0.025,0.046,,,0.628,1.046,1.339,1.172,2.134,3.473,26.82
Tommy Doyle,Wolves,eng Premier League,MF,2024-2025,5.4,0.926,81.9,1.111,0.741,0.0,0.0,0.185,0.111,0.093,,,1.296,1.111,0.926,2.037,2.037,7.963,48.148
