Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,2017-2018,24.3,1.07,75.2,1.893,3.539,0.123,0.206,0.041,0.128,0.086,0.453,1.893,0.741,1.317,1.934,0.988,2.634,6.667,29.506
Rolando Aarons,Newcastle Utd,eng Premier League,"MF,FW",2017-2018,1.5,2.667,65.9,4.667,2.667,0.0,0.0,0.0,0.067,0.0,0.0,0.667,0.0,2.667,0.667,2.0,0.0,6.0,24.667
Rolando Aarons,Hellas Verona,it Serie A,"MF,FW",2017-2018,5.7,1.404,72.5,1.579,5.439,0.0,0.0,0.0,0.035,0.035,0.0,0.877,0.526,1.404,0.351,0.526,0.0,3.333,18.421
Ignazio Abate,Milan,it Serie A,DF,2017-2018,11.7,0.0,80.5,1.709,5.556,0.0,0.085,0.0,0.017,0.043,0.171,2.308,0.855,1.453,0.684,1.88,2.479,4.786,32.991
Aymen Abdennour,Marseille,fr Ligue 1,DF,2017-2018,5.5,0.182,93.1,0.364,0.0,0.0,0.0,0.0,0.018,0.0,0.182,0.364,0.0,0.545,0.727,0.909,3.636,5.818,53.818
Aly Abeid,Levante,es La Liga,DF,2017-2018,0.9,1.111,76.3,2.222,3.333,0.0,0.0,0.0,0.0,0.111,0.0,2.222,1.111,1.111,3.333,1.111,3.333,5.556,18.889
Mehdi Abeid,Dijon,fr Ligue 1,MF,2017-2018,13.1,1.069,84.8,1.527,1.069,0.0,0.0,0.076,0.076,0.023,0.458,1.45,0.534,1.145,1.374,0.84,1.908,7.099,38.397
David Abraham,Eint Frankfurt,de Bundesliga,DF,2017-2018,25.6,0.312,82.4,0.664,0.273,0.0,0.0,0.078,0.016,0.027,0.039,0.781,0.273,1.25,1.562,1.133,5.508,4.414,32.188
Tammy Abraham,Swansea City,eng Premier League,FW,2017-2018,19.2,1.406,65.6,0.99,5.417,0.104,0.26,0.052,0.354,0.083,0.677,2.188,0.625,0.417,0.052,0.417,0.573,2.135,15.885
Amir Abrashi,Freiburg,de Bundesliga,MF,2017-2018,9.4,0.426,77.3,0.851,1.915,0.0,0.0,0.0,0.021,0.043,0.0,1.489,0.319,3.404,2.021,2.34,2.128,5.851,17.979
Francesco Acerbi,Sassuolo,it Serie A,DF,2017-2018,38.0,0.447,84.3,0.921,0.368,0.053,0.0,0.0,0.026,0.018,0.053,0.789,0.263,0.842,2.316,1.105,6.711,6.842,24.158
Afriyie Acquah,Torino,it Serie A,MF,2017-2018,10.6,1.509,84.7,2.264,2.264,0.0,0.094,0.0,0.038,0.057,0.283,1.604,0.566,0.566,1.509,0.755,0.943,6.415,36.981
Charlie Adam,Stoke City,eng Premier League,MF,2017-2018,4.6,2.609,58.9,1.304,1.957,0.652,0.0,0.0,0.348,0.261,0.435,3.696,1.304,1.087,1.957,0.435,2.391,8.696,44.783
Aday,Girona,es La Liga,DF,2017-2018,20.4,1.324,70.5,4.02,7.647,0.049,0.098,0.0,0.137,0.078,0.588,2.745,0.98,0.735,1.225,0.931,2.549,4.755,32.255
Khaled Adénon,Amiens,fr Ligue 1,DF,2017-2018,32.5,0.123,83.0,0.185,0.031,0.031,0.0,0.031,0.018,0.006,0.031,0.462,0.062,0.738,2.0,1.292,6.8,6.0,21.446
Claud Adjapong,Sassuolo,it Serie A,"DF,FW",2017-2018,13.6,0.662,71.3,2.279,3.971,0.221,0.0,0.0,0.059,0.081,0.294,1.838,0.809,1.912,1.691,1.176,2.721,5.882,25.294
Ali Adnan Kadhim,Udinese,it Serie A,"DF,FW",2017-2018,18.6,1.344,66.3,1.344,3.011,0.0,0.0,0.054,0.027,0.091,0.161,2.043,1.075,1.882,2.204,1.667,4.839,5.054,25.376
Aritz Aduriz,Athletic Club,es La Liga,FW,2017-2018,23.9,0.795,65.1,1.13,6.276,0.084,0.377,0.042,0.464,0.063,0.962,1.464,0.46,0.335,0.126,0.251,0.753,1.883,17.197
Ibrahim Afellay,Stoke City,eng Premier League,MF,2017-2018,1.8,0.556,87.8,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.556,0.556,0.556,8.333,33.889
Benik Afobe,Bournemouth,eng Premier League,FW,2017-2018,6.8,1.029,73.4,1.765,5.441,0.0,0.0,0.0,0.235,0.015,0.441,1.618,0.294,0.441,0.0,0.588,0.882,2.5,20.294
Martin Agirregabiria,Alavés,es La Liga,DF,2017-2018,20.3,0.788,71.7,1.182,2.66,0.099,0.0,0.197,0.005,0.074,0.049,1.232,0.64,1.626,2.02,0.64,3.251,5.911,23.448
Imanol Agirretxe,Real Sociedad,es La Liga,FW,2017-2018,2.6,1.154,63.3,0.385,3.077,0.385,0.0,0.0,0.462,0.0,0.769,0.769,0.0,0.0,0.0,0.0,0.769,2.308,17.692
Sergio Agüero,Manchester City,eng Premier League,FW,2017-2018,21.8,2.569,81.4,4.083,9.817,0.183,0.963,0.275,0.743,0.257,1.743,3.67,1.835,0.275,0.275,0.55,0.138,2.706,27.982
Ruben Aguilar,Montpellier,fr Ligue 1,DF,2017-2018,27.3,1.099,76.8,3.553,5.861,0.073,0.0,0.073,0.026,0.136,0.147,2.637,1.319,1.832,1.355,0.916,3.297,6.374,31.319
Matías Aguirregaray,Las Palmas,es La Liga,DF,2017-2018,12.8,1.094,74.4,1.797,3.828,0.156,0.0,0.0,0.047,0.047,0.0,1.484,0.391,1.562,1.875,1.016,1.953,6.797,35.938
Jean-Eudes Aholou,Strasbourg,fr Ligue 1,MF,2017-2018,33.4,1.168,85.5,0.958,0.659,0.12,0.15,0.0,0.066,0.03,0.21,1.257,0.389,1.018,2.246,0.868,1.737,7.814,25.749
Ailton,Stuttgart,de Bundesliga,"DF,MF",2017-2018,1.2,2.5,69.2,1.667,2.5,0.0,0.0,0.0,0.0,0.083,0.0,1.667,1.667,4.167,1.667,4.167,4.167,7.5,30.0
Youssef Aït Bennasser,Caen,fr Ligue 1,MF,2017-2018,22.7,1.894,82.5,1.63,1.189,0.22,0.0,0.0,0.031,0.031,0.132,2.335,0.529,1.233,1.41,1.542,1.322,9.119,29.648
Arlind Ajeti,Crotone,it Serie A,DF,2017-2018,14.1,0.355,77.9,0.142,0.0,0.0,0.0,0.071,0.064,0.071,0.0,0.993,0.284,1.631,2.411,1.915,5.816,5.319,16.738
Manuel Akanji,Dortmund,de Bundesliga,DF,2017-2018,10.0,0.4,85.3,1.5,0.7,0.0,0.0,0.0,0.02,0.01,0.2,0.7,0.1,1.5,0.7,1.1,4.3,3.5,38.9
Nathan Aké,Bournemouth,eng Premier League,DF,2017-2018,37.3,0.268,83.5,0.375,0.268,0.0,0.054,0.08,0.038,0.051,0.214,0.536,0.241,0.858,1.287,1.26,6.595,4.772,25.362
Chadrac Akolo,Stuttgart,de Bundesliga,"MF,FW",2017-2018,12.2,1.311,74.8,2.213,6.148,0.328,0.41,0.0,0.385,0.082,1.23,3.033,1.148,1.148,0.41,1.557,0.41,3.525,21.885
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,2017-2018,18.8,0.532,85.8,1.223,0.426,0.053,0.0,0.053,0.011,0.074,0.106,0.798,0.372,2.074,1.17,0.957,3.191,4.84,34.415
David Alaba,Bayern Munich,de Bundesliga,DF,2017-2018,17.2,0.698,84.2,3.081,10.349,0.0,0.116,0.116,0.076,0.134,0.407,3.081,1.279,0.814,0.581,1.221,1.337,4.942,51.512
Lucas Alario,Leverkusen,de Bundesliga,FW,2017-2018,17.2,1.279,73.9,0.93,6.453,0.0,0.523,0.233,0.61,0.105,1.163,2.326,0.814,0.581,0.233,0.988,0.93,2.209,22.965
David Alba,Getafe,es La Liga,DF,2017-2018,0.7,0.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429,0.0,0.0,10.0,4.286,7.143
Jordi Alba,Barcelona,es La Liga,DF,2017-2018,30.5,0.754,85.8,1.902,10.295,0.066,0.066,0.262,0.069,0.2,0.164,2.098,1.246,1.377,2.23,1.115,2.197,6.197,50.0
Raúl Albentosa,La Coruña,es La Liga,DF,2017-2018,19.4,0.103,78.3,0.052,0.258,0.052,0.052,0.0,0.077,0.01,0.103,0.309,0.155,0.309,1.34,1.34,4.742,3.763,20.361
Luis Alberto,Lazio,it Serie A,"FW,MF",2017-2018,29.7,1.987,73.3,4.242,6.027,1.279,0.37,0.471,0.242,0.397,0.774,6.162,2.997,0.943,0.539,1.01,0.236,4.882,49.192
Raúl Albiol,Napoli,it Serie A,DF,2017-2018,30.5,0.066,89.3,0.885,0.131,0.0,0.098,0.033,0.046,0.043,0.23,0.787,0.23,0.623,1.049,0.59,4.23,7.082,60.262
Miiko Albornoz,Hannover 96,de Bundesliga,"DF,MF",2017-2018,7.8,1.154,76.8,1.282,2.436,0.0,0.0,0.0,0.026,0.179,0.128,2.564,1.026,2.564,0.641,1.923,2.949,3.974,26.538
Marc Albrighton,Leicester City,eng Premier League,"MF,FW",2017-2018,28.2,1.844,59.4,2.27,5.745,0.39,0.071,0.248,0.057,0.202,0.213,2.801,1.631,1.17,0.957,1.135,1.206,6.099,30.0
Paco Alcácer,Barcelona,es La Liga,"MF,FW",2017-2018,7.7,0.39,80.3,0.779,5.455,0.39,0.519,0.39,0.506,0.273,0.909,1.948,1.299,0.39,1.429,0.649,0.39,3.636,22.987
Pedro Alcalá,Girona,es La Liga,DF,2017-2018,7.7,0.649,70.5,0.39,0.0,0.0,0.13,0.0,0.13,0.026,0.39,0.779,0.13,0.649,1.818,0.909,5.325,3.377,22.857
Thiago Alcántara,Bayern Munich,de Bundesliga,"MF,FW",2017-2018,13.9,1.727,90.6,2.158,5.755,0.072,0.144,0.144,0.18,0.137,0.504,4.317,2.086,2.518,1.942,1.583,0.432,5.54,58.633
David Alcibiade,Nantes,fr Ligue 1,DF,2017-2018,2.3,0.0,74.2,0.87,0.87,0.435,0.0,0.435,0.043,0.174,0.0,1.304,0.87,2.174,3.043,2.174,3.478,4.348,19.565
Toby Alderweireld,Tottenham,eng Premier League,DF,2017-2018,13.1,0.458,85.2,0.916,0.382,0.076,0.0,0.0,0.031,0.008,0.076,1.527,0.229,0.992,0.305,0.84,4.198,4.351,46.641
Steve Aldo One,La Coruña,es La Liga,DF,2017-2018,1.0,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,17.0
Álex Alegría,Levante,es La Liga,FW,2017-2018,7.0,0.143,67.7,0.286,4.143,0.143,0.0,0.0,0.157,0.029,0.286,1.571,0.429,0.714,0.571,1.0,1.286,2.286,22.571
Iván Alejo,Eibar,es La Liga,"MF,FW",2017-2018,12.2,2.705,53.5,5.82,10.246,0.082,0.082,0.246,0.041,0.172,0.246,2.541,1.393,1.311,0.41,0.738,0.082,5.492,29.426
Alexander,Leganés,es La Liga,"MF,FW",2017-2018,11.8,0.593,68.4,1.441,6.102,0.0,0.169,0.169,0.186,0.212,0.424,2.966,1.61,0.932,1.864,0.932,0.339,4.746,25.0
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,2017-2018,17.5,1.143,73.6,2.229,7.2,0.171,0.057,0.057,0.057,0.149,0.286,2.4,1.429,1.429,1.6,1.143,2.629,7.6,42.457
Alexis,Alavés,es La Liga,DF,2017-2018,24.3,0.247,73.2,0.206,0.453,0.0,0.041,0.0,0.049,0.012,0.123,0.617,0.206,0.988,1.235,1.152,4.691,4.609,14.815
Allan,Napoli,it Serie A,MF,2017-2018,31.7,2.492,86.1,2.618,4.259,0.221,0.126,0.158,0.12,0.114,0.379,3.218,1.073,2.145,0.883,1.64,0.505,7.697,46.309
Joe Allen,Stoke City,eng Premier League,MF,2017-2018,34.9,1.261,79.4,1.06,2.55,0.086,0.057,0.172,0.052,0.08,0.115,2.12,0.888,1.777,1.662,1.232,1.948,6.991,27.221
Dele Alli,Tottenham,eng Premier League,"MF,FW",2017-2018,32.9,1.337,76.1,3.04,10.912,0.456,0.274,0.304,0.277,0.249,0.517,4.043,1.915,0.912,0.578,1.003,0.669,5.502,33.343
Júnior Alonso,Lille,fr Ligue 1,DF,2017-2018,30.9,0.485,80.8,0.615,0.453,0.065,0.065,0.032,0.036,0.016,0.129,0.874,0.356,1.003,1.812,0.841,4.951,7.087,39.579
Marcos Alonso,Chelsea,eng Premier League,"DF,MF",2017-2018,31.7,0.536,77.5,2.461,8.233,0.0,0.221,0.063,0.129,0.088,0.694,2.555,1.073,1.041,1.483,1.136,2.397,6.088,33.817
Ricky Álvarez,Sampdoria,it Serie A,MF,2017-2018,3.0,1.0,74.9,2.333,10.0,0.0,0.333,0.333,0.133,0.167,1.0,4.0,2.0,0.667,0.667,1.667,1.0,5.0,38.0
Yeray Álvarez,Athletic Club,es La Liga,DF,2017-2018,7.5,0.533,82.3,1.333,0.133,0.0,0.0,0.0,0.013,0.013,0.0,1.467,0.267,0.933,1.467,1.067,2.4,8.8,40.667
Dani Alves,Paris S-G,fr Ligue 1,DF,2017-2018,22.9,1.223,85.5,3.319,6.288,0.786,0.044,0.306,0.061,0.218,0.218,3.668,2.052,2.489,1.223,1.048,0.917,6.987,61.747
Ibrahim Amadou,Lille,fr Ligue 1,"MF,DF",2017-2018,26.7,0.412,87.2,0.674,0.712,0.037,0.0,0.0,0.034,0.015,0.075,1.011,0.375,1.086,1.536,1.124,2.622,6.629,38.727
Morgan Amalfitano,Rennes,fr Ligue 1,"MF,FW",2017-2018,8.3,1.084,79.8,1.928,4.096,0.361,0.0,0.0,0.12,0.06,0.361,2.169,0.723,0.602,0.482,0.723,0.843,4.699,22.289
Romain Amalfitano,Dijon,fr Ligue 1,MF,2017-2018,30.0,1.567,81.3,1.667,1.533,0.267,0.0,0.1,0.01,0.06,0.0,1.767,0.767,1.233,2.833,0.967,1.167,7.6,38.0
Daniel Amartey,Leicester City,eng Premier League,DF,2017-2018,5.4,0.741,77.1,0.926,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.741,1.296,1.296,3.889,5.556,29.074
Jordi Amat,Betis,es La Liga,"DF,MF",2017-2018,22.7,0.793,89.7,0.573,0.22,0.0,0.0,0.0,0.018,0.004,0.044,0.793,0.22,1.013,1.674,0.617,3.392,4.934,56.74
Amath,Getafe,es La Liga,"MF,FW",2017-2018,31.8,1.352,65.4,2.075,4.969,0.094,0.094,0.094,0.138,0.085,0.409,1.918,0.723,1.667,1.038,1.132,0.629,5.755,19.78
Jordan Amavi,Marseille,fr Ligue 1,DF,2017-2018,24.4,1.803,80.4,2.869,3.402,0.082,0.0,0.205,0.025,0.082,0.205,2.172,0.861,1.434,1.844,1.148,3.525,6.967,41.926
Stephan Ambrosius,Hamburger SV,de Bundesliga,DF,2017-2018,0.5,0.0,91.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,6.0,52.0
Kelvin Amian,Toulouse,fr Ligue 1,DF,2017-2018,35.0,0.543,77.7,1.171,2.371,0.029,0.029,0.029,0.04,0.031,0.171,0.943,0.314,1.229,1.286,0.714,3.629,4.429,21.486
Nadiem Amiri,Hoffenheim,de Bundesliga,MF,2017-2018,19.4,1.134,77.3,2.629,5.979,0.103,0.103,0.155,0.149,0.175,0.825,3.814,1.546,1.34,0.876,1.701,0.361,5.464,34.33
Nordin Amrabat,Watford,eng Premier League,FW,2017-2018,2.2,0.909,56.4,1.364,10.0,0.0,0.0,0.0,0.045,0.045,0.0,2.273,1.364,1.364,0.0,0.455,0.909,3.636,27.727
Nordin Amrabat,Leganés,es La Liga,"FW,MF",2017-2018,18.0,2.222,61.5,4.833,8.111,0.278,0.111,0.222,0.206,0.178,0.944,2.944,1.278,0.556,0.278,0.722,0.111,4.222,31.278
Joachim Andersen,Sampdoria,it Serie A,DF,2017-2018,6.1,0.0,87.5,1.148,0.164,0.0,0.0,0.0,0.016,0.0,0.0,0.492,0.0,0.492,1.475,0.984,6.721,5.41,40.984
Felipe Anderson,Lazio,it Serie A,"FW,MF",2017-2018,12.9,5.969,72.0,7.597,10.853,0.465,0.31,0.465,0.217,0.333,0.775,6.512,2.946,1.628,0.853,1.318,0.62,5.581,47.287
Florin Andone,La Coruña,es La Liga,FW,2017-2018,18.2,0.934,61.0,2.253,7.912,0.0,0.385,0.165,0.626,0.049,1.099,1.264,0.495,0.385,0.165,0.495,0.659,2.747,17.582
Benjamin André,Rennes,fr Ligue 1,MF,2017-2018,33.5,1.045,78.0,1.433,3.493,0.299,0.09,0.09,0.128,0.057,0.239,2.299,1.015,1.612,1.701,1.672,2.866,7.731,31.552
Marco Andreolli,Cagliari,it Serie A,DF,2017-2018,20.3,0.049,80.4,0.542,0.099,0.0,0.0,0.0,0.01,0.0,0.049,0.296,0.099,0.837,1.478,1.182,6.847,2.857,23.448
Yoann Andreu,Angers,fr Ligue 1,DF,2017-2018,23.0,0.565,77.8,1.609,3.217,0.0,0.043,0.087,0.004,0.083,0.087,1.652,0.609,1.304,1.609,1.0,3.261,6.304,32.739
Miguel Ángel Guerrero,Leganés,es La Liga,FW,2017-2018,16.0,0.562,75.7,1.0,5.438,0.062,0.25,0.188,0.356,0.094,0.625,1.875,0.875,0.312,0.562,0.688,1.0,2.312,18.625
José Ángel,Eibar,es La Liga,DF,2017-2018,27.0,1.0,61.0,1.63,3.296,0.0,0.0,0.296,0.019,0.152,0.0,2.815,1.667,1.63,1.407,1.148,2.815,6.926,31.148
Gabriele Angella,Udinese,it Serie A,DF,2017-2018,9.9,0.101,81.7,0.202,0.707,0.0,0.0,0.0,0.03,0.0,0.101,1.111,0.202,1.313,2.121,1.111,6.667,5.657,29.899
Cristian Ansaldi,Torino,it Serie A,DF,2017-2018,20.8,2.26,71.0,3.75,4.231,0.0,0.048,0.144,0.034,0.173,0.288,2.452,0.913,1.587,0.962,1.106,2.933,5.817,35.192
Luca Antei,Benevento,it Serie A,DF,2017-2018,6.6,0.455,86.6,1.061,0.152,0.0,0.0,0.0,0.015,0.0,0.152,0.758,0.0,2.121,3.939,1.515,5.303,4.242,35.758
Mirco Antenucci,SPAL,it Serie A,FW,2017-2018,28.6,1.049,74.7,1.608,7.483,0.035,0.385,0.14,0.283,0.122,0.734,2.832,1.294,0.455,0.385,0.49,0.524,2.972,23.007
Waldemar Anton,Hannover 96,de Bundesliga,"DF,MF",2017-2018,25.3,0.751,79.4,0.909,0.553,0.079,0.04,0.0,0.071,0.0,0.198,0.553,0.079,1.937,1.542,2.213,4.427,6.087,30.909
Luca Antonelli,Milan,it Serie A,"DF,FW",2017-2018,1.6,0.625,81.9,1.25,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.625,0.625,0.625,0.625,5.0,3.75,34.375
Michail Antonio,West Ham,eng Premier League,"FW,MF",2017-2018,15.0,3.4,59.9,3.133,7.8,0.2,0.2,0.067,0.16,0.067,1.0,2.533,0.933,0.6,0.867,0.933,1.067,4.733,31.133
Vitorino Antunes,Getafe,es La Liga,DF,2017-2018,31.1,0.579,63.1,1.447,2.09,0.096,0.0,0.064,0.055,0.109,0.096,1.897,0.9,1.415,1.865,0.997,2.862,5.531,23.151
Dennis Aogo,Stuttgart,de Bundesliga,"MF,DF",2017-2018,21.7,0.046,80.7,0.922,3.456,0.0,0.0,0.276,0.06,0.106,0.046,1.982,1.106,1.198,1.336,1.244,1.244,4.424,26.728
Houssem Aouar,Lyon,fr Ligue 1,"MF,FW",2017-2018,27.0,3.0,84.7,3.222,4.852,0.259,0.222,0.185,0.196,0.167,0.63,3.593,1.37,1.556,1.444,1.111,1.259,7.333,48.0
Alberto Aquilani,Las Palmas,es La Liga,MF,2017-2018,14.4,0.486,83.1,0.556,0.833,0.278,0.0,0.0,0.049,0.035,0.278,1.944,0.833,1.319,1.597,1.389,1.597,6.528,50.833
Mauro Arambarri,Getafe,es La Liga,MF,2017-2018,23.6,0.551,69.2,0.508,0.636,0.127,0.042,0.042,0.068,0.081,0.127,1.059,0.381,1.737,1.059,1.102,1.525,7.034,18.856
Guilherme Arana,Sevilla,es La Liga,DF,2017-2018,2.1,0.0,85.4,2.857,2.857,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.952,2.381,0.0,3.81,9.048,32.381
Charles Aránguiz,Leverkusen,de Bundesliga,MF,2017-2018,25.6,0.664,84.8,1.016,1.758,0.117,0.039,0.117,0.109,0.051,0.195,2.773,0.898,2.383,1.875,1.797,1.055,6.914,49.453
Luiz Araújo,Lille,fr Ligue 1,"FW,MF",2017-2018,22.4,3.348,70.9,4.196,6.786,0.402,0.223,0.134,0.232,0.067,0.714,2.455,0.982,1.384,0.714,1.071,0.491,4.509,29.911
Anaitz Arbilla,Eibar,es La Liga,DF,2017-2018,26.8,0.746,79.2,1.269,0.075,0.0,0.075,0.037,0.03,0.015,0.149,1.455,0.299,1.119,2.91,0.784,4.03,8.881,38.246
Scott Arfield,Burnley,eng Premier League,"MF,FW",2017-2018,14.8,0.946,67.3,1.081,3.176,0.068,0.135,0.068,0.088,0.027,0.473,1.486,0.473,1.757,0.743,1.486,1.622,5.608,17.365
Samuel Armenteros,Benevento,it Serie A,FW,2017-2018,4.8,1.25,74.1,0.417,3.542,0.0,0.208,0.0,0.292,0.0,0.625,0.833,0.208,0.417,0.208,0.208,0.625,1.458,13.75
Yoël Armougom,Caen,fr Ligue 1,"DF,MF",2017-2018,1.5,0.667,61.9,3.333,6.667,0.0,0.0,0.0,0.0,0.067,0.0,0.667,0.667,0.667,0.667,0.667,1.333,3.333,18.667
Marko Arnautović,West Ham,eng Premier League,"FW,MF",2017-2018,25.7,2.179,66.7,2.957,9.027,0.35,0.428,0.233,0.335,0.167,1.284,3.113,1.362,0.623,0.506,0.778,1.362,4.008,25.058
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,2017-2018,27.3,0.44,78.8,1.062,1.612,0.073,0.073,0.0,0.084,0.106,0.366,3.04,1.392,1.502,1.026,1.136,1.245,4.652,25.275
Jann-Fiete Arp,Hamburger SV,de Bundesliga,"FW,MF",2017-2018,9.4,1.064,57.6,0.957,6.17,0.0,0.213,0.0,0.191,0.053,0.745,1.915,0.319,0.532,0.213,0.638,0.745,1.809,18.191
Alejandro Arribas,La Coruña,es La Liga,DF,2017-2018,3.0,0.333,83.9,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.667,2.0,1.667,2.667,5.0,24.333
Harry Arter,Bournemouth,eng Premier League,MF,2017-2018,10.7,0.374,86.7,1.308,0.748,0.093,0.093,0.0,0.028,0.019,0.093,2.15,0.28,1.495,0.841,1.682,0.561,6.168,34.019
Aythami Artiles,Las Palmas,es La Liga,DF,2017-2018,2.0,0.0,85.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.5,4.5,30.0
Kwadwo Asamoah,Juventus,it Serie A,DF,2017-2018,17.4,1.322,87.4,2.816,5.057,0.0,0.0,0.0,0.011,0.04,0.057,2.184,0.747,1.207,1.034,0.632,1.724,5.747,57.759
Takuma Asano,Stuttgart,de Bundesliga,"FW,MF",2017-2018,8.0,1.0,73.2,3.0,7.0,0.25,0.125,0.0,0.212,0.138,0.5,2.625,1.25,0.625,0.375,0.875,0.25,4.0,22.5
Santiago Ascacíbar,Stuttgart,de Bundesliga,MF,2017-2018,26.5,0.377,83.1,0.642,1.094,0.0,0.0,0.038,0.015,0.026,0.075,1.208,0.34,2.453,1.774,1.698,1.434,6.075,21.283
Marco Asensio,Real Madrid,es La Liga,"FW,MF",2017-2018,20.5,1.512,84.0,6.585,10.195,0.439,0.293,0.293,0.22,0.312,1.073,5.22,2.537,0.829,0.439,0.732,0.098,3.756,52.683
Iago Aspas,Celta Vigo,es La Liga,FW,2017-2018,32.6,1.779,75.4,3.528,9.018,0.276,0.675,0.153,0.531,0.291,1.227,4.172,2.117,0.675,0.706,0.46,0.337,4.202,32.791
Benoît Assou-Ekotto,Metz,fr Ligue 1,DF,2017-2018,11.7,0.684,74.2,0.684,1.453,0.0,0.0,0.0,0.009,0.043,0.0,1.197,0.684,0.769,3.932,0.598,1.795,7.35,31.197
Davide Astori,Fiorentina,it Serie A,DF,2017-2018,25.0,0.64,86.0,1.2,0.32,0.0,0.04,0.04,0.04,0.012,0.08,1.2,0.36,1.24,2.04,1.16,5.24,7.52,39.8
Christian Atsu,Newcastle Utd,eng Premier League,"FW,MF",2017-2018,19.8,1.414,70.0,3.535,6.313,0.051,0.101,0.101,0.202,0.131,0.606,2.727,1.263,0.808,0.657,1.768,1.364,5.404,24.394
Pierre-Emerick Aubameyang,Arsenal,eng Premier League,FW,2017-2018,11.7,0.94,66.8,2.65,7.265,0.085,0.855,0.342,0.718,0.094,1.453,2.564,1.111,0.342,0.256,1.197,0.598,2.479,22.564
Pierre-Emerick Aubameyang,Dortmund,de Bundesliga,FW,2017-2018,15.7,0.318,72.4,1.911,7.134,0.0,0.828,0.191,1.032,0.146,1.465,2.357,1.019,0.318,0.191,1.019,0.064,1.019,15.287
Jean-Kévin Augustin,RB Leipzig,de Bundesliga,FW,2017-2018,14.1,1.56,76.6,2.199,9.716,0.071,0.638,0.355,0.504,0.135,1.135,2.766,1.064,0.78,0.284,1.206,0.284,2.057,23.546
Ludwig Augustinsson,Werder Bremen,de Bundesliga,"DF,FW",2017-2018,28.1,0.071,76.1,1.708,5.374,0.0,0.036,0.036,0.043,0.075,0.214,2.278,1.068,1.21,1.388,0.89,1.886,3.203,22.491
Yann Aurel Bisseck,Köln,de Bundesliga,"DF,MF",2017-2018,1.7,0.0,91.5,1.765,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176,1.765,0.588,4.706,3.529,38.824
Serge Aurier,Tottenham,eng Premier League,DF,2017-2018,15.9,0.943,75.3,2.013,9.56,0.063,0.126,0.126,0.05,0.164,0.314,2.39,0.881,1.698,1.95,1.258,3.396,5.597,33.396
Charlie Austin,Southampton,eng Premier League,FW,2017-2018,11.5,0.261,67.2,0.435,5.826,0.087,0.609,0.0,0.617,0.07,2.087,2.0,0.348,0.435,0.087,1.304,0.87,2.522,20.087
Danilo Avelar,Amiens,fr Ligue 1,DF,2017-2018,19.2,0.573,64.3,1.146,3.438,0.052,0.052,0.0,0.026,0.047,0.052,1.719,0.729,1.719,1.927,0.833,4.323,5.521,21.667
Felipe Avenatti,Bologna,it Serie A,FW,2017-2018,5.2,0.192,56.3,0.385,5.769,0.0,0.0,0.0,0.058,0.019,0.192,1.346,0.577,0.769,0.192,1.346,1.154,3.462,20.577
Durel Avounou,Caen,fr Ligue 1,"DF,MF",2017-2018,7.2,0.694,67.8,0.694,3.194,0.0,0.0,0.0,0.042,0.028,0.139,0.694,0.417,1.528,1.389,1.667,3.472,5.833,17.222
Chidozie Awaziem,Nantes,fr Ligue 1,DF,2017-2018,16.8,0.298,74.7,0.595,0.298,0.0,0.06,0.06,0.054,0.006,0.119,0.774,0.238,1.786,0.952,1.071,5.774,6.071,21.31
André Ayew,West Ham,eng Premier League,"MF,FW",2017-2018,9.9,1.212,74.2,1.818,4.343,0.101,0.303,0.202,0.333,0.03,0.404,1.313,0.404,1.414,0.404,0.505,0.303,5.253,20.707
André Ayew,Swansea City,eng Premier League,"MF,FW",2017-2018,10.6,0.849,78.7,1.509,5.0,0.377,0.0,0.189,0.179,0.123,0.66,1.887,1.132,0.943,0.472,1.226,0.755,3.868,24.434
