Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s,MainScore_mean
Admir Mehmedi,462.6004843184303,,721.3257023355885,4702,52.2,595.575
Adnan Januzaj,467.50063540919956,,,7730,85.9,586.2666666666668
Ado Onaiwu,415.5694878177818,,,2039,22.6,369.04999999999995
Adolfo Gaich,307.3854531274755,,,1494,16.6,226.55
Adri Bosch,,,,26,0.3,
Adri Embarba,353.98368269962117,,,11229,124.89999999999999,349.6666666666667
Adrian Baquerin,,,,49,0.5,
Adrian Beck,,466.56326128781234,,3126,34.800000000000004,499.2
Adrian Benedyczak,,,,658,7.300000000000001,
Adrian Bernabe,,577.1421013024324,,2970,33.0,745.3
Adrian Fein,,,,32,0.4,
Adrian Grbić,240.43128425983733,,,1535,17.099999999999998,83.05
Adrian Mariappa,,,582.608456565951,5650,62.8,426.0
Adrian Niño,,,,12,0.1,
Adrian Stoian,,597.3613930079556,,2133,23.7,763.7
Adrien Hunou,518.248083084906,,,6731,74.7,602.7
Adrien Lebeau,,,,67,0.7,
Adrien Louveau,,,,8,0.1,
Adrien Rabiot,591.6389274987473,562.0106452188724,,18930,210.2,670.6777777777778
Adrien Silva,,485.44884895750494,,5936,66.1,507.6
Adrien Tameze,,395.44407244518686,585.632314758554,17006,188.9,356.27777777777777
Adrien Thomasson,500.1810351004035,759.4199841073687,,19597,217.70000000000002,565.9300000000001
Adrien Truffert,,,547.5453197054728,12290,136.5,352.7666666666667
Adrià Altimira,,,496.56401919007806,2414,26.800000000000004,261.0
Adrià Pedrosa,,,534.4665794741278,9361,104.0,378.8666666666666
Adrián Diéguez,,,614.7757931135152,1184,13.100000000000001,555.3
Adrián González,,333.7176387820588,,2340,26.0,169.5
Adrián Guerrero,,,,126,1.4,
Adrián Liso,198.85206392290976,,,1231,13.7,70.2
Adrián López,393.88262303891815,,,4269,47.4,440.8
Adrián Marín,,,656.0619635625193,1737,19.3,795.5
Adrián Ramos,,,,226,2.5,
Adrián Sahibeddine,,,,32,0.4,
Adrián de la Fuente,,,597.0948809733563,1132,12.6,622.4
Adryelson,,,,6,0.1,
Adson,,,,238,2.6,
Adu Ares,,,,368,4.0,
Afimico Pululu,,,,70,0.8,
Afonso Figueiredo,,,,223,2.5,
Afonso Moreira,558.7250112229967,,,655,7.3,769.0
Afriyie Acquah,257.67692518152563,405.3419622351803,,2461,27.4,222.1
Ager Aketxe,,,,37,0.4,
Agustín Martegani,,355.0580286176357,,731,8.1,215.4
Agustín Rogel,,,495.5982722170037,2284,25.3,193.4
Agustín Álvarez,,,,368,4.1,
Ahmad Benali,,477.1486561583167,,2025,22.5,557.4
Ahmad Ngouyamsa,,,,212,2.3,
Ahmed Elmohamady,,,573.5090643754546,1870,20.8,524.75
Ahmed Hegazi,,,707.7600803137522,3476,38.6,768.6
Ahmed Kutucu,521.9279963242813,,,1212,13.4,706.4
Ahmed Touba,,,,277,3.1,
Ahmet Gürleyen,,,,13,0.1,
Aiham Ousou,,,,430,4.8,
Aihen Muñoz,,,511.50014087749116,8943,99.3,311.575
Ailton,,,,108,1.2,
Aiman Dardari,,,,34,0.4,
Aimar Oroz,347.37738434860205,,,8276,92.0,270.7
Aimar Sher,,,,45,0.5,
Aimen Moueffek,,431.87748875863025,703.2526034898165,2214,24.6,602.75
Aingeru Olabarrieta,,,,63,0.7,
Ainsley Maitland-Niles,,285.9918144916224,656.4656365030244,11892,132.2,595.28
Aitor Mañas,,,,26,0.3,
Aitor Paredes,,,540.4271003103925,6375,70.7,426.82500000000005
Aitor Ruibal,293.9680581950449,,594.5179790510712,8315,92.5,460.85714285714283
Ajdin Hrustic,,445.85986809331047,,1462,16.2,486.6
Akaki Gogia,,,,261,2.9000000000000004,
Akim Zedadka,,,557.4975493233417,5290,58.800000000000004,332.15
Akor Adams,428.3546625330693,,,4313,47.9,503.40000000000003
Aladji Bamba,,,,131,1.5,
Alaixys Romao,,374.3793148023873,,4941,54.900000000000006,216.2
Alan Do Marcolino,,,,19,0.2,
Alan Empereur,,,705.7124095665995,1074,11.9,873.4
Alan Matturro,,,500.9615152119028,1204,13.399999999999999,228.0
Alan Virginius,222.52840683568243,,,1263,14.100000000000001,57.3
Alassane Pléa,584.4907316558322,,,17149,190.5,739.725
Alassane Sidibe,,,,6,0.1,
Albert Grønbaek,474.4500131560194,,,1059,11.7,441.7
Albert Guðmundsson,349.55207130448747,,,6132,68.0,320.20000000000005
Albert Lottin,,,,67,0.7,
Albert Sambi Lokonga,,504.63732665958486,680.7995459824729,5562,61.8,591.5
Alberth Elis,592.4644676246893,,,1666,18.599999999999998,803.5
Alberto Aquilani,,378.8500821806206,,1297,14.4,310.3
Alberto Basso,,,,16,0.2,
Alberto Bueno,,,,226,2.5,
Alberto Cerri,200.38559364740658,,,2335,26.0,58.25
Alberto Dadie,,,,28,0.3,
Alberto Del Moral,,,,5,0.1,
Alberto Dossena,,,626.949764488957,4802,53.400000000000006,644.1
Alberto Grassi,,319.132119981733,755.7197954599042,12634,140.4,289.0222222222222
Alberto López,,,,45,0.5,
Alberto Manzoni,,,,6,0.1,
Alberto Marí,,,,369,4.2,
Alberto Moleiro,485.0439887220926,,,5678,63.1,526.7666666666667
Alberto Moreno,491.6292483625126,,501.9807302204956,9312,103.39999999999999,342.9714285714286
Alberto Paloschi,294.0960438662645,,,3689,41.1,204.25
Alberto Perea,344.78163728127925,,,2371,26.299999999999997,269.45
Alberto Redondo,,,,90,1.0,
Alberto Reina,,362.2120857230691,,947,10.5,284.3
Alberto Risco,,,,206,2.3,
Alberto Soro,190.51012351626588,,,979,10.9,42.5
Alberto costa,,,,357,4.0,
Alberto de la Bella,,,598.5244064042693,1528,17.0,347.8
Albian Ajeti,,,,139,1.5,
Albian Hajdari,,,834.8106021395563,1017,11.3,991.5
Albin Ekdal,,389.56936888708464,,11809,131.2,313.8666666666667
Aleandro Rosi,,,500.474904347478,1700,18.9,73.1
Aleix Febas,,515.1393195484737,,3509,39.0,632.25
Aleix García,,706.5042982050594,,11264,125.3,871.8000000000001
Aleix Garrido,,,,7,0.1,
Aleix Vidal,427.35275917090127,,567.2541642979776,6674,74.2,455.15000000000003
Alejandro Alfaro,,,,15,0.2,
Alejandro Arribas,,,,270,3.0,
Alejandro Asensio,,,,12,0.1,
Alejandro Balde,,,355.2176021406444,7444,82.8,53.425
Alejandro Blanco,248.0248064193976,,,596,6.6000000000000005,103.0
Alejandro Blesa,,,,11,0.1,
Alejandro Francés,,,752.3791318314455,1614,17.9,975.1
Alejandro Garnacho,543.2020694211942,,,6107,67.8,719.075
Alejandro Gutiérrez Mozo,,,,45,0.5,
Alejandro Mestanza,,,,65,0.7,
Alejandro Pozo Pozo,,,531.5408552027163,6581,73.0,372.2
Alejandro Rego,,,,435,4.8,
Alejandro Rodriguez,,,,20,0.2,
Alejandro Rodríguez,,,,25,0.3,
Alejo Sarco,,,,74,0.8,
Alejo Véliz,135.5658850952969,,,1212,13.5,10.9
Aleksa Terzić,,,426.8233357456594,1217,13.5,88.2
Aleksandar Dragović,,,641.1475173263146,4314,47.8,611.575
Aleksandar Katai,,,,55,0.6,
Aleksandar Kolarov,,,534.1778603508092,9130,101.5,229.63333333333333
Aleksandar Mitrović,418.7648029731667,,,6818,75.8,508.26666666666665
Aleksandar Pavlovic,,567.77806176239,,3339,37.0,649.1999999999999
Aleksandar Radovanović,,,725.9536177097885,659,7.3,933.6
Aleksandar Sedlar,,,598.4492132066919,2758,30.6,606.3333333333334
Aleksandar Tonev,,,,401,4.5,
Aleksandar Trajkovski,,,,330,3.7,
Aleksander Buksa,,,,63,0.7,
Aleksandr Golovin,565.1538206215833,,,13420,149.2,625.0875
Aleksandr Kokorin,,,,149,1.6,
Aleksei Miranchuk,710.1084383509117,,,4712,52.4,854.575
Alen Halilović,302.7117716986405,,,1304,14.5,272.5
Alessandro Bastoni,,,586.5873174667596,17239,191.6,495.7875
Alessandro Bianco,,316.8274898561357,,2771,30.799999999999997,114.7
Alessandro Buongiorno,,,607.799822275694,10250,113.8,589.7833333333333
Alessandro Circati,,,559.9202661909083,1750,19.4,422.8
Alessandro Cortinovis,,,,6,0.1,
Alessandro Deiola,,308.92460839527547,640.7798240358353,9263,103.0,205.7888888888889
Alessandro Dellavalle,,,,15,0.2,
Alessandro Di Pardo,,,,427,4.8,
Alessandro Florenzi,,,559.8375443404577,10946,121.7,381.7714285714286
Alessandro Gabrielloni,,,,142,1.6,
Alessandro Gamberini,,,491.29299351274614,1815,20.2,65.0
Alessandro Marcandalli,,,456.6007393480161,1394,15.4,144.6
Alessandro Matri,390.2209618782465,,,1606,17.9,433.5
Alessandro Murgia,,494.57947938594475,,3608,40.0,499.9666666666667
Alessandro Romano,,,,8,0.1,
Alessandro Russo,,,,29,0.3,
Alessandro Schöpf,128.12440395015886,481.2836329975128,735.1949403388767,6583,73.2,377.14
Alessandro Semprini,,,526.4433391114047,629,7.0,279.7
Alessandro Tripaldelli,,,,435,4.8,
Alessandro Tuia,,,634.420498444106,2274,25.3,697.5
Alessandro Vogliacco,,,531.5813752815516,2656,29.5,365.8666666666666
Alessandro Zanoli,138.86441216162578,,445.7374200379854,5823,64.7,110.62
Alessio Cacciamani,,,,31,0.3,
Alessio Castro-Montes,,,,167,1.9,
Alessio Cerci,287.0545049933,,,1635,18.2,200.0
Alessio Iovine,,,,387,4.3,
Alessio Romagnoli,,,566.0828046249534,21171,235.2,410.1333333333334
Alessio Zerbin,,,508.9424127629238,3376,37.599999999999994,282.6333333333333
Alessio da Cruz,,,,144,1.6,
Alex Baena,666.4773142660595,,,7883,87.6,851.375
Alex Ferrari,,,711.3016638945589,8079,89.8,794.1142857142858
Alex Iwobi,404.4282959367991,663.5053681957705,,18992,211.0,487.18888888888887
Alex Král,,261.4423095527132,,6663,74.1,55.26666666666667
Alex Mighten,,,,8,0.1,
Alex Murphy,,,,13,0.1,
Alex Oxlade-Chamberlain,536.3208518509006,,,4613,51.2,651.8000000000001
Alex Petxa,,,,412,4.6,
Alex Pritchard,321.1053316230631,,,3079,34.2,209.3
Alex Sandro,,,621.8459528900478,13035,144.8,569.4571428571428
Alex Scott,350.17431244236843,457.25272843868146,,3179,35.4,422.23333333333335
Alex Sola,237.92024866939647,,,2814,31.200000000000003,109.94999999999999
Alex Telles,,,579.394714066501,3777,42.0,563.1666666666666
Alexander,389.52339734415506,,,1070,11.9,339.5
Alexander Bernhardsson,565.7098448507118,,,1263,14.0,799.6
Alexander Callens,,,,120,1.3,
Alexander Djiku,,,732.1440309650206,15261,169.5,824.8833333333333
Alexander Esswein,279.23304471941293,,,2081,23.2,209.1
Alexander Fuchs,,464.5584068729664,,655,7.3,454.8
Alexander Hack,,,806.3989926286987,7688,85.3,969.0333333333333
Alexander Isak,596.9514155018427,,,13295,147.7,785.7857142857143
Alexander Kačaniklić,,,,316,3.5,
Alexander Legendre,,,,10,0.1,
Alexander Prass,,,576.9239691279057,1942,21.599999999999998,465.3
Alexander Røssing-Lelesiit,,,,297,3.3,
Alexander Søderlund,,,,363,4.0,
Alexander Sørloth,573.4204334198243,,,11102,123.4,759.7333333333332
Alexander Tettey,,,614.5832216563923,2338,26.0,476.2
Alexandre Alemão,217.36983762600465,,,556,6.2,90.6
Alexandre Coeff,,,648.4400542935452,586,6.5,662.5
Alexandre Lacazette,611.0006012736079,,,17556,195.1,809.1875
Alexandre Lauray,,,,257,2.9,
Alexandre Mendy,426.8054859611084,,,2461,27.3,457.3666666666666
Alexandru Maxim,516.5789652230422,,,1653,18.3,611.95
Alexis,,,554.5691957339435,2184,24.3,217.9
Alexis Alegue,,,,5,0.1,
Alexis Beka Beka,,338.34237583590476,,545,6.1,137.8
Alexis Blin,,354.5274407384871,,9735,108.2,199.98
Alexis Claude-Maurice,416.96211417317403,,,7842,87.0,385.15000000000003
Alexis Flips,501.1141631630886,,,3077,34.2,604.4
Alexis Mac Allister,332.7694000475426,659.36373251611,,13063,145.2,637.0333333333333
Alexis Saelemaekers,301.39666728183533,,441.0157262071077,10957,121.69999999999999,202.62857142857143
Alexis Sánchez,596.3429670507985,,,10991,122.3,743.1333333333333
Alexis Tibidi,,,,459,5.1,
Alexis Trouillet,,,,109,1.2,
Alexis Vossah,,377.75976761588095,,552,6.1,247.5
Alexsandro Ribeiro,,,616.6245762919056,6858,76.2,546.3000000000001
Aleš Matějů,,,592.0359751012551,3275,36.4,518.45
Alfa Semedo,,,,45,0.5,
Alfie Dorrington,,,,14,0.2,
Alfie Doughty,,,537.52166470916,2925,32.5,408.7
Alfie Gilchrist,,,,207,2.3,
Alfie Mawson,,,570.0567043066937,4551,50.6,344.70000000000005
Alfon,511.1418265076406,,,1717,19.1,729.8
Alfonso,,,,9,0.1,
Alfonso Espino,,,674.1905793348523,12786,142.2,834.3799999999999
Alfonso Pedraza,391.6328098550307,,511.65847175379656,13677,152.0,330.06666666666666
Alfred Duncan,294.2468844853525,545.9385738429597,,12634,140.5,575.2333333333333
Alfred N'Diaye,,,,101,1.1,
Alfredo Donnarumma,378.8115743464165,,,1684,18.7,387.6
Alfredo Morales,,368.3301435350722,,3262,36.2,231.8
Alfreð Finnbogason,454.0569443696181,,,4951,54.9,537.85
Ali Abdi,,,449.1404881302258,1857,20.7,263.8
Ali Adnan Kadhim,,,818.1504824173002,1840,20.400000000000002,952.6
Ali Al Hamadi,,,,134,1.5,
Ali Dembélé,,,,409,4.5,
Ali Houary,,,,123,1.4,
Ali Jasim,,,,10,0.1,
Alidu Seidu,,,705.2537420274542,6933,77.1,789.8000000000001
Alieu Fadera,270.2524822842871,,,2388,26.6,159.7
Alieu Njie,,,,470,5.2,
Alimami Gory,,,,345,3.8,
Alin Toșca,,,507.2268811232541,1593,17.7,82.5
Aliou Badara Baldé,,,,160,1.8,
Alireza Jahanbakhsh,209.06543259946488,,,1859,20.700000000000003,165.9
Aljoscha Kemlein,,329.2463573829019,,1799,19.9,170.35
Alkhaly Momo Cissé,,,,38,0.4,
Allan,,535.5938934920703,,11156,124.1,611.0
Allan Nyom,,372.38206462202675,431.65455288208614,10166,113.0,139.62
Allan Saint-Maximin,431.61275085839173,,,12509,139.0,516.6
Allan Tchaptchet,,,,13,0.1,
Almamy Touré,,,648.5485682412459,5212,57.9,629.2
Almoatasem Al Musrati,,,,794,8.8,
Almugera Kabar,,,,137,1.5,
Alois Confais,,196.29442723346384,,618,6.8999999999999995,2.4
Alou Kuol,,,,5,0.1,
Alpha Touré,,286.3364225070881,,790,8.8,100.3
Alphadjo Cissè,,,,17,0.2,
Alphonso Davies,,,576.4614302393742,11532,128.0,485.40000000000003
Alvaro Sanz,,,,29,0.3,
Aly Abeid,,,,77,0.9,
Aly Ndom,,,,408,4.5,
Amad Diallo,762.4069328816879,,372.2923203829368,3701,41.1,494.65000000000003
Amadou Diawara,,383.9756359233596,,3662,40.7,293.6
Amadou Haidara,,532.1346529321179,,8641,96.1,603.85
Amadou Koné,,343.6769793515395,,1768,19.7,153.15
Amadou Mbengue,,,634.2564411391999,610,6.8,605.9
Amadou Onana,,432.78634817740385,818.0730011550411,8443,93.8,548.8
Amadou Traore,,,,323,3.6,
Amady Camara,,,,162,1.8,
Amar Ahmed,,,,20,0.2,
Amar Dedić,,,,314,3.5,
Amari'i Bell,,,733.6140991721895,1720,19.1,952.7
Amath,259.94761194680325,,,6807,75.6,137.025
Amato Ciciretti,490.2824580703222,,,946,10.5,534.9
Ambroise Oyongo,,,450.5222706911479,5375,59.599999999999994,134.1
Ameen Al-Dakhil,,,483.8462733762043,1845,20.5,218.4
Amer Gojak,417.5689498667067,,,475,5.3,420.6
Amidou Doumbouya,,,,46,0.5,
Amin Sarr,239.45862465227412,,,3463,38.5,114.33333333333333
Amin Younes,690.9732939493873,,,2065,23.0,840.0999999999999
Amine Adli,556.7950163080404,,,4843,53.8,642.225
Amine Bassi,,,,184,2.0,
Amine Gouiri,580.6925745364563,,,12881,143.0,690.5333333333333
Amine Harit,497.4003622808031,,,11348,126.0,531.9375
Amine Salama,314.1890350111389,,,1935,21.5,205.1
Amir Abrashi,,282.4341699870733,618.4626612675393,2363,26.3,196.9333333333333
Amir Richardson,,468.2279515791748,,2493,27.7,484.54999999999995
Amir Rrahmani,,,524.2876058169403,16744,186.1,312.2285714285714
Amos Pieper,,,755.2936354315888,9871,109.6,929.2666666666668
Anaitz Arbilla,,,626.6728602249493,9178,102.0,630.225
Anas Ouahim,,,,19,0.2,
Anass Salah-Eddine,,,,152,1.7,
Anass Zaroury,356.88117319160426,,,1557,17.3,285.4
Anastasios Donis,417.37359138696183,,,2987,33.2,487.90000000000003
Anastasios Douvikas,545.2501055598154,,,3222,35.8,749.825
Ander Barrenetxea,424.00893264159396,,,7293,81.0,458.84999999999997
Ander Capa,,,554.407943229839,9003,100.0,373.97499999999997
Ander Guevara,,343.3294711437651,,9464,105.10000000000001,229.61999999999998
Ander Herrera,,691.4738147453761,,8160,90.6,870.5428571428572
Ander Iturraspe,,447.0993767014271,,2244,25.0,496.4
Ander Martin,,,,129,1.5,
Anderson Lima,,,,127,1.4,
Anderson Lucoqui,,,617.2541387437323,2347,26.1,623.0
Andi Zeqiri,300.1843905293315,,,1187,13.200000000000001,183.2
Andoni Gorosabel,,,556.9628756682786,12446,138.3,454.9875
Andoni López,,,,90,1.0,
Andre Brooks,,230.29094992092132,,938,10.4,23.9
Andre Gray,441.3564874374628,,,3619,40.2,555.7
Andre-Frank Zambo Anguissa,,507.60520655525085,,20673,229.79999999999998,591.1555555555556
Andrea Adorante,,,,10,0.1,
Andrea Barberis,,419.777451856165,,3367,37.5,384.2
Andrea Barzagli,,,544.9565115508003,1707,19.0,154.3
Andrea Beghetto,,,354.61225934080807,2226,24.7,9.3
Andrea Belotti,412.50709939547795,,,16804,186.6,465.68888888888887
Andrea Bertolacci,,341.54560561222274,,3429,38.1,231.1
Andrea Cambiaso,,,489.67829101396893,9938,110.5,241.76
Andrea Carboni,,,653.9254198569049,7513,83.5,741.8
Andrea Cistana,,,634.4534974406995,1838,20.4,657.0
Andrea Colpani,470.14752499676587,,,5055,56.1,529.9666666666666
Andrea Conti,,,638.9991467239539,3489,38.800000000000004,641.0333333333333
Andrea Cossu,,,,243,2.7,
Andrea Costa,,,688.0319315553429,1375,15.3,617.1
Andrea Danzi,,,,497,5.6000000000000005,
Andrea Favilli,150.2026713549679,,,1203,13.4,18.3
Andrea Ferraris,,,,10,0.1,
Andrea Ghezzi,,,,37,0.4,
Andrea Ghion,,,,58,0.6,
Andrea La Mantia,451.645883789889,,,1041,11.5,548.9
Andrea Masiello,,,629.6011828525039,9488,105.4,592.1
Andrea Nalini,169.86393379582236,,,1638,18.2,39.6
Andrea Papetti,,,593.6725708032852,917,10.2,522.4
Andrea Petagna,435.1530292036854,,,12224,135.9,503.2285714285714
Andrea Pinamonti,314.76297790531225,,,16560,184.1,244.1
Andrea Poli,,417.3321078587687,,6777,75.4,337.90000000000003
Andrea Raggi,,,485.0450929339545,2101,23.4,52.349999999999994
Andrea Ranocchia,,,652.2832625542629,2306,25.6,597.6666666666666
Andrea Rispoli,,,496.692558477969,2561,28.4,261.45
Andrea Schiavone,,485.9422490261843,,571,6.3,572.1
Andrea Sodero,,,,5,0.1,
Andrea Tabanelli,,321.4684747924527,,964,10.7,140.0
Andreas Albers,,,,62,0.7,
Andreas Beck,,,552.7350285766071,3703,41.099999999999994,226.45
Andreas Bruus,,,312.8670946591547,1628,18.1,2.5
Andreas Christensen,,,554.4249367357943,11694,130.0,417.92857142857144
Andreas Cornelius,466.3782910882278,,,5118,56.900000000000006,525.0
Andreas Hanche-Olsen,,,622.7741927904865,4624,51.400000000000006,620.825
Andreas Hountondji,467.107863301635,,,610,6.8,646.2
Andreas Ivan,,,,46,0.5,
Andreas Müller,,,,349,3.9,
Andreas Pereira,485.75047881190244,662.408479649365,,11022,122.5,628.8714285714286
Andreas Skov Olsen,345.71319202543833,,,3583,39.7,320.5
Andreas Voglsammer,373.31312839937345,,,1882,20.9,372.85
Andrei Girotto,,405.34010385555354,784.8590337289426,14135,157.1,718.2333333333332
Andrei Motoc,,,,90,1.0,
Andrei Ratiu,,,448.1552371702478,5262,58.5,284.3333333333333
Andrej Ilic,450.5220552449059,,,1951,21.7,580.9000000000001
Andrej Kramarić,687.8613587500141,,,19293,214.3,875.7111111111112
Andres Sfait,,,,23,0.3,
Andreu Fontàs,,,597.4918200092047,885,9.8,345.1
Andrew Gravillon,,,625.8433407825163,5839,64.8,569.6333333333333
Andrew Hjulsager,,,,373,4.2,
Andrew Moran,,,,12,0.1,
Andrew Omobamidele,,,623.9372287971423,2143,23.799999999999997,619.2
Andrew Robertson,,,513.0274584904168,21433,238.20000000000002,294.8777777777778
Andrew Surman,,398.5123706431046,,3530,39.2,373.45
Andrey Galabinov,289.04226836115384,,,1559,17.3,211.0
Andrey Santos,,463.01804661399734,,4214,46.8,463.73333333333335
Andri Fannar Baldursson,,,,360,4.0,
Andrija Balić,,446.2321214790255,,1110,12.3,458.2
Andrija Bulatović,,,,245,2.7,
Andrija Maksimović,,,,78,0.9,
Andriy Yarmolenko,603.4664596317934,,,3180,35.3,802.4666666666666
Andros Townsend,341.9385325129292,,,12346,137.2,295.78333333333336
András Schäfer,368.8680089128108,297.6174428092683,,4367,48.599999999999994,169.1
André,,307.60476237594435,,3897,43.3,150.9
